gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,256,256,256,128,256,1,256,1,1,2,4,16,16,4,4,0,"[128, 256, 0]","[4, 4, 0]","[0, 0, 1]",True,True,False,,,False,,,,
2,2,256,256,256,256,32,2,128,1,1,2,2,16,16,8,1,0,"[256, 32, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://0,1,True,4.41,7.57,1.71544,402
3,3,256,256,256,128,128,4,128,1,1,4,1,16,16,2,8,0,"[128, 128, 0]","[2, 8, 0]","[0, 0, 4]",True,True,True,hip://0,2,True,4.41,5.17,1.17003,311
4,4,256,256,256,256,256,2,256,1,1,8,1,16,16,2,16,0,"[256, 256, 0]","[2, 16, 0]","[0, 0, 2]",True,True,True,hip://0,3,True,4.41,10.85,2.45805,433
5,5,256,256,256,256,256,4,256,1,1,8,1,16,16,2,16,0,"[256, 256, 0]","[2, 16, 0]","[0, 0, 4]",True,True,True,hip://0,4,True,4.41,125.98,28.53652,517
6,6,256,256,256,256,64,2,256,1,1,8,1,16,16,2,4,0,"[256, 64, 0]","[2, 4, 0]","[0, 0, 2]",True,True,True,hip://0,5,True,4.41,130.32,29.51946,523
7,7,256,256,256,256,128,2,256,1,1,8,1,16,16,2,8,0,"[256, 128, 0]","[2, 8, 0]","[0, 0, 2]",True,True,True,hip://0,6,True,4.41,5.73,1.29835,340
8,8,256,256,256,256,64,4,256,1,1,8,1,16,16,2,4,0,"[256, 64, 0]","[2, 4, 0]","[0, 0, 4]",True,True,True,hip://0,7,True,4.41,8.11,1.83727,417
9,9,256,256,256,256,64,1,256,1,1,8,1,16,16,2,4,0,"[256, 64, 0]","[2, 4, 0]","[0, 0, 1]",True,True,True,hip://0,8,True,4.41,4.81,1.08854,292
12,10,256,256,256,256,64,4,128,1,1,4,1,16,16,4,4,0,"[256, 64, 0]","[4, 4, 0]","[0, 0, 4]",True,True,True,hip://0,9,True,4.41,5.51,1.24857,331
13,11,256,256,256,256,64,2,128,1,1,4,1,16,16,4,4,0,"[256, 64, 0]","[4, 4, 0]","[0, 0, 2]",True,True,True,hip://0,10,True,4.41,7.3,1.65256,394
16,12,256,256,256,256,64,1,128,1,1,4,1,16,16,4,4,0,"[256, 64, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://0,11,True,4.41,6.54,1.48034,376
19,13,256,256,256,128,64,8,256,1,1,8,1,16,16,1,4,0,"[128, 64, 0]","[1, 4, 0]","[0, 0, 8]",True,True,True,hip://0,12,True,4.41,6.27,1.41954,369
20,14,256,256,256,128,64,4,256,1,1,8,1,16,16,1,4,0,"[128, 64, 0]","[1, 4, 0]","[0, 0, 4]",True,True,True,hip://0,13,True,4.41,4.16,0.94294,229
21,15,256,256,256,128,64,1,256,1,1,8,1,16,16,1,4,0,"[128, 64, 0]","[1, 4, 0]","[0, 0, 1]",True,True,True,hip://0,14,True,4.41,3.57,0.80815,153
22,16,256,256,256,128,64,2,256,1,1,8,1,16,16,1,4,0,"[128, 64, 0]","[1, 4, 0]","[0, 0, 2]",True,True,True,hip://0,15,True,4.41,4.65,1.05365,278
23,17,256,256,256,128,128,8,256,1,1,8,1,16,16,1,8,0,"[128, 128, 0]","[1, 8, 0]","[0, 0, 8]",True,True,True,hip://0,16,True,4.41,4.24,0.95953,238
