gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,4096,4096,8192,64,64,16,64,2,1,2,2,16,16,0,0,0,True,True,False,,,False,,,,
2,2,4096,4096,8192,128,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,1,True,4540.22,12504.35,2.75412,340
3,3,4096,4096,8192,512,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,2,True,4540.22,4024.22,0.88635,106
4,4,4096,4096,8192,256,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,3,True,4540.22,5668.71,1.24855,163
5,5,4096,4096,8192,64,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,4,True,4540.22,3783.87,0.83341,82
6,6,4096,4096,8192,512,128,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,5,True,4540.22,5202.3,1.14582,146
7,7,4096,4096,8192,512,128,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,6,True,4540.22,42308.07,9.3185,507
9,8,4096,4096,8192,512,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,7,True,4540.22,50937.2,11.21909,566
10,9,4096,4096,8192,512,256,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,8,True,4540.22,80318.05,17.69032,660
13,10,4096,4096,8192,512,512,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,9,True,4540.22,56893.91,12.53108,594
14,11,4096,4096,8192,512,256,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,10,True,4540.22,70100.08,15.43978,641
