gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,4096,4096,8192,32,64,16,64,2,1,2,2,16,16,0,0,0,True,True,False,,,False,,,,
2,2,4096,4096,8192,32,512,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,1,True,1346.21,11822.6,8.78215,381
3,3,4096,4096,8192,32,512,64,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,2,False,1346.21,,inf,538
5,4,4096,4096,8192,32,512,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,3,False,1346.21,,inf,539
6,5,4096,4096,8192,32,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,4,False,1346.21,,inf,540
7,6,4096,4096,8192,32,512,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,5,True,1346.21,8976.38,6.66791,324
8,7,4096,4096,8192,32,512,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,6,True,1346.21,17569.18,13.05088,432
9,8,4096,4096,8192,32,128,128,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,7,True,1346.21,17168.97,12.75358,431
10,9,4096,4096,8192,32,256,128,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,8,True,1346.21,2355.3,1.74958,97
11,10,4096,4096,8192,32,256,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,9,False,1346.21,,inf,541
12,11,4096,4096,8192,32,256,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,10,False,1346.21,,inf,542
13,12,4096,4096,8192,32,256,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,11,True,1346.21,8825.22,6.55561,321
14,13,4096,4096,8192,32,256,32,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,12,False,1346.21,,inf,543
15,14,4096,4096,8192,32,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,13,True,1346.21,8723.14,6.47979,318
16,15,4096,4096,8192,32,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,14,False,1346.21,,inf,544
20,16,4096,4096,8192,32,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,15,False,1346.21,,inf,545
22,17,4096,4096,8192,32,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,16,True,1346.21,17600.14,13.07388,434
23,18,4096,4096,8192,32,512,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,17,False,1346.21,,inf,546
24,19,4096,4096,8192,32,512,32,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,18,False,1346.21,,inf,547
29,20,4096,4096,8192,32,512,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,19,False,1346.21,,inf,548
33,21,4096,4096,8192,16,512,32,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,20,False,1346.21,,inf,549
34,22,4096,4096,8192,16,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,21,False,1346.21,,inf,550
36,23,4096,4096,8192,16,512,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,22,False,1346.21,,inf,551
37,24,4096,4096,8192,16,512,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,23,False,1346.21,,inf,552
38,25,4096,4096,8192,64,512,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,24,False,1346.21,,inf,553
39,26,4096,4096,8192,128,512,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,25,True,1346.21,2423.57,1.80029,100
40,27,4096,4096,8192,256,512,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,26,False,1346.21,,inf,554
41,28,4096,4096,8192,512,512,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,27,False,1346.21,,inf,555
44,29,4096,4096,8192,512,512,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,28,False,1346.21,,inf,556
45,30,4096,4096,8192,128,512,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,29,False,1346.21,,inf,557
46,31,4096,4096,8192,64,512,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,30,False,1346.21,,inf,558
47,32,4096,4096,8192,256,512,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,31,False,1346.21,,inf,559
64,33,4096,4096,8192,512,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,32,False,1346.21,,inf,560
65,34,4096,4096,8192,512,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,33,False,1346.21,,inf,561
66,35,4096,4096,8192,256,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,34,True,1346.21,76334.7,56.70354,533
67,36,4096,4096,8192,256,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,35,False,1346.21,,inf,562
68,37,4096,4096,8192,128,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,36,False,1346.21,,inf,563
69,38,4096,4096,8192,128,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,37,True,1346.21,10607.6,7.87962,362
70,39,4096,4096,8192,64,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,38,False,1346.21,,inf,564
71,40,4096,4096,8192,16,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,39,False,1346.21,,inf,565
74,41,4096,4096,8192,16,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,40,False,1346.21,,inf,566
75,42,4096,4096,8192,64,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,41,False,1346.21,,inf,567
76,43,4096,4096,8192,256,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,42,True,1346.21,9101.04,6.7605,328
77,44,4096,4096,8192,512,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,43,False,1346.21,,inf,568
78,45,4096,4096,8192,128,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,44,False,1346.21,,inf,569
79,46,4096,4096,8192,64,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,45,False,1346.21,,inf,570
81,47,4096,4096,8192,64,512,32,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,46,True,1346.21,4866.78,3.61518,208
86,48,4096,4096,8192,512,512,32,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,47,True,1346.21,10938.23,8.12522,365
