gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,4096,4096,4096,64,64,16,64,2,1,2,2,16,16,0,0,0,True,True,False,,,False,,,,
2,2,4096,4096,4096,32,512,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,1,False,545.82,,inf,380
3,3,4096,4096,4096,32,128,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,2,True,545.82,7450.26,13.64963,299
4,4,4096,4096,4096,32,256,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,3,False,545.82,,inf,381
5,5,4096,4096,4096,32,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,4,True,545.82,4121.92,7.55176,233
7,6,4096,4096,4096,512,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,5,False,545.82,,inf,382
8,7,4096,4096,4096,256,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,6,False,545.82,,inf,383
9,8,4096,4096,4096,128,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,7,True,545.82,28246.69,51.75078,365
10,9,4096,4096,4096,64,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,8,False,545.82,,inf,384
15,10,4096,4096,4096,512,512,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,9,False,545.82,,inf,385
16,11,4096,4096,4096,256,512,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,10,False,545.82,,inf,386
17,12,4096,4096,4096,256,512,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,11,False,545.82,,inf,387
24,13,4096,4096,4096,128,512,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,12,False,545.82,,inf,388
25,14,4096,4096,4096,32,512,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,13,False,545.82,,inf,389
26,15,4096,4096,4096,64,512,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,14,False,545.82,,inf,390
27,16,4096,4096,4096,32,512,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,15,False,545.82,,inf,391
28,17,4096,4096,4096,256,512,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,16,False,545.82,,inf,392
29,18,4096,4096,4096,512,512,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,17,False,545.82,,inf,393
30,19,4096,4096,4096,128,512,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,18,False,545.82,,inf,394
31,20,4096,4096,4096,64,512,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,19,False,545.82,,inf,395
32,21,4096,4096,4096,256,512,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,20,True,545.82,10184.39,18.65883,313
33,22,4096,4096,4096,512,512,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,21,False,545.82,,inf,396
34,23,4096,4096,4096,128,512,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,22,False,545.82,,inf,397
35,24,4096,4096,4096,64,512,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,23,True,545.82,4383.6,8.0312,242
36,25,4096,4096,4096,32,512,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,24,False,545.82,,inf,398
37,26,4096,4096,4096,128,512,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,25,False,545.82,,inf,399
38,27,4096,4096,4096,64,512,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,26,False,545.82,,inf,400
39,28,4096,4096,4096,256,512,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,27,False,545.82,,inf,401
40,29,4096,4096,4096,512,512,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,28,False,545.82,,inf,402
46,30,4096,4096,4096,32,64,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,29,True,545.82,23573.55,43.1891,360
47,31,4096,4096,4096,32,128,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,30,False,545.82,,inf,403
