gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
2,1,2048,1280,5120,512,320,2,256,1,1,1,4,16,32,32,5,0,"[512, 320, 0]","[32, 5, 0]","[0, 0, 2]",True,True,False,,,False,,,,
5,2,2048,1280,5120,512,320,1,256,1,1,1,4,16,32,32,5,0,"[512, 320, 0]","[32, 5, 0]","[0, 0, 1]",True,True,True,hip://2,1,True,67.89,1708.27,25.1624,2143
10,3,2048,1280,5120,512,128,2,512,1,1,1,8,16,32,32,1,0,"[512, 128, 0]","[32, 1, 0]","[0, 0, 2]",True,True,True,hip://5,2,True,67.68,2031.41,30.0128,2172
23,4,2048,1280,5120,512,128,2,256,1,1,2,2,16,32,16,4,0,"[512, 128, 0]","[16, 4, 0]","[0, 0, 2]",True,True,True,hip://6,3,True,67.69,195.11,2.88229,1696
167,5,2048,1280,5120,16,256,1,256,1,1,1,4,16,32,1,4,0,"[16, 256, 0]","[1, 4, 0]","[0, 0, 1]",True,True,True,hip://7,4,True,67.87,210.5,3.10156,1755
168,6,2048,1280,5120,16,256,1,512,1,1,1,8,16,32,1,2,0,"[16, 256, 0]","[1, 2, 0]","[0, 0, 1]",True,True,True,hip://2,5,True,67.89,210.36,3.09855,1752
169,7,2048,1280,5120,16,256,2,512,1,1,1,8,16,32,1,2,0,"[16, 256, 0]","[1, 2, 0]","[0, 0, 2]",True,True,True,hip://5,6,True,67.68,213.09,3.1483,1766
171,8,2048,1280,5120,16,256,4,512,1,1,1,8,16,32,1,2,0,"[16, 256, 0]","[1, 2, 0]","[0, 0, 4]",True,True,True,hip://6,7,True,67.69,148.04,2.18694,1453
172,9,2048,1280,5120,128,256,1,512,1,1,1,8,16,32,8,2,0,"[128, 256, 0]","[8, 2, 0]","[0, 0, 1]",True,True,True,hip://7,8,True,67.87,114.02,1.68002,1158
173,10,2048,1280,5120,128,256,2,512,1,1,1,8,16,32,8,2,0,"[128, 256, 0]","[8, 2, 0]","[0, 0, 2]",True,True,True,hip://2,9,True,67.89,112.52,1.65738,1123
175,11,2048,1280,5120,128,256,4,512,1,1,1,8,16,32,8,2,0,"[128, 256, 0]","[8, 2, 0]","[0, 0, 4]",True,True,True,hip://5,10,True,67.68,93.16,1.37641,854
176,12,2048,1280,5120,128,256,1,256,1,1,1,4,16,32,8,4,0,"[128, 256, 0]","[8, 4, 0]","[0, 0, 1]",True,True,True,hip://6,11,True,67.69,83.04,1.22677,646
177,13,2048,1280,5120,128,256,2,256,1,1,1,4,16,32,8,4,0,"[128, 256, 0]","[8, 4, 0]","[0, 0, 2]",True,True,True,hip://7,12,True,67.87,125.23,1.84518,1276
187,14,2048,1280,5120,128,256,4,256,1,1,1,4,16,32,8,4,0,"[128, 256, 0]","[8, 4, 0]","[0, 0, 4]",True,True,True,hip://6,13,True,67.69,102.22,1.5101,991
196,15,2048,1280,5120,16,256,4,256,1,1,1,4,16,32,1,4,0,"[16, 256, 0]","[1, 4, 0]","[0, 0, 4]",True,True,True,hip://2,14,True,67.89,100.42,1.47922,950
197,16,2048,1280,5120,64,256,4,256,1,1,1,4,16,32,4,4,0,"[64, 256, 0]","[4, 4, 0]","[0, 0, 4]",True,True,True,hip://5,15,True,67.68,112.41,1.66083,1125
198,17,2048,1280,5120,32,256,4,256,1,1,1,4,16,32,2,4,0,"[32, 256, 0]","[2, 4, 0]","[0, 0, 4]",True,True,True,hip://7,16,True,67.87,66.0,0.97246,332
199,18,2048,1280,5120,256,256,4,256,1,1,1,4,16,32,16,4,0,"[256, 256, 0]","[16, 4, 0]","[0, 0, 4]",True,True,True,hip://2,17,True,67.89,90.96,1.33984,803
200,19,2048,1280,5120,64,256,4,512,1,1,1,8,16,32,4,2,0,"[64, 256, 0]","[4, 2, 0]","[0, 0, 4]",True,True,True,hip://5,18,True,67.68,470.79,6.95563,1970
201,20,2048,1280,5120,32,256,4,512,1,1,1,8,16,32,2,2,0,"[32, 256, 0]","[2, 2, 0]","[0, 0, 4]",True,True,True,hip://6,19,True,67.69,54.3,0.80214,153
202,21,2048,1280,5120,256,256,4,512,1,1,1,8,16,32,16,2,0,"[256, 256, 0]","[16, 2, 0]","[0, 0, 4]",True,True,True,hip://7,20,True,67.87,84.24,1.24117,668
212,22,2048,1280,5120,512,256,1,256,1,1,1,4,16,32,32,4,0,"[512, 256, 0]","[32, 4, 0]","[0, 0, 1]",True,True,True,hip://5,21,True,67.68,791.85,11.6991,2038
213,23,2048,1280,5120,512,256,1,512,1,1,1,8,16,32,32,2,0,"[512, 256, 0]","[32, 2, 0]","[0, 0, 1]",True,True,True,hip://2,22,True,67.89,4071.66,59.97465,2261
214,24,2048,1280,5120,256,256,1,256,1,1,1,4,16,32,16,4,0,"[256, 256, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://6,23,True,67.69,973.04,14.37436,2067
215,25,2048,1280,5120,64,256,1,256,1,1,1,4,16,32,4,4,0,"[64, 256, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://7,24,True,67.87,650.67,9.58705,2009
216,26,2048,1280,5120,32,256,1,256,1,1,1,4,16,32,2,4,0,"[32, 256, 0]","[2, 4, 0]","[0, 0, 1]",True,True,True,hip://5,25,True,67.68,89.6,1.32371,778
217,27,2048,1280,5120,256,256,1,512,1,1,1,8,16,32,16,2,0,"[256, 256, 0]","[16, 2, 0]","[0, 0, 1]",True,True,True,hip://2,26,True,67.89,156.77,2.30923,1501
218,28,2048,1280,5120,64,256,1,512,1,1,1,8,16,32,4,2,0,"[64, 256, 0]","[4, 2, 0]","[0, 0, 1]",True,True,True,hip://6,27,True,67.69,167.23,2.47036,1590
219,29,2048,1280,5120,32,256,1,512,1,1,1,8,16,32,2,2,0,"[32, 256, 0]","[2, 2, 0]","[0, 0, 1]",True,True,True,hip://7,28,True,67.87,85.77,1.2637,699
233,30,2048,1280,5120,64,256,2,512,1,1,1,8,16,32,4,2,0,"[64, 256, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://5,29,True,67.68,152.97,2.26007,1484
234,31,2048,1280,5120,64,256,2,256,1,1,1,4,16,32,4,4,0,"[64, 256, 0]","[4, 4, 0]","[0, 0, 2]",True,True,True,hip://2,30,True,67.89,70.31,1.03565,411
238,32,2048,1280,5120,16,256,2,256,1,1,1,4,16,32,1,4,0,"[16, 256, 0]","[1, 4, 0]","[0, 0, 2]",True,True,True,hip://6,31,True,67.69,72.69,1.07387,455
246,33,2048,1280,5120,256,256,2,256,1,1,1,4,16,32,16,4,0,"[256, 256, 0]","[16, 4, 0]","[0, 0, 2]",True,True,True,hip://7,32,True,67.87,133.11,1.96131,1349
247,34,2048,1280,5120,512,256,2,256,1,1,1,4,16,32,32,4,0,"[512, 256, 0]","[32, 4, 0]","[0, 0, 2]",True,True,True,hip://5,33,True,67.68,182.48,2.6961,1655
248,35,2048,1280,5120,32,256,2,256,1,1,1,4,16,32,2,4,0,"[32, 256, 0]","[2, 4, 0]","[0, 0, 2]",True,True,True,hip://7,34,True,67.87,832.62,12.26783,2046
249,36,2048,1280,5120,256,256,2,512,1,1,1,8,16,32,16,2,0,"[256, 256, 0]","[16, 2, 0]","[0, 0, 2]",True,True,True,hip://2,35,True,67.89,108.13,1.59277,1063
250,37,2048,1280,5120,512,256,2,512,1,1,1,8,16,32,32,2,0,"[512, 256, 0]","[32, 2, 0]","[0, 0, 2]",True,True,True,hip://6,36,True,67.69,152.91,2.25888,1482
251,38,2048,1280,5120,32,256,2,512,1,1,1,8,16,32,2,2,0,"[32, 256, 0]","[2, 2, 0]","[0, 0, 2]",True,True,True,hip://5,37,True,67.68,806.39,11.91394,2043
253,39,2048,1280,5120,512,160,2,512,1,1,8,1,16,32,4,10,0,"[512, 160, 0]","[4, 10, 0]","[0, 0, 2]",True,True,True,hip://7,38,True,67.87,110.17,1.62329,1090
441,40,2048,1280,5120,512,160,1,512,1,1,8,1,16,32,4,10,0,"[512, 160, 0]","[4, 10, 0]","[0, 0, 1]",True,True,True,hip://2,39,True,67.89,253.35,3.73182,1860
442,41,2048,1280,5120,512,256,2,512,1,1,8,1,16,32,4,16,0,"[512, 256, 0]","[4, 16, 0]","[0, 0, 2]",True,True,True,hip://6,40,True,67.69,237.59,3.50981,1835
443,42,2048,1280,5120,512,320,2,512,1,1,8,1,16,32,4,20,0,"[512, 320, 0]","[4, 20, 0]","[0, 0, 2]",True,True,True,hip://5,41,True,67.68,1794.16,26.50754,2152
444,43,2048,1280,5120,512,320,1,512,1,1,8,1,16,32,4,20,0,"[512, 320, 0]","[4, 20, 0]","[0, 0, 1]",True,True,True,hip://7,42,True,67.87,2584.22,38.07587,2210
445,44,2048,1280,5120,512,256,1,512,1,1,8,1,16,32,4,16,0,"[512, 256, 0]","[4, 16, 0]","[0, 0, 1]",True,True,True,hip://2,43,True,67.89,2666.91,39.28302,2215
446,45,2048,1280,5120,512,64,1,512,1,1,8,1,16,32,4,4,0,"[512, 64, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://6,44,True,67.69,1417.59,20.94158,2122
447,46,2048,1280,5120,512,80,1,512,1,1,8,1,16,32,4,5,0,"[512, 80, 0]","[4, 5, 0]","[0, 0, 1]",True,True,True,hip://5,45,True,67.68,144.71,2.13794,1428
448,47,2048,1280,5120,512,128,1,512,1,1,8,1,16,32,4,8,0,"[512, 128, 0]","[4, 8, 0]","[0, 0, 1]",True,True,True,hip://7,46,True,67.87,191.01,2.81441,1684
449,48,2048,1280,5120,512,32,1,512,1,1,8,1,16,32,4,2,0,"[512, 32, 0]","[4, 2, 0]","[0, 0, 1]",True,True,True,hip://6,47,True,67.69,186.88,2.76064,1670
450,49,2048,1280,5120,512,16,1,512,1,1,8,1,16,32,4,1,0,"[512, 16, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://2,48,True,67.89,125.57,1.84968,1281
451,50,2048,1280,5120,512,80,2,512,1,1,8,1,16,32,4,5,0,"[512, 80, 0]","[4, 5, 0]","[0, 0, 2]",True,True,True,hip://5,49,True,67.68,234.8,3.46908,1830
452,51,2048,1280,5120,512,64,2,512,1,1,8,1,16,32,4,4,0,"[512, 64, 0]","[4, 4, 0]","[0, 0, 2]",True,True,True,hip://7,50,True,67.87,168.15,2.4775,1592
453,52,2048,1280,5120,512,128,2,512,1,1,8,1,16,32,4,8,0,"[512, 128, 0]","[4, 8, 0]","[0, 0, 2]",True,True,True,hip://2,51,True,67.89,126.08,1.85718,1288
456,53,2048,1280,5120,512,160,1,256,1,1,4,1,16,32,8,10,0,"[512, 160, 0]","[8, 10, 0]","[0, 0, 1]",True,True,True,hip://6,52,True,67.69,158.86,2.34682,1522
470,54,2048,1280,5120,512,320,1,256,1,1,4,1,16,32,8,20,0,"[512, 320, 0]","[8, 20, 0]","[0, 0, 1]",True,True,True,hip://5,53,True,67.68,1422.19,21.01194,2123
471,55,2048,1280,5120,512,256,1,256,1,1,4,1,16,32,8,16,0,"[512, 256, 0]","[8, 16, 0]","[0, 0, 1]",True,True,True,hip://7,54,True,67.87,2604.44,38.37387,2213
472,56,2048,1280,5120,512,32,1,256,1,1,4,1,16,32,8,2,0,"[512, 32, 0]","[8, 2, 0]","[0, 0, 1]",True,True,True,hip://6,55,True,67.69,4409.59,65.14129,2269
473,57,2048,1280,5120,512,16,1,256,1,1,4,1,16,32,8,1,0,"[512, 16, 0]","[8, 1, 0]","[0, 0, 1]",True,True,True,hip://2,56,True,67.89,131.58,1.93815,1335
474,58,2048,1280,5120,512,64,1,256,1,1,4,1,16,32,8,4,0,"[512, 64, 0]","[8, 4, 0]","[0, 0, 1]",True,True,True,hip://5,57,True,67.68,233.23,3.44584,1826
475,59,2048,1280,5120,512,80,1,256,1,1,4,1,16,32,8,5,0,"[512, 80, 0]","[8, 5, 0]","[0, 0, 1]",True,True,True,hip://7,58,True,67.87,158.53,2.3358,1516
476,60,2048,1280,5120,512,128,1,256,1,1,4,1,16,32,8,8,0,"[512, 128, 0]","[8, 8, 0]","[0, 0, 1]",True,True,True,hip://2,59,True,67.89,204.68,3.01493,1734
482,61,2048,1280,5120,512,320,2,256,1,1,4,1,16,32,8,20,0,"[512, 320, 0]","[8, 20, 0]","[0, 0, 2]",True,True,True,hip://6,60,True,67.69,849.06,12.54281,2048
483,62,2048,1280,5120,512,256,2,256,1,1,4,1,16,32,8,16,0,"[512, 256, 0]","[8, 16, 0]","[0, 0, 2]",True,True,True,hip://5,61,True,67.68,2037.34,30.10044,2173
484,63,2048,1280,5120,512,160,2,256,1,1,4,1,16,32,8,10,0,"[512, 160, 0]","[8, 10, 0]","[0, 0, 2]",True,True,True,hip://7,62,True,67.87,1214.96,17.90125,2105
495,64,2048,1280,5120,512,32,2,512,1,1,8,1,16,32,4,2,0,"[512, 32, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://6,63,True,67.69,324.33,4.79123,1924
496,65,2048,1280,5120,512,16,2,512,1,1,8,1,16,32,4,1,0,"[512, 16, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://2,64,True,67.89,105.57,1.55508,1021
497,66,2048,1280,5120,512,32,2,256,1,1,4,1,16,32,8,2,0,"[512, 32, 0]","[8, 2, 0]","[0, 0, 2]",True,True,True,hip://5,65,True,67.68,189.71,2.80289,1681
498,67,2048,1280,5120,512,16,2,256,1,1,4,1,16,32,8,1,0,"[512, 16, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://7,66,True,67.87,112.81,1.66214,1130
499,68,2048,1280,5120,512,64,2,256,1,1,4,1,16,32,8,4,0,"[512, 64, 0]","[8, 4, 0]","[0, 0, 2]",True,True,True,hip://2,67,True,67.89,187.18,2.75713,1668
500,69,2048,1280,5120,512,80,2,256,1,1,4,1,16,32,8,5,0,"[512, 80, 0]","[8, 5, 0]","[0, 0, 2]",True,True,True,hip://6,68,True,67.69,137.37,2.02937,1388
501,70,2048,1280,5120,512,128,2,256,1,1,4,1,16,32,8,8,0,"[512, 128, 0]","[8, 8, 0]","[0, 0, 2]",True,True,True,hip://5,69,True,67.68,196.56,2.90398,1705
502,71,2048,1280,5120,512,32,1,512,1,1,4,2,16,32,8,1,0,"[512, 32, 0]","[8, 1, 0]","[0, 0, 1]",True,True,True,hip://7,70,True,67.87,196.16,2.89028,1698
503,72,2048,1280,5120,512,32,2,512,1,1,4,2,16,32,8,1,0,"[512, 32, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://2,71,True,67.89,126.02,1.8562,1287
504,73,2048,1280,5120,512,32,1,256,1,1,2,2,16,32,16,1,0,"[512, 32, 0]","[16, 1, 0]","[0, 0, 1]",True,True,True,hip://6,72,True,67.69,108.65,1.60499,1078
507,74,2048,1280,5120,512,64,1,256,1,1,1,4,16,32,32,1,0,"[512, 64, 0]","[32, 1, 0]","[0, 0, 1]",True,True,True,hip://5,73,True,67.68,131.4,1.94141,1338
509,75,2048,1280,5120,512,128,1,256,1,1,1,4,16,32,32,2,0,"[512, 128, 0]","[32, 2, 0]","[0, 0, 1]",True,True,True,hip://7,74,True,67.87,199.64,2.94148,1712
513,76,2048,1280,5120,512,160,1,512,1,1,4,2,16,32,8,5,0,"[512, 160, 0]","[8, 5, 0]","[0, 0, 1]",True,True,True,hip://2,75,True,67.89,731.76,10.7786,2023
514,77,2048,1280,5120,512,160,1,256,1,1,2,2,16,32,16,5,0,"[512, 160, 0]","[16, 5, 0]","[0, 0, 1]",True,True,True,hip://6,76,True,67.69,291.14,4.30084,1902
516,78,2048,1280,5120,512,320,1,512,1,1,4,2,16,32,8,10,0,"[512, 320, 0]","[8, 10, 0]","[0, 0, 1]",True,True,True,hip://5,77,True,67.68,1330.64,19.65931,2116
517,79,2048,1280,5120,512,256,1,512,1,1,4,2,16,32,8,8,0,"[512, 256, 0]","[8, 8, 0]","[0, 0, 1]",True,True,True,hip://7,78,True,67.87,2317.34,34.14373,2195
518,80,2048,1280,5120,512,320,1,256,1,1,2,2,16,32,16,10,0,"[512, 320, 0]","[16, 10, 0]","[0, 0, 1]",True,True,True,hip://2,79,True,67.89,1080.99,15.92274,2082
519,81,2048,1280,5120,512,256,1,256,1,1,2,2,16,32,16,8,0,"[512, 256, 0]","[16, 8, 0]","[0, 0, 1]",True,True,True,hip://6,80,True,67.69,2162.23,31.94181,2182
520,82,2048,1280,5120,512,320,1,512,1,1,2,4,16,32,16,5,0,"[512, 320, 0]","[16, 5, 0]","[0, 0, 1]",True,True,True,hip://5,81,True,67.68,4261.69,62.96374,2265
521,83,2048,1280,5120,512,256,1,512,1,1,2,4,16,32,16,4,0,"[512, 256, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://7,82,True,67.87,2157.63,31.7905,2181
522,84,2048,1280,5120,512,128,1,512,1,1,4,2,16,32,8,4,0,"[512, 128, 0]","[8, 4, 0]","[0, 0, 1]",True,True,True,hip://2,83,True,67.89,1050.25,15.46991,2080
523,85,2048,1280,5120,512,128,1,256,1,1,2,2,16,32,16,4,0,"[512, 128, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://6,84,True,67.69,197.02,2.91055,1708
524,86,2048,1280,5120,512,128,1,512,1,1,2,4,16,32,16,2,0,"[512, 128, 0]","[16, 2, 0]","[0, 0, 1]",True,True,True,hip://5,85,True,67.68,779.06,11.51008,2033
525,87,2048,1280,5120,512,64,1,512,1,1,2,4,16,32,16,1,0,"[512, 64, 0]","[16, 1, 0]","[0, 0, 1]",True,True,True,hip://7,86,True,67.87,197.42,2.90875,1707
527,88,2048,1280,5120,512,64,1,512,1,1,4,2,16,32,8,2,0,"[512, 64, 0]","[8, 2, 0]","[0, 0, 1]",True,True,True,hip://2,87,True,67.89,156.16,2.30013,1498
528,89,2048,1280,5120,512,64,1,256,1,1,2,2,16,32,16,2,0,"[512, 64, 0]","[16, 2, 0]","[0, 0, 1]",True,True,True,hip://6,88,True,67.69,145.45,2.14872,1434
529,90,2048,1280,5120,512,128,1,512,1,1,1,8,16,32,32,1,0,"[512, 128, 0]","[32, 1, 0]","[0, 0, 1]",True,True,True,hip://5,89,True,67.68,174.21,2.5739,1624
530,91,2048,1280,5120,512,320,2,512,1,1,2,4,16,32,16,5,0,"[512, 320, 0]","[16, 5, 0]","[0, 0, 2]",True,True,True,hip://7,90,True,67.87,217.24,3.20081,1788
531,92,2048,1280,5120,512,256,2,512,1,1,2,4,16,32,16,4,0,"[512, 256, 0]","[16, 4, 0]","[0, 0, 2]",True,True,True,hip://2,91,True,67.89,1399.52,20.61456,2121
532,93,2048,1280,5120,512,160,2,512,1,1,4,2,16,32,8,5,0,"[512, 160, 0]","[8, 5, 0]","[0, 0, 2]",True,True,True,hip://6,92,True,67.69,926.16,13.68185,2059
533,94,2048,1280,5120,512,320,2,512,1,1,4,2,16,32,8,10,0,"[512, 320, 0]","[8, 10, 0]","[0, 0, 2]",True,True,True,hip://5,93,True,67.68,255.11,3.76907,1865
534,95,2048,1280,5120,512,256,2,512,1,1,4,2,16,32,8,8,0,"[512, 256, 0]","[8, 8, 0]","[0, 0, 2]",True,True,True,hip://7,94,True,67.87,1742.66,25.67635,2148
