gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
72,1,2048,1280,1280,64,64,4,256,1,1,1,4,16,32,4,1,0,"[64, 64, 0]","[4, 1, 0]","[0, 0, 4]",True,True,False,,,False,,,,
80,2,2048,1280,1280,64,64,8,256,1,1,1,4,16,32,4,1,0,"[64, 64, 0]","[4, 1, 0]","[0, 0, 8]",True,True,True,hip://2,1,True,18.54,12.9,0.69585,21
82,3,2048,1280,1280,64,128,8,512,1,1,1,8,16,32,4,1,0,"[64, 128, 0]","[4, 1, 0]","[0, 0, 8]",True,True,True,hip://5,2,True,18.52,18.9,1.02078,481
83,4,2048,1280,1280,64,128,1,512,1,1,1,8,16,32,4,1,0,"[64, 128, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://6,3,True,18.57,16.81,0.90525,287
84,5,2048,1280,1280,64,128,2,512,1,1,1,8,16,32,4,1,0,"[64, 128, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://7,4,True,18.54,20.86,1.12477,666
87,6,2048,1280,1280,64,128,4,512,1,1,1,8,16,32,4,1,0,"[64, 128, 0]","[4, 1, 0]","[0, 0, 4]",True,True,True,hip://7,5,True,18.54,16.6,0.89552,274
91,7,2048,1280,1280,64,64,1,256,1,1,1,4,16,32,4,1,0,"[64, 64, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://2,6,True,18.54,13.97,0.75349,80
92,8,2048,1280,1280,64,64,2,256,1,1,1,4,16,32,4,1,0,"[64, 64, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://5,7,True,18.52,21.18,1.14368,705
126,9,2048,1280,1280,256,128,4,512,1,1,1,8,16,32,16,1,0,"[256, 128, 0]","[16, 1, 0]","[0, 0, 4]",True,True,True,hip://6,8,True,18.57,14.78,0.79621,136
127,10,2048,1280,1280,256,128,1,512,1,1,1,8,16,32,16,1,0,"[256, 128, 0]","[16, 1, 0]","[0, 0, 1]",True,True,True,hip://7,9,True,18.54,25.93,1.39851,1099
128,11,2048,1280,1280,256,128,2,512,1,1,1,8,16,32,16,1,0,"[256, 128, 0]","[16, 1, 0]","[0, 0, 2]",True,True,True,hip://2,10,True,18.54,27.61,1.48912,1220
131,12,2048,1280,1280,256,64,4,256,1,1,1,4,16,32,16,1,0,"[256, 64, 0]","[16, 1, 0]","[0, 0, 4]",True,True,True,hip://5,11,True,18.52,25.96,1.40212,1103
134,13,2048,1280,1280,256,64,1,256,1,1,1,4,16,32,16,1,0,"[256, 64, 0]","[16, 1, 0]","[0, 0, 1]",True,True,True,hip://6,12,True,18.57,20.34,1.09538,618
137,14,2048,1280,1280,256,64,2,256,1,1,1,4,16,32,16,1,0,"[256, 64, 0]","[16, 1, 0]","[0, 0, 2]",True,True,True,hip://7,13,True,18.54,25.62,1.38178,1072
139,15,2048,1280,1280,128,128,4,512,1,1,1,8,16,32,8,1,0,"[128, 128, 0]","[8, 1, 0]","[0, 0, 4]",True,True,True,hip://6,14,True,18.57,20.63,1.11106,649
142,16,2048,1280,1280,32,128,4,512,1,1,1,8,16,32,2,1,0,"[32, 128, 0]","[2, 1, 0]","[0, 0, 4]",True,True,True,hip://5,15,True,18.52,15.75,0.8503,210
143,17,2048,1280,1280,16,128,4,512,1,1,1,8,16,32,1,1,0,"[16, 128, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://2,16,True,18.54,14.54,0.78433,116
146,18,2048,1280,1280,32,64,4,256,1,1,1,4,16,32,2,1,0,"[32, 64, 0]","[2, 1, 0]","[0, 0, 4]",True,True,True,hip://7,17,True,18.54,16.93,0.91296,300
147,19,2048,1280,1280,16,64,4,256,1,1,1,4,16,32,1,1,0,"[16, 64, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://6,18,True,18.57,13.51,0.72788,42
148,20,2048,1280,1280,128,64,4,256,1,1,1,4,16,32,8,1,0,"[128, 64, 0]","[8, 1, 0]","[0, 0, 4]",True,True,True,hip://2,19,True,18.54,16.42,0.88578,260
150,21,2048,1280,1280,512,128,2,512,1,1,1,8,16,32,32,1,0,"[512, 128, 0]","[32, 1, 0]","[0, 0, 2]",True,True,True,hip://5,20,True,18.52,15.37,0.83006,185
151,22,2048,1280,1280,512,128,1,512,1,1,1,8,16,32,32,1,0,"[512, 128, 0]","[32, 1, 0]","[0, 0, 1]",True,True,True,hip://7,21,True,18.54,53.16,2.86698,1861
154,23,2048,1280,1280,128,128,8,512,1,1,1,8,16,32,8,1,0,"[128, 128, 0]","[8, 1, 0]","[0, 0, 8]",True,True,True,hip://6,22,True,18.57,46.36,2.49735,1757
156,24,2048,1280,1280,128,128,2,512,1,1,1,8,16,32,8,1,0,"[128, 128, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://2,23,True,18.54,95.19,5.13333,1979
157,25,2048,1280,1280,128,128,1,512,1,1,1,8,16,32,8,1,0,"[128, 128, 0]","[8, 1, 0]","[0, 0, 1]",True,True,True,hip://5,24,True,18.52,16.95,0.91512,304
162,26,2048,1280,1280,128,64,8,256,1,1,1,4,16,32,8,1,0,"[128, 64, 0]","[8, 1, 0]","[0, 0, 8]",True,True,True,hip://7,25,True,18.54,19.56,1.05479,556
166,27,2048,1280,1280,128,64,2,256,1,1,1,4,16,32,8,1,0,"[128, 64, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://6,26,True,18.57,21.28,1.14636,707
167,28,2048,1280,1280,128,64,1,256,1,1,1,4,16,32,8,1,0,"[128, 64, 0]","[8, 1, 0]","[0, 0, 1]",True,True,True,hip://2,27,True,18.54,16.21,0.87423,239
174,29,2048,1280,1280,16,128,8,512,1,1,1,8,16,32,1,1,0,"[16, 128, 0]","[1, 1, 0]","[0, 0, 8]",True,True,True,hip://5,28,True,18.52,19.32,1.04332,532
175,30,2048,1280,1280,32,128,8,512,1,1,1,8,16,32,2,1,0,"[32, 128, 0]","[2, 1, 0]","[0, 0, 8]",True,True,True,hip://7,29,True,18.54,23.13,1.24724,852
182,31,2048,1280,1280,32,128,2,512,1,1,1,8,16,32,2,1,0,"[32, 128, 0]","[2, 1, 0]","[0, 0, 2]",True,True,True,hip://6,30,True,18.57,17.95,0.96682,394
183,32,2048,1280,1280,32,128,1,512,1,1,1,8,16,32,2,1,0,"[32, 128, 0]","[2, 1, 0]","[0, 0, 1]",True,True,True,hip://2,31,True,18.54,16.69,0.90024,280
184,33,2048,1280,1280,16,128,2,512,1,1,1,8,16,32,1,1,0,"[16, 128, 0]","[1, 1, 0]","[0, 0, 2]",True,True,True,hip://5,32,True,18.52,28.04,1.51432,1251
185,34,2048,1280,1280,16,128,1,512,1,1,1,8,16,32,1,1,0,"[16, 128, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://6,33,True,18.57,22.93,1.23487,834
188,35,2048,1280,1280,16,64,8,256,1,1,1,4,16,32,1,1,0,"[16, 64, 0]","[1, 1, 0]","[0, 0, 8]",True,True,True,hip://7,34,True,18.54,37.17,2.00459,1576
194,36,2048,1280,1280,16,64,2,256,1,1,1,4,16,32,1,1,0,"[16, 64, 0]","[1, 1, 0]","[0, 0, 2]",True,True,True,hip://2,35,True,18.54,17.47,0.9423,359
