gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
71,1,8192,640,640,512,160,4,512,1,1,8,1,32,8,2,5,0,"[512, 160, 0]","[2, 5, 0]","[0, 0, 4]",True,True,False,,,False,,,,
72,2,8192,640,640,512,160,2,512,1,1,8,1,32,8,2,5,0,"[512, 160, 0]","[2, 5, 0]","[0, 0, 2]",True,True,True,hip://2,1,True,27.21,56.25,2.06738,1407
73,3,8192,640,640,512,160,1,512,1,1,8,1,32,8,2,5,0,"[512, 160, 0]","[2, 5, 0]","[0, 0, 1]",True,True,True,hip://5,2,True,27.89,54.53,1.955,1341
350,4,8192,640,640,32,128,16,256,1,1,1,4,32,8,1,1,0,"[32, 128, 0]","[1, 1, 0]","[0, 0, 16]",True,True,True,hip://6,3,True,27.85,54.15,1.94467,1334
355,5,8192,640,640,32,128,4,256,1,1,1,4,32,8,1,1,0,"[32, 128, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://7,4,True,27.87,31.18,1.11877,514
357,6,8192,640,640,32,128,8,256,1,1,1,4,32,8,1,1,0,"[32, 128, 0]","[1, 1, 0]","[0, 0, 8]",True,True,True,hip://2,5,True,27.21,28.5,1.04732,389
359,7,8192,640,640,32,128,1,256,1,1,1,4,32,8,1,1,0,"[32, 128, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://6,6,True,27.85,23.36,0.83905,80
360,8,8192,640,640,32,128,2,256,1,1,1,4,32,8,1,1,0,"[32, 128, 0]","[1, 1, 0]","[0, 0, 2]",True,True,True,hip://5,7,True,27.89,84.77,3.03902,1606
419,9,8192,640,640,512,320,2,512,1,1,4,2,32,8,4,5,0,"[512, 320, 0]","[4, 5, 0]","[0, 0, 2]",True,True,True,hip://7,8,True,27.87,44.24,1.58751,1050
421,10,8192,640,640,512,320,1,512,1,1,8,1,16,16,4,20,0,"[512, 320, 0]","[4, 20, 0]","[0, 0, 1]",True,True,True,hip://2,9,True,27.21,783.34,28.79072,1870
422,11,8192,640,640,512,320,2,512,1,1,8,1,16,16,4,20,0,"[512, 320, 0]","[4, 20, 0]","[0, 0, 2]",True,True,True,hip://7,10,True,27.87,764.91,27.44595,1863
423,12,8192,640,640,512,128,2,512,1,1,8,1,16,16,4,8,0,"[512, 128, 0]","[4, 8, 0]","[0, 0, 2]",True,True,True,hip://6,11,True,27.85,653.36,23.46316,1843
424,13,8192,640,640,512,128,1,512,1,1,8,1,16,16,4,8,0,"[512, 128, 0]","[4, 8, 0]","[0, 0, 1]",True,True,True,hip://5,12,True,27.89,40.95,1.4682,954
425,14,8192,640,640,512,160,2,512,1,1,8,1,16,16,4,10,0,"[512, 160, 0]","[4, 10, 0]","[0, 0, 2]",True,True,True,hip://2,13,True,27.21,43.31,1.5917,1055
426,15,8192,640,640,512,160,1,512,1,1,8,1,16,16,4,10,0,"[512, 160, 0]","[4, 10, 0]","[0, 0, 1]",True,True,True,hip://7,14,True,27.87,58.55,2.10076,1423
431,16,8192,640,640,512,320,1,256,1,1,1,4,16,16,32,5,0,"[512, 320, 0]","[32, 5, 0]","[0, 0, 1]",True,True,True,hip://6,15,True,27.85,55.83,2.00494,1365
458,17,8192,640,640,128,320,4,256,1,1,1,4,16,16,8,5,0,"[128, 320, 0]","[8, 5, 0]","[0, 0, 4]",True,True,True,hip://5,16,True,27.89,508.45,18.22855,1823
464,18,8192,640,640,32,320,4,256,1,1,1,4,16,16,2,5,0,"[32, 320, 0]","[2, 5, 0]","[0, 0, 4]",True,True,True,hip://2,17,True,27.21,34.57,1.27056,718
465,19,8192,640,640,64,320,4,256,1,1,1,4,16,16,4,5,0,"[64, 320, 0]","[4, 5, 0]","[0, 0, 4]",True,True,True,hip://5,18,True,27.89,28.79,1.03201,354
469,20,8192,640,640,16,320,4,256,1,1,1,4,16,16,1,5,0,"[16, 320, 0]","[1, 5, 0]","[0, 0, 4]",True,True,True,hip://6,19,True,27.85,22.38,0.8036,57
476,21,8192,640,640,16,320,1,256,1,1,1,4,16,16,1,5,0,"[16, 320, 0]","[1, 5, 0]","[0, 0, 1]",True,True,True,hip://7,20,True,27.87,42.55,1.52677,997
477,22,8192,640,640,16,320,2,256,1,1,1,4,16,16,1,5,0,"[16, 320, 0]","[1, 5, 0]","[0, 0, 2]",True,True,True,hip://2,21,True,27.21,50.73,1.86452,1294
479,23,8192,640,640,256,320,1,256,1,1,1,4,16,16,16,5,0,"[256, 320, 0]","[16, 5, 0]","[0, 0, 1]",True,True,True,hip://6,22,True,27.85,39.36,1.41334,889
480,24,8192,640,640,512,320,2,256,1,1,1,4,16,16,32,5,0,"[512, 320, 0]","[32, 5, 0]","[0, 0, 2]",True,True,True,hip://7,23,True,27.87,308.04,11.05294,1773
481,25,8192,640,640,256,320,2,256,1,1,1,4,16,16,16,5,0,"[256, 320, 0]","[16, 5, 0]","[0, 0, 2]",True,True,True,hip://5,24,True,27.89,470.93,16.88349,1816
482,26,8192,640,640,32,320,2,256,1,1,1,4,16,16,2,5,0,"[32, 320, 0]","[2, 5, 0]","[0, 0, 2]",True,True,True,hip://2,25,True,27.21,55.12,2.02592,1381
483,27,8192,640,640,64,320,2,256,1,1,1,4,16,16,4,5,0,"[64, 320, 0]","[4, 5, 0]","[0, 0, 2]",True,True,True,hip://5,26,True,27.89,24.18,0.86694,125
484,28,8192,640,640,32,320,1,256,1,1,1,4,16,16,2,5,0,"[32, 320, 0]","[2, 5, 0]","[0, 0, 1]",True,True,True,hip://7,27,True,27.87,22.15,0.7948,50
