gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,256,256,256,128,128,64,128,2,1,2,2,16,4,0,0,0,True,True,False,,,False,,,,
2,2,256,256,256,128,64,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://2,1,True,13.13,43.01,3.27571,239
3,3,256,256,256,128,32,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,2,True,13.07,12.92,0.98842,88
4,4,256,256,256,128,64,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,3,True,13.11,9.41,0.71741,56
5,5,256,256,256,128,32,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://7,4,True,13.16,13.23,1.00566,95
67,6,256,256,256,64,16,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,5,True,13.11,8.56,0.65325,43
68,7,256,256,256,64,32,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,6,True,13.16,4.84,0.36802,2
70,8,256,256,256,64,64,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,7,True,13.13,5.9,0.4491,11
81,9,256,256,256,64,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,8,True,13.07,23.74,1.8164,186
82,10,256,256,256,64,128,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,9,True,13.11,13.31,1.01546,99
83,11,256,256,256,64,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,10,True,13.16,14.15,1.07575,117
84,12,256,256,256,64,256,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,11,True,13.07,24.11,1.84465,190
86,13,256,256,256,64,128,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,12,True,13.13,23.92,1.8214,188
91,14,256,256,256,64,16,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,13,True,13.11,13.15,1.00266,92
92,15,256,256,256,64,32,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,14,True,13.16,4.96,0.3771,3
93,16,256,256,256,64,64,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,15,True,13.07,6.38,0.48837,13
94,17,256,256,256,64,16,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,16,True,13.13,8.55,0.65078,41
95,18,256,256,256,64,32,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,17,True,13.11,4.63,0.3535,1
96,19,256,256,256,64,64,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,18,True,13.16,5.75,0.43705,9
103,20,256,256,256,64,16,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,19,True,13.13,8.31,0.63266,34
104,21,256,256,256,64,32,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,20,True,13.07,5.73,0.43836,10
105,22,256,256,256,64,64,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,21,True,13.11,5.69,0.43416,6
109,23,256,256,256,256,32,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://7,22,True,13.16,7.98,0.60658,24
110,24,256,256,256,128,32,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://2,23,True,13.13,13.96,1.06301,112
111,25,256,256,256,128,128,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://5,24,True,13.07,8.71,0.66599,48
112,26,256,256,256,128,256,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,25,True,13.11,21.49,1.63908,149
113,27,256,256,256,128,64,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://7,26,True,13.16,39.36,2.99133,215
114,28,256,256,256,256,128,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://2,27,True,13.13,13.01,0.99096,90
115,29,256,256,256,256,256,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://5,28,True,13.07,38.77,2.9663,211
116,30,256,256,256,256,64,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,29,True,13.11,74.94,5.71585,249
117,31,256,256,256,256,16,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,30,True,13.16,21.86,1.66103,155
121,32,256,256,256,256,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,31,True,13.13,10.75,0.81897,62
122,33,256,256,256,256,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,32,True,13.07,40.7,3.11374,231
125,34,256,256,256,256,32,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,33,True,13.11,84.55,6.4493,258
126,35,256,256,256,256,64,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,34,True,13.16,15.21,1.15582,127
127,36,256,256,256,128,64,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,35,True,13.13,22.82,1.73817,176
128,37,256,256,256,128,16,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,36,True,13.07,13.13,1.00453,94
129,38,256,256,256,128,32,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,37,True,13.11,6.89,0.52576,17
130,39,256,256,256,128,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,38,True,13.16,9.0,0.68414,50
131,40,256,256,256,128,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,39,True,13.13,21.99,1.67469,160
137,41,256,256,256,128,16,64,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://5,40,True,13.07,41.32,3.16126,232
138,42,256,256,256,128,16,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,41,True,13.11,5.91,0.45047,12
139,43,256,256,256,128,32,64,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://2,42,True,13.13,5.5,0.41912,4
140,44,256,256,256,128,32,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://5,43,True,13.07,8.02,0.61366,27
141,45,256,256,256,256,32,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://7,44,True,13.16,7.99,0.60708,25
142,46,256,256,256,256,16,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,45,True,13.11,13.53,1.03216,107
143,47,256,256,256,256,128,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://7,46,True,13.16,9.09,0.69078,51
144,48,256,256,256,256,256,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://2,47,True,13.13,38.35,2.92068,201
145,49,256,256,256,256,64,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://5,48,True,13.07,165.4,12.65373,274
