gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,4096,640,640,512,128,16,64,4,1,4,1,16,4,0,0,0,True,True,False,,,False,,,,
2,2,4096,640,640,32,128,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,1,True,61.2,224.08,3.66111,325
3,3,4096,640,640,256,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,2,True,61.04,48.29,0.79106,46
4,4,4096,640,640,128,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,3,True,61.35,359.11,5.8534,343
5,5,4096,640,640,64,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,4,True,64.09,128.45,2.00428,268
17,6,4096,640,640,512,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://2,5,True,61.2,71.32,1.16526,172
19,7,4096,640,640,32,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,6,True,61.04,2863.69,46.91119,374
20,8,4096,640,640,16,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,7,True,64.09,44.34,0.69192,18
27,9,4096,640,640,16,320,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,8,True,61.35,49.78,0.81134,51
31,10,4096,640,640,32,320,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://2,9,True,61.2,63.13,1.03145,133
32,11,4096,640,640,64,320,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,10,True,61.04,44.71,0.73248,30
33,12,4096,640,640,128,320,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,11,True,61.35,73.44,1.19712,182
34,13,4096,640,640,512,320,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://7,12,True,64.09,137.81,2.15037,287
35,14,4096,640,640,512,320,16,128,2,1,2,2,16,4,0,0,0,True,False,False,,,False,,,,
38,15,4096,640,640,256,320,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,13,True,61.2,2207.6,36.06922,371
39,16,4096,640,640,256,320,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://6,14,True,61.35,267.69,4.36338,334
40,17,4096,640,640,128,320,16,256,2,1,2,4,16,4,0,0,0,True,False,False,,,False,,,,
41,18,4096,640,640,64,320,16,256,2,1,2,4,16,4,0,0,0,True,False,False,,,False,,,,
42,19,4096,640,640,32,320,16,256,2,1,2,4,16,4,0,0,0,True,False,False,,,False,,,,
43,20,4096,640,640,128,320,16,128,2,1,2,2,16,4,0,0,0,True,False,False,,,False,,,,
44,21,4096,640,640,64,320,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,15,True,64.09,138.29,2.15784,289
45,22,4096,640,640,32,320,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,16,True,61.04,72.99,1.19567,181
49,23,4096,640,640,128,320,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://2,17,True,61.2,45.72,0.74695,39
50,24,4096,640,640,64,320,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://6,18,True,61.35,125.73,2.0494,277
51,25,4096,640,640,32,320,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,19,True,61.04,68.32,1.11913,162
52,26,4096,640,640,256,64,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,20,True,64.09,42.94,0.67003,12
53,27,4096,640,640,256,128,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://2,21,True,61.2,64.98,1.06174,142
54,28,4096,640,640,512,128,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,22,True,61.35,111.31,1.81427,250
55,29,4096,640,640,512,64,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,23,True,61.04,252.7,4.13953,332
56,30,4096,640,640,512,128,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://7,24,True,64.09,167.04,2.60651,309
57,31,4096,640,640,512,64,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://2,25,True,61.2,207.97,3.39801,322
58,32,4096,640,640,256,64,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,26,True,61.35,123.45,2.01227,269
59,33,4096,640,640,256,128,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,27,True,64.09,61.0,0.9519,110
