gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,8192,5120,640,64,128,32,128,2,1,2,2,16,32,0,0,0,True,True,False,,,False,,,,
2,2,8192,5120,640,512,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,,100.21,,
3,3,8192,5120,640,256,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,2,True,,479.95,,
4,4,8192,5120,640,128,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,3,True,,74.07,,
5,5,8192,5120,640,32,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,4,True,,63.3,,
6,6,8192,5120,640,64,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,5,True,,96.73,,
7,7,8192,5120,640,512,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,6,True,,72.17,,
8,8,8192,5120,640,512,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,7,True,,93.29,,
9,9,8192,5120,640,256,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,8,True,,89.8,,
10,10,8192,5120,640,256,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,9,True,,73.61,,
11,11,8192,5120,640,512,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,10,True,,74.69,,
12,12,8192,5120,640,512,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,11,True,,835.8,,
13,13,8192,5120,640,32,512,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
14,14,8192,5120,640,64,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,12,True,,97.48,,
15,15,8192,5120,640,128,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,13,True,,81.95,,
16,16,8192,5120,640,128,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,14,True,,89.34,,
17,17,8192,5120,640,32,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
18,18,8192,5120,640,64,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
19,19,8192,5120,640,256,512,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
20,20,8192,5120,640,256,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,15,True,,543.67,,
21,21,8192,5120,640,512,128,64,512,1,1,1,8,16,32,0,0,0,True,False,False,,,False,,,,
22,22,8192,5120,640,512,256,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,16,True,,86.24,,
23,23,8192,5120,640,256,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,17,True,,369.16,,
24,24,8192,5120,640,128,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,18,True,,438.32,,
25,25,8192,5120,640,64,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,19,True,,75.93,,
26,26,8192,5120,640,32,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,20,True,,77.53,,
27,27,8192,5120,640,16,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,21,True,,91.69,,
28,28,8192,5120,640,512,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,22,True,,138.56,,
29,29,8192,5120,640,256,320,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,23,True,,784.85,,
30,30,8192,5120,640,256,160,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
31,31,8192,5120,640,256,256,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
32,32,8192,5120,640,128,160,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,24,True,,77.4,,
33,33,8192,5120,640,128,256,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
34,34,8192,5120,640,64,256,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,25,True,,73.86,,
35,35,8192,5120,640,256,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,26,True,,75.7,,
36,36,8192,5120,640,256,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,27,True,,64.43,,
37,37,8192,5120,640,256,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,28,True,,70.83,,
38,38,8192,5120,640,64,160,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,29,True,,104.56,,
39,39,8192,5120,640,128,64,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
40,40,8192,5120,640,128,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,30,True,,77.26,,
41,41,8192,5120,640,128,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,31,True,,93.55,,
42,42,8192,5120,640,64,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,32,True,,67.76,,
43,43,8192,5120,640,512,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,33,True,,74.83,,
44,44,8192,5120,640,512,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,34,True,,84.3,,
45,45,8192,5120,640,512,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,35,True,,98.04,,
47,46,8192,5120,640,256,32,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,36,True,,85.9,,
49,47,8192,5120,640,256,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,37,True,,92.04,,
50,48,8192,5120,640,256,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,38,True,,64.23,,
51,49,8192,5120,640,512,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,39,True,,78.24,,
52,50,8192,5120,640,128,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,40,True,,91.68,,
53,51,8192,5120,640,64,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,41,True,,79.47,,
55,52,8192,5120,640,128,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,42,True,,107.21,,
58,53,8192,5120,640,64,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,43,True,,80.55,,
60,54,8192,5120,640,128,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,44,True,,71.32,,
61,55,8192,5120,640,512,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,45,True,,71.18,,
62,56,8192,5120,640,512,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,46,True,,78.6,,
63,57,8192,5120,640,512,128,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,47,True,,77.8,,
64,58,8192,5120,640,512,128,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,48,True,,101.25,,
65,59,8192,5120,640,512,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,49,True,,78.57,,
66,60,8192,5120,640,512,320,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,50,True,,395.55,,
67,61,8192,5120,640,512,512,32,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
68,62,8192,5120,640,512,256,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,51,True,,1330.35,,
69,63,8192,5120,640,512,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,52,True,,349.04,,
70,64,8192,5120,640,64,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,53,True,,1176.49,,
71,65,8192,5120,640,32,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,54,True,,90.34,,
72,66,8192,5120,640,16,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,55,True,,150.54,,
73,67,8192,5120,640,128,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,56,True,,241.58,,
74,68,8192,5120,640,256,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,57,True,,77.94,,
75,69,8192,5120,640,256,320,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,58,True,,396.21,,
76,70,8192,5120,640,256,256,32,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
77,71,8192,5120,640,256,160,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,59,True,,96.55,,
78,72,8192,5120,640,256,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,60,True,,76.54,,
79,73,8192,5120,640,512,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,61,True,,76.36,,
80,74,8192,5120,640,512,160,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
81,75,8192,5120,640,512,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,62,True,,81.09,,
82,76,8192,5120,640,512,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,63,True,,108.21,,
83,77,8192,5120,640,512,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,64,True,,134.82,,
84,78,8192,5120,640,128,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,65,True,,481.44,,
85,79,8192,5120,640,128,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,66,True,,156.61,,
86,80,8192,5120,640,256,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,67,True,,106.17,,
87,81,8192,5120,640,256,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,68,True,,146.34,,
88,82,8192,5120,640,64,160,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,69,True,,91.03,,
89,83,8192,5120,640,128,160,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,70,True,,121.98,,
90,84,8192,5120,640,64,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,71,True,,95.09,,
91,85,8192,5120,640,128,320,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
92,86,8192,5120,640,64,512,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
93,87,8192,5120,640,64,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,72,True,,102.65,,
94,88,8192,5120,640,128,512,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,73,True,,92.35,,
95,89,8192,5120,640,128,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,74,True,,80.29,,
96,90,8192,5120,640,512,512,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,75,True,,92.79,,
97,91,8192,5120,640,256,512,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,76,True,,1275.29,,
98,92,8192,5120,640,256,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,77,True,,739.86,,
99,93,8192,5120,640,512,160,32,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
100,94,8192,5120,640,512,80,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,78,True,,72.74,,
101,95,8192,5120,640,512,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,79,True,,103.91,,
102,96,8192,5120,640,512,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,80,True,,90.27,,
103,97,8192,5120,640,512,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,81,True,,146.19,,
104,98,8192,5120,640,128,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,82,True,,239.52,,
105,99,8192,5120,640,128,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,83,True,,294.18,,
106,100,8192,5120,640,128,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,84,True,,165.21,,
107,101,8192,5120,640,128,80,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,85,True,,124.94,,
108,102,8192,5120,640,128,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,86,True,,107.94,,
109,103,8192,5120,640,256,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,87,True,,93.41,,
110,104,8192,5120,640,256,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,88,True,,248.15,,
111,105,8192,5120,640,256,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,89,True,,157.23,,
