gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,8192,640,640,32,128,32,128,2,1,2,2,16,32,0,0,0,True,True,False,,,False,,,,
2,2,8192,640,640,256,160,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,1,True,13.48,24.36,1.8074,456
4,3,8192,640,640,128,160,128,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
5,4,8192,640,640,256,160,128,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
6,5,8192,640,640,128,320,128,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
8,6,8192,640,640,128,320,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,2,True,13.58,16.41,1.20901,149
9,7,8192,640,640,128,32,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,3,True,13.82,18.5,1.33874,263
10,8,8192,640,640,128,64,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,4,True,13.48,15.77,1.16979,125
11,9,8192,640,640,128,160,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,5,True,13.58,16.03,1.18068,132
12,10,8192,640,640,128,128,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,6,True,13.48,12.84,0.95218,8
44,11,8192,640,640,128,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,7,True,13.82,17.61,1.27401,205
45,12,8192,640,640,128,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,8,True,13.48,16.46,1.22098,159
46,13,8192,640,640,128,32,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,9,True,13.58,24.73,1.82162,464
47,14,8192,640,640,128,32,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,10,True,13.48,16.2,1.2014,145
48,15,8192,640,640,128,32,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,11,True,13.82,17.67,1.27837,209
49,16,8192,640,640,128,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,12,True,13.48,24.72,1.83426,469
50,17,8192,640,640,128,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,13,True,13.48,15.51,1.15049,108
51,18,8192,640,640,128,64,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,14,True,13.58,19.01,1.40035,318
52,19,8192,640,640,128,64,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,15,True,13.48,15.39,1.14196,99
53,20,8192,640,640,128,64,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,16,True,13.82,14.43,1.04394,43
54,21,8192,640,640,128,320,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,17,True,13.48,19.03,1.41092,326
55,22,8192,640,640,128,160,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
56,23,8192,640,640,128,128,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
57,24,8192,640,640,128,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,18,True,13.58,15.95,1.17514,131
58,25,8192,640,640,128,160,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
59,26,8192,640,640,128,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,19,True,13.48,17.48,1.29658,220
60,27,8192,640,640,128,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,20,True,13.82,15.55,1.12546,85
61,28,8192,640,640,128,320,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,21,True,13.58,15.3,1.12687,86
62,29,8192,640,640,128,320,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,22,True,13.48,19.18,1.42265,335
63,30,8192,640,640,128,160,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
64,31,8192,640,640,128,128,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
65,32,8192,640,640,128,160,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,23,True,13.48,13.55,1.00513,22
66,33,8192,640,640,128,128,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
148,34,8192,640,640,256,320,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,24,True,13.82,16.05,1.16161,120
149,35,8192,640,640,256,64,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
150,36,8192,640,640,256,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,25,True,13.58,20.09,1.47973,356
151,37,8192,640,640,16,320,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,26,True,13.48,20.73,1.53732,377
152,38,8192,640,640,32,320,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
153,39,8192,640,640,64,320,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
154,40,8192,640,640,128,320,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
155,41,8192,640,640,512,128,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
156,42,8192,640,640,512,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,27,True,13.48,94.7,7.02579,607
157,43,8192,640,640,512,320,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,28,True,13.82,27.5,1.9897,500
158,44,8192,640,640,512,128,32,512,1,1,1,8,16,32,0,0,0,True,False,False,,,False,,,,
159,45,8192,640,640,512,128,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,29,True,13.58,27.05,1.99227,502
219,46,8192,640,640,256,320,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,30,True,13.48,26.59,1.97211,496
640,47,8192,640,640,512,160,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,31,True,13.48,31.57,2.34193,546
641,48,8192,640,640,512,320,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,32,True,13.82,32.09,2.32252,545
642,49,8192,640,640,512,320,64,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
720,50,8192,640,640,256,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,33,True,13.58,272.68,20.08697,661
721,51,8192,640,640,256,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,34,True,13.48,25.56,1.89586,481
722,52,8192,640,640,256,32,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,35,True,13.48,17.93,1.33032,260
723,53,8192,640,640,256,160,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,36,True,13.82,19.54,1.41368,328
724,54,8192,640,640,256,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,37,True,13.58,21.49,1.58301,390
725,55,8192,640,640,256,320,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
727,56,8192,640,640,256,128,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
728,57,8192,640,640,256,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,38,True,13.48,17.59,1.30448,228
729,58,8192,640,640,256,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,39,True,13.48,18.45,1.36861,287
730,59,8192,640,640,256,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,40,True,13.82,15.9,1.15062,110
731,60,8192,640,640,256,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,41,True,13.58,15.0,1.10488,73
732,61,8192,640,640,256,64,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,42,True,13.48,16.59,1.23046,165
733,62,8192,640,640,512,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,43,True,13.48,18.06,1.33963,264
734,63,8192,640,640,512,320,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
735,64,8192,640,640,512,160,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
736,65,8192,640,640,512,128,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
737,66,8192,640,640,512,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,44,True,13.82,23.83,1.72436,425
738,67,8192,640,640,512,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,45,True,13.58,21.17,1.5598,382
739,68,8192,640,640,512,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,46,True,13.48,28.7,2.12906,521
740,69,8192,640,640,512,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,47,True,13.48,23.83,1.76701,440
