gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
91,1,4096,4096,4096,32,512,32,256,2,1,2,4,16,32,0,0,0,True,True,False,,,False,,,,
92,2,4096,4096,4096,32,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,137.08,435.53,3.17725,574
102,3,4096,4096,4096,128,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,2,True,137.51,397.71,2.89213,537
103,4,4096,4096,4096,512,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,3,True,137.56,238.79,1.73592,300
104,5,4096,4096,4096,256,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,4,True,138.04,3720.78,26.95508,880
105,6,4096,4096,4096,16,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,5,True,138.04,711.58,5.15501,696
106,7,4096,4096,4096,64,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,6,True,137.56,727.31,5.28742,699
107,8,4096,4096,4096,32,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,7,True,137.51,260.74,1.89611,355
115,9,4096,4096,4096,512,256,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,8,True,137.08,398.21,2.90503,541
122,10,4096,4096,4096,16,256,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,9,True,138.04,890.37,6.45025,759
125,11,4096,4096,4096,16,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,10,True,137.56,371.78,2.70278,522
126,12,4096,4096,4096,128,256,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,11,True,137.51,398.72,2.89949,539
127,13,4096,4096,4096,64,256,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,12,True,137.08,166.68,1.21597,122
128,14,4096,4096,4096,32,256,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,13,True,138.04,199.46,1.44499,203
129,15,4096,4096,4096,256,256,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,14,True,137.56,247.04,1.79597,323
130,16,4096,4096,4096,256,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,15,True,137.08,392.05,2.86006,534
142,17,4096,4096,4096,32,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,16,True,137.51,166.26,1.20908,119
148,18,4096,4096,4096,512,256,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,17,True,138.04,223.87,1.62181,257
149,19,4096,4096,4096,64,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,18,True,137.56,756.7,5.50105,713
150,20,4096,4096,4096,128,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,19,True,137.08,152.5,1.11253,67
151,21,4096,4096,4096,512,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,20,True,137.51,124.52,0.90554,2
156,22,4096,4096,4096,512,512,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,21,True,138.04,750.93,5.44011,708
157,23,4096,4096,4096,512,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,22,True,137.56,5749.66,41.79896,920
158,24,4096,4096,4096,512,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,23,True,137.51,1045.99,7.60648,777
159,25,4096,4096,4096,512,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,24,True,137.08,264.45,1.92921,366
160,26,4096,4096,4096,512,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,25,True,138.04,331.11,2.39871,476
161,27,4096,4096,4096,512,512,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,26,True,137.56,505.11,3.67204,632
162,28,4096,4096,4096,512,256,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,27,True,137.51,3856.33,28.0433,882
163,29,4096,4096,4096,512,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,28,True,137.08,1114.87,8.13318,786
164,30,4096,4096,4096,512,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,29,True,137.56,159.43,1.15903,85
165,31,4096,4096,4096,512,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,30,True,138.04,268.97,1.94851,372
166,32,4096,4096,4096,512,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,31,True,137.51,404.41,2.94088,546
167,33,4096,4096,4096,512,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,32,True,137.08,3323.65,24.24674,870
168,34,4096,4096,4096,512,128,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,33,True,137.56,3077.13,22.37017,859
169,35,4096,4096,4096,512,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,34,True,138.04,183.49,1.32928,176
170,36,4096,4096,4096,512,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,35,True,137.08,163.54,1.19304,107
171,37,4096,4096,4096,512,32,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,36,True,137.51,266.35,1.93689,370
172,38,4096,4096,4096,512,64,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,37,True,137.56,408.24,2.9678,550
173,39,4096,4096,4096,512,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,38,True,138.04,269.36,1.95134,373
174,40,4096,4096,4096,512,16,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,39,True,137.08,159.5,1.16356,88
175,41,4096,4096,4096,512,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,40,True,137.51,589.47,4.28668,672
176,42,4096,4096,4096,512,256,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,41,True,137.56,5441.08,39.55564,913
