gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,4096,640,640,32,128,32,128,2,1,2,2,16,32,0,0,0,True,True,False,,,False,,,,
2,2,4096,640,640,32,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,9.67,14.69,1.51876,334
4,3,4096,640,640,32,320,128,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
6,4,4096,640,640,32,320,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,2,True,9.23,9.1,0.98589,31
11,5,4096,640,640,32,160,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
12,6,4096,640,640,32,320,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
14,7,4096,640,640,32,160,128,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
17,8,4096,640,640,32,160,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,3,True,9.18,8.59,0.93649,17
19,9,4096,640,640,32,128,128,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
21,10,4096,640,640,32,128,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,4,False,9.32,,inf,701
41,11,4096,640,640,32,320,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,5,True,9.18,10.47,1.14076,141
42,12,4096,640,640,32,320,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,6,True,9.67,11.09,1.14599,143
78,13,4096,640,640,32,320,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,7,True,9.32,9.88,1.06052,80
80,14,4096,640,640,32,320,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,8,True,9.23,9.56,1.03656,57
81,15,4096,640,640,32,320,64,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
90,16,4096,640,640,128,128,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,9,True,9.18,14.94,1.62771,394
91,17,4096,640,640,128,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,10,True,9.67,10.43,1.07815,97
