gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,8192,5120,640,64,128,32,128,2,1,2,2,16,32,0,0,0,True,True,False,,,False,,,,
2,2,8192,5120,640,512,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,64.53,100.79,1.56187,400
3,3,8192,5120,640,256,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,2,True,59.97,425.09,7.08812,836
4,4,8192,5120,640,128,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,3,True,63.35,74.24,1.17192,77
5,5,8192,5120,640,32,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,4,True,60.72,63.56,1.04667,13
6,6,8192,5120,640,64,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,5,True,64.53,91.2,1.41333,290
7,7,8192,5120,640,512,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,6,True,60.72,70.08,1.15408,62
8,8,8192,5120,640,512,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,7,True,63.35,90.18,1.4236,300
9,9,8192,5120,640,256,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,8,True,59.97,83.18,1.38693,265
10,10,8192,5120,640,256,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,9,True,63.35,73.73,1.16387,70
11,11,8192,5120,640,512,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,10,True,59.97,74.54,1.24295,146
12,12,8192,5120,640,512,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,11,True,64.53,852.74,13.21442,928
13,13,8192,5120,640,32,512,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
14,14,8192,5120,640,64,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,12,True,60.72,99.1,1.63204,457
15,15,8192,5120,640,128,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,13,True,64.53,81.38,1.2611,161
16,16,8192,5120,640,128,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,14,True,63.35,78.4,1.23759,144
17,17,8192,5120,640,32,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
18,18,8192,5120,640,64,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
19,19,8192,5120,640,256,512,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
20,20,8192,5120,640,256,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,15,True,59.97,545.57,9.09692,872
21,21,8192,5120,640,512,128,64,512,1,1,1,8,16,32,0,0,0,True,False,False,,,False,,,,
22,22,8192,5120,640,512,256,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,16,True,60.72,87.41,1.43956,313
23,23,8192,5120,640,256,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,17,True,59.97,369.27,6.15735,819
24,24,8192,5120,640,128,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,18,True,64.53,436.51,6.76425,829
25,25,8192,5120,640,64,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,19,True,63.35,76.21,1.20307,108
