gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
2,1,4096,4096,4096,64,128,16,128,2,1,2,2,16,4,0,0,0,True,True,False,,,False,,,,
3,2,4096,4096,4096,128,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,1,True,1192.19,1035.46,0.86854,2
4,3,4096,4096,4096,128,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,2,True,1195.55,1195.17,0.99968,24
5,4,4096,4096,4096,128,64,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,3,True,1180.68,1128.35,0.95568,12
6,5,4096,4096,4096,128,32,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,4,True,1160.65,1025.87,0.88387,3
7,6,4096,4096,4096,128,16,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,5,True,1160.65,1293.24,1.11424,73
8,7,4096,4096,4096,128,512,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,6,True,1180.68,2003.65,1.69703,215
9,8,4096,4096,4096,256,512,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,7,True,1195.55,1474.69,1.23348,128
10,9,4096,4096,4096,512,512,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,8,True,1192.19,15836.38,13.28347,348
11,10,4096,4096,4096,64,512,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,9,True,1160.65,32819.57,28.27677,363
12,11,4096,4096,4096,256,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,10,True,1195.55,1594.23,1.33347,162
13,12,4096,4096,4096,256,64,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,11,True,1180.68,1162.01,0.98419,17
14,13,4096,4096,4096,256,32,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,12,True,1192.19,1138.33,0.95482,11
15,14,4096,4096,4096,256,16,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,13,True,1160.65,1218.48,1.04982,40
16,15,4096,4096,4096,256,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,14,True,1195.55,1941.21,1.62369,204
17,16,4096,4096,4096,512,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,15,True,1192.19,1420.67,1.19165,114
18,17,4096,4096,4096,512,64,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,16,True,1180.68,1522.87,1.28982,154
19,18,4096,4096,4096,512,32,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,17,True,1160.65,1554.95,1.33972,163
20,19,4096,4096,4096,512,16,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,18,True,1180.68,2005.83,1.69888,216
