gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
6,1,2048,1280,1280,128,256,64,256,1,1,1,4,16,16,0,0,0,True,True,False,,,False,,,,
7,2,2048,1280,1280,256,256,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,1,True,34.8,52.01,1.49473,842
9,3,2048,1280,1280,64,256,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,2,True,34.53,241.63,6.99716,1375
11,4,2048,1280,1280,32,256,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,3,True,34.47,35.43,1.02765,352
12,5,2048,1280,1280,16,256,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,4,True,34.75,46.73,1.34463,686
16,6,2048,1280,1280,128,320,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,5,True,34.53,55.53,1.60813,940
20,7,2048,1280,1280,32,320,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,6,True,34.75,63.54,1.82843,1042
21,8,2048,1280,1280,16,320,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,7,True,34.8,28.26,0.81208,105
22,9,2048,1280,1280,64,320,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,8,True,34.47,43.96,1.27512,610
23,10,2048,1280,1280,256,64,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,9,True,34.53,38.16,1.10501,430
24,11,2048,1280,1280,256,128,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,10,True,34.75,39.69,1.14217,477
189,12,2048,1280,1280,32,160,128,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://6,11,True,34.47,52.0,1.50828,850
195,13,2048,1280,1280,16,320,16,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,12,True,34.8,30.85,0.8866,168
201,14,2048,1280,1280,128,320,64,64,4,1,4,1,16,16,0,0,0,True,False,False,,,False,,,,
202,15,2048,1280,1280,128,320,32,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://6,13,True,34.47,63.97,1.85573,1054
204,16,2048,1280,1280,64,320,64,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://7,14,True,34.75,149.81,4.31056,1326
206,17,2048,1280,1280,64,320,16,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://5,15,True,34.53,42.81,1.23974,575
207,18,2048,1280,1280,64,320,32,64,4,1,4,1,16,16,0,0,0,True,False,False,,,False,,,,
210,19,2048,1280,1280,128,320,16,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://2,16,True,34.8,45.32,1.30251,645
211,20,2048,1280,1280,128,320,16,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
212,21,2048,1280,1280,256,320,16,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
214,22,2048,1280,1280,256,320,32,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
217,23,2048,1280,1280,128,320,64,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
218,24,2048,1280,1280,128,320,32,64,8,1,8,1,16,16,0,0,0,True,True,True,hip://5,17,True,34.53,57.6,1.6681,980
219,25,2048,1280,1280,512,320,16,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
220,26,2048,1280,1280,512,320,32,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
