gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
499,1,2048,1280,1280,256,256,128,256,1,1,1,4,16,32,0,0,0,True,True,False,,,False,,,,
516,2,2048,1280,1280,256,160,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,1,True,18.28,117.05,6.40183,821
517,3,2048,1280,1280,256,256,64,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
518,4,2048,1280,1280,256,160,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,2,True,18.31,41.36,2.25845,722
519,5,2048,1280,1280,256,160,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,3,True,18.31,37.35,2.04016,679
520,6,2048,1280,1280,256,80,64,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
521,7,2048,1280,1280,256,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,4,True,18.71,22.98,1.22827,374
522,8,2048,1280,1280,128,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,5,True,18.71,23.78,1.27111,411
523,9,2048,1280,1280,128,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,6,True,18.31,15.25,0.83283,81
524,10,2048,1280,1280,256,320,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,7,True,18.28,19.23,1.05175,254
525,11,2048,1280,1280,128,256,32,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
526,12,2048,1280,1280,128,160,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,8,True,18.31,27.13,1.48148,565
527,13,2048,1280,1280,128,160,32,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
528,14,2048,1280,1280,128,80,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,9,True,18.71,28.8,1.53985,596
529,15,2048,1280,1280,128,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,10,True,18.28,19.61,1.07276,275
530,16,2048,1280,1280,128,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,11,True,18.31,20.75,1.13286,322
531,17,2048,1280,1280,128,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,12,True,18.31,27.24,1.48807,571
532,18,2048,1280,1280,256,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,13,True,18.71,36.11,1.93018,661
533,19,2048,1280,1280,256,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,14,True,18.28,29.31,1.60312,617
534,20,2048,1280,1280,512,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,15,True,18.31,41.89,2.28817,725
535,21,2048,1280,1280,512,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,16,True,18.31,49.55,2.70558,766
538,22,2048,1280,1280,512,160,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,17,True,18.71,47.89,2.55994,754
539,23,2048,1280,1280,512,80,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,18,True,18.28,52.94,2.89556,779
540,24,2048,1280,1280,512,256,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,19,True,18.31,38.56,2.10633,690
541,25,2048,1280,1280,512,320,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,20,True,18.31,365.97,19.98498,920
542,26,2048,1280,1280,512,128,32,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
543,27,2048,1280,1280,512,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,21,True,18.71,51.05,2.72933,768
544,28,2048,1280,1280,512,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,22,False,18.28,,inf,1012
545,29,2048,1280,1280,512,256,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,23,True,18.31,33.29,1.81822,648
546,30,2048,1280,1280,512,160,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,24,True,18.31,597.42,32.6239,954
547,31,2048,1280,1280,512,320,64,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
548,32,2048,1280,1280,512,80,64,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
549,33,2048,1280,1280,512,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,25,True,18.71,34.36,1.8366,650
550,34,2048,1280,1280,512,64,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,26,True,18.31,38.9,2.12444,694
551,35,2048,1280,1280,512,32,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,27,True,18.28,26.48,1.44799,546
552,36,2048,1280,1280,512,16,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,28,True,18.31,20.9,1.14176,330
553,37,2048,1280,1280,512,16,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,29,True,18.71,34.38,1.83791,651
557,38,2048,1280,1280,512,160,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,30,True,18.31,37.7,2.0588,684
561,39,2048,1280,1280,512,320,32,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
563,40,2048,1280,1280,512,256,32,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
565,41,2048,1280,1280,512,80,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,31,True,18.28,997.42,54.55122,983
566,42,2048,1280,1280,512,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,32,True,18.31,43.26,2.36279,732
567,43,2048,1280,1280,512,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,33,True,18.71,180.43,9.64579,857
568,44,2048,1280,1280,512,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,34,True,18.31,34.7,1.89495,659
577,45,2048,1280,1280,512,160,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,35,True,18.28,27.16,1.48539,566
578,46,2048,1280,1280,512,320,64,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
579,47,2048,1280,1280,512,256,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,36,True,18.31,523.64,28.60102,940
590,48,2048,1280,1280,512,80,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,37,True,18.71,304.67,16.28724,906
591,49,2048,1280,1280,512,128,64,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
592,50,2048,1280,1280,512,64,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,38,True,18.31,47.01,2.56697,755
593,51,2048,1280,1280,512,32,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,39,True,18.28,31.81,1.73973,641
598,52,2048,1280,1280,512,320,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,40,True,18.31,23.84,1.30207,441
600,53,2048,1280,1280,512,256,32,512,1,1,1,8,16,32,0,0,0,True,False,False,,,False,,,,
602,54,2048,1280,1280,512,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,41,True,18.71,212.78,11.37498,877
607,55,2048,1280,1280,512,128,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,42,True,18.31,922.36,50.36843,978
608,56,2048,1280,1280,512,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,43,True,18.28,45.22,2.473,744
609,57,2048,1280,1280,512,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,44,True,18.31,42.96,2.3467,730
610,58,2048,1280,1280,512,64,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,45,True,18.71,191.03,10.21223,863
611,59,2048,1280,1280,512,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,46,True,18.31,41.06,2.24222,718
