gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
5,1,2048,1280,5120,256,128,16,256,1,1,1,4,16,16,0,0,0,True,True,False,,,False,,,,
6,2,2048,1280,5120,256,320,16,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,1,False,129.97,,inf,1605
7,3,2048,1280,5120,256,256,16,256,1,1,1,4,16,16,0,0,0,True,False,False,,,False,,,,
8,4,2048,1280,5120,256,320,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,2,True,152.49,2100.2,13.7725,1428
9,5,2048,1280,5120,256,256,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,3,True,214.81,511.96,2.38329,1133
12,6,2048,1280,5120,256,128,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,4,True,212.3,429.76,2.02428,1048
13,7,2048,1280,5120,256,64,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,5,True,152.49,255.93,1.67829,909
14,8,2048,1280,5120,512,320,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,6,True,214.81,181.96,0.84709,211
15,9,2048,1280,5120,512,256,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,7,True,212.3,4104.66,19.3341,1462
20,10,2048,1280,5120,512,128,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,8,True,129.97,2191.95,16.86519,1449
21,11,2048,1280,5120,512,64,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,9,True,214.81,521.98,2.42997,1150
30,12,2048,1280,5120,32,256,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,10,True,152.49,458.36,3.00577,1233
31,13,2048,1280,5120,64,256,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,11,False,212.3,,inf,1606
32,14,2048,1280,5120,16,256,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,12,True,129.97,147.14,1.13214,504
33,15,2048,1280,5120,128,256,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,13,True,214.81,292.31,1.36077,704
34,16,2048,1280,5120,64,320,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,14,True,152.49,328.25,2.15259,1079
35,17,2048,1280,5120,32,320,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,15,True,214.81,174.91,0.81423,178
36,18,2048,1280,5120,16,320,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,16,True,129.97,404.51,3.11239,1238
37,19,2048,1280,5120,128,320,32,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://5,17,True,152.49,313.66,2.05688,1055
41,20,2048,1280,5120,512,128,32,512,1,1,1,8,16,16,0,0,0,True,True,True,hip://7,18,True,212.3,238.56,1.12369,490
43,21,2048,1280,5120,512,256,32,512,1,1,1,8,16,16,0,0,0,True,True,True,hip://6,19,True,214.81,391.16,1.82093,974
44,22,2048,1280,5120,512,128,16,512,1,1,1,8,16,16,0,0,0,True,True,True,hip://2,20,True,129.97,1696.0,13.04927,1421
45,23,2048,1280,5120,512,256,16,512,1,1,1,8,16,16,0,0,0,True,True,True,hip://5,21,True,152.49,432.49,2.83615,1208
95,24,2048,1280,5120,16,256,16,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,22,True,212.3,2060.09,9.70358,1380
96,25,2048,1280,5120,16,320,16,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://6,23,True,214.81,463.06,2.15564,1082
97,26,2048,1280,5120,32,256,16,256,1,1,1,4,16,16,0,0,0,True,False,False,,,False,,,,
