dispatch_id,shuffle_min_search_space_#,heuristic_min_search_space_#,candidate_num,shuffle_min_search_space_%,heuristic_min_search_space_%,shuffle_avg,heuristic_avg,shuffle_gmean,heuristic_gmean
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/square_gemm_1024_1024_1024_f32_f32_tB.csv,80,33,1020,0.07843,0.03235,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/unet_gemm_1024_1280_5120_f8E4M3FNUZ_f32_tB.csv,269,1154,2408,0.11171,0.47924,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/tk_gemm_2048_10240_1280_f32_f32_tB.csv,73,53,2299,0.03175,0.02305,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/square_gemm_1024_1024_1024_f16_f32_tB.csv,84,59,2338,0.03593,0.02524,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/tk_gemm_2048_1280_5120_f16_f32_tB.csv,3653,1957,4000,0.91325,0.48925,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/tk_gemm_2048_1280_1280_f16_f32_tB.csv,530,2245,3980,0.13317,0.56407,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/unet_gemm_2048_1280_5120_f32_f32_tB.csv,718,492,2110,0.34028,0.23318,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/tk_gemm_2048_1280_1280_i8_i32_tB.csv,525,559,2358,0.22265,0.23707,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/square_gemm_4096_4096_4096_i8_i32_tB.csv,98,282,1359,0.07211,0.20751,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/unet_gemm_2048_10240_1280_f32_f32_tB.csv,73,40,2299,0.03175,0.0174,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/unet_gemm_1024_1280_5120_i8_i32_tB.csv,269,467,2408,0.11171,0.19394,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/tk_gemm_2048_1280_5120_i8_i32_tB.csv,945,1192,2408,0.39244,0.49502,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/unet_gemm_1024_10240_1280_f8E4M3FNUZ_f32_tB.csv,86,141,2608,0.03298,0.05406,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/unet_gemm_1024_1280_5120_f16_f32_tB.csv,365,827,4000,0.09125,0.20675,0.20488,0.20115,0.09948,0.12411
/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/tuning_database_tf_2/unet_gemm_1024_1280_1280_f8E4M3FNUZ_f32_tB.csv,598,1099,2358,0.2536,0.46607,0.20488,0.20115,0.09948,0.12411
