gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
2,1,4096,640,2560,128,320,2,512,1,1,8,1,16,4,1,20,0,"[128, 320, 0]","[1, 20, 0]","[0, 0, 2]",True,True,False,,,False,,,,
3,2,4096,640,2560,256,128,4,256,1,1,4,1,16,4,4,8,0,"[256, 128, 0]","[4, 8, 0]","[0, 0, 4]",True,True,True,hip://2,1,True,228.34,741.41,3.24691,1464
4,3,4096,640,2560,64,32,2,256,1,1,4,1,16,4,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 2]",True,True,True,hip://5,2,True,228.91,408.99,1.78668,1026
5,4,4096,640,2560,64,80,2,256,1,1,4,1,16,4,1,5,0,"[64, 80, 0]","[1, 5, 0]","[0, 0, 2]",True,True,True,hip://6,3,True,229.35,247.13,1.07753,424
6,5,4096,640,2560,64,64,2,256,1,1,4,1,16,4,1,4,0,"[64, 64, 0]","[1, 4, 0]","[0, 0, 2]",True,True,True,hip://7,4,True,228.99,180.4,0.78778,125
7,6,4096,640,2560,64,16,2,256,1,1,4,1,16,4,1,1,0,"[64, 16, 0]","[1, 1, 0]","[0, 0, 2]",True,True,True,hip://2,5,True,228.34,213.35,0.93436,286
8,7,4096,640,2560,64,16,4,256,1,1,4,1,16,4,1,1,0,"[64, 16, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://7,6,True,228.99,355.18,1.55109,854
10,8,4096,640,2560,64,16,8,256,1,1,4,1,16,4,1,1,0,"[64, 16, 0]","[1, 1, 0]","[0, 0, 8]",True,True,True,hip://6,7,True,229.35,220.43,0.96112,307
12,9,4096,640,2560,64,16,16,256,1,1,4,1,16,4,1,1,0,"[64, 16, 0]","[1, 1, 0]","[0, 0, 16]",True,True,True,hip://5,8,True,228.91,148.59,0.64911,25
17,10,4096,640,2560,64,32,16,256,1,1,4,1,16,4,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 16]",True,True,True,hip://2,9,True,228.34,151.77,0.66467,36
24,11,4096,640,2560,64,32,32,256,1,1,4,1,16,4,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 32]",True,True,True,hip://6,10,True,229.35,152.19,0.66359,33
25,12,4096,640,2560,64,32,4,256,1,1,4,1,16,4,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 4]",True,True,True,hip://5,11,True,228.91,199.87,0.87312,221
26,13,4096,640,2560,64,32,1,256,1,1,4,1,16,4,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 1]",True,True,True,hip://7,12,True,228.99,155.58,0.67944,50
28,14,4096,640,2560,64,32,8,256,1,1,4,1,16,4,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 8]",True,True,True,hip://2,13,True,228.34,496.43,2.17404,1202
92,15,4096,640,2560,64,160,16,256,1,1,4,1,16,4,1,10,0,"[64, 160, 0]","[1, 10, 0]","[0, 0, 16]",True,True,True,hip://5,14,True,228.91,138.56,0.60531,5
147,16,4096,640,2560,64,320,8,256,1,1,4,1,16,4,1,20,0,"[64, 320, 0]","[1, 20, 0]","[0, 0, 8]",True,True,True,hip://7,15,True,228.99,154.53,0.67482,46
148,17,4096,640,2560,64,160,8,256,1,1,4,1,16,4,1,10,0,"[64, 160, 0]","[1, 10, 0]","[0, 0, 8]",True,True,True,hip://6,16,True,229.35,311.55,1.35841,709
150,18,4096,640,2560,64,320,1,256,1,1,4,1,16,4,1,20,0,"[64, 320, 0]","[1, 20, 0]","[0, 0, 1]",True,True,True,hip://2,17,True,228.34,153.32,0.67145,42
151,19,4096,640,2560,64,320,4,256,1,1,4,1,16,4,1,20,0,"[64, 320, 0]","[1, 20, 0]","[0, 0, 4]",True,True,True,hip://5,18,True,228.91,738.98,3.22825,1461
152,20,4096,640,2560,64,320,2,256,1,1,4,1,16,4,1,20,0,"[64, 320, 0]","[1, 20, 0]","[0, 0, 2]",True,True,True,hip://7,19,True,228.99,302.26,1.31994,668
153,21,4096,640,2560,64,160,1,256,1,1,4,1,16,4,1,10,0,"[64, 160, 0]","[1, 10, 0]","[0, 0, 1]",True,True,True,hip://6,20,True,229.35,491.69,2.14384,1188
154,22,4096,640,2560,64,128,1,256,1,1,4,1,16,4,1,8,0,"[64, 128, 0]","[1, 8, 0]","[0, 0, 1]",True,True,True,hip://2,21,True,228.34,270.66,1.1853,535
155,23,4096,640,2560,64,80,1,256,1,1,4,1,16,4,1,5,0,"[64, 80, 0]","[1, 5, 0]","[0, 0, 1]",True,True,True,hip://5,22,True,228.91,342.08,1.49438,813
156,24,4096,640,2560,64,64,1,256,1,1,4,1,16,4,1,4,0,"[64, 64, 0]","[1, 4, 0]","[0, 0, 1]",True,True,True,hip://6,23,True,229.35,292.88,1.27699,623
157,25,4096,640,2560,64,16,1,256,1,1,4,1,16,4,1,1,0,"[64, 16, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://7,24,True,228.99,345.08,1.50696,818
158,26,4096,640,2560,64,160,4,256,1,1,4,1,16,4,1,10,0,"[64, 160, 0]","[1, 10, 0]","[0, 0, 4]",True,True,True,hip://2,25,True,228.34,679.78,2.97702,1417
