gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,4096,4096,8192,64,64,16,64,2,1,2,2,16,16,0,0,0,True,True,False,,,False,,,,
2,2,4096,4096,8192,128,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,1,True,4541.83,12544.83,2.76206,339
3,3,4096,4096,8192,512,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,2,True,4541.83,4023.36,0.88584,106
4,4,4096,4096,8192,256,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,3,True,4541.83,5654.48,1.24498,163
5,5,4096,4096,8192,64,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,4,True,4541.83,3810.73,0.83903,85
6,6,4096,4096,8192,512,128,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,5,True,4541.83,5008.15,1.10267,140
7,7,4096,4096,8192,512,128,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,6,True,4541.83,42750.79,9.41267,509
9,8,4096,4096,8192,512,512,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,7,True,4541.83,51208.7,11.27489,569
10,9,4096,4096,8192,512,256,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,8,True,4541.83,80149.42,17.64693,660
13,10,4096,4096,8192,512,512,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,9,True,4541.83,56867.48,12.52082,594
14,11,4096,4096,8192,512,256,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,10,True,4541.83,70310.55,15.48065,639
15,12,4096,4096,8192,512,64,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,11,True,4541.83,51376.08,11.31175,572
16,13,4096,4096,8192,64,128,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,12,True,4541.83,3193.6,0.70315,54
17,14,4096,4096,8192,64,256,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,13,True,4541.83,6250.72,1.37625,184
18,15,4096,4096,8192,64,512,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,14,True,4541.83,6809.76,1.49934,210
19,16,4096,4096,8192,64,64,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,15,True,4541.83,6675.61,1.4698,201
20,17,4096,4096,8192,64,32,128,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,16,True,4541.83,4214.87,0.92801,117
21,18,4096,4096,8192,64,32,256,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,17,True,4541.83,5061.81,1.11449,141
22,19,4096,4096,8192,64,32,64,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,18,True,4541.83,5220.64,1.14946,148
23,20,4096,4096,8192,64,32,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,19,True,4541.83,4008.8,0.88264,104
24,21,4096,4096,8192,64,128,128,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,20,True,4541.83,7628.42,1.67959,233
25,22,4096,4096,8192,64,128,64,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,21,True,4541.83,3450.08,0.75962,72
26,23,4096,4096,8192,64,128,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,22,True,4541.83,2991.79,0.65872,42
27,24,4096,4096,8192,64,256,64,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,23,True,4541.83,12168.15,2.67913,335
28,25,4096,4096,8192,64,64,64,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,24,True,4541.83,3374.96,0.74308,69
29,26,4096,4096,8192,64,64,64,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,25,True,4541.83,3113.08,0.68542,50
30,27,4096,4096,8192,64,32,64,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,26,True,4541.83,2750.46,0.60558,27
31,28,4096,4096,8192,64,16,64,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,27,True,4541.83,3330.46,0.73328,64
32,29,4096,4096,8192,64,16,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,28,True,4541.83,4640.16,1.02165,130
33,30,4096,4096,8192,64,16,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,29,True,4541.83,11717.23,2.57985,324
34,31,4096,4096,8192,64,64,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,30,True,4541.83,6265.04,1.37941,186
35,32,4096,4096,8192,64,64,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,31,True,4541.83,12768.6,2.81133,340
36,33,4096,4096,8192,64,32,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,32,True,4541.83,6057.21,1.33365,178
37,34,4096,4096,8192,64,32,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,33,True,4541.83,9288.22,2.04504,278
38,35,4096,4096,8192,64,256,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,34,True,4541.83,4897.71,1.07835,137
39,36,4096,4096,8192,64,512,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,35,True,4541.83,13258.44,2.91918,349
40,37,4096,4096,8192,64,128,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,36,True,4541.83,28956.87,6.37559,456
42,38,4096,4096,8192,128,512,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,37,True,4541.83,13755.87,3.0287,357
43,39,4096,4096,8192,128,512,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,38,True,4541.83,21836.49,4.80786,412
44,40,4096,4096,8192,256,512,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,39,True,4541.83,58551.25,12.89154,601
45,41,4096,4096,8192,512,512,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,40,True,4541.83,97034.4,21.36458,686
46,42,4096,4096,8192,512,256,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,41,True,4541.83,93248.86,20.5311,682
47,43,4096,4096,8192,512,128,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,42,True,4541.83,81087.71,17.85352,662
49,44,4096,4096,8192,128,256,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,43,True,4541.83,43432.39,9.56274,518
50,45,4096,4096,8192,256,256,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,44,True,4541.83,30069.59,6.62058,463
51,46,4096,4096,8192,256,128,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,45,True,4541.83,46240.39,10.18099,534
52,47,4096,4096,8192,256,64,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,46,True,4541.83,22124.29,4.87122,416
53,48,4096,4096,8192,256,32,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,47,True,4541.83,8618.99,1.89769,258
54,49,4096,4096,8192,256,16,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,48,True,4541.83,8210.59,1.80777,248
55,50,4096,4096,8192,512,16,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,49,True,4541.83,11342.06,2.49724,314
56,51,4096,4096,8192,512,32,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,50,True,4541.83,19519.97,4.29782,400
57,52,4096,4096,8192,512,64,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,51,True,4541.83,11939.09,2.62869,330
58,53,4096,4096,8192,512,512,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,52,True,4541.83,23804.79,5.24123,436
59,54,4096,4096,8192,512,256,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,53,True,4541.83,86870.57,19.12676,669
77,55,4096,4096,8192,512,32,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,54,True,4541.83,57747.91,12.71467,598
78,56,4096,4096,8192,512,32,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,55,True,4541.83,5766.84,1.26972,164
84,57,4096,4096,8192,512,512,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,56,True,4541.83,5901.46,1.29935,172
85,58,4096,4096,8192,512,256,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,57,True,4541.83,76800.42,16.90956,653
86,59,4096,4096,8192,512,512,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,58,True,4541.83,52621.48,11.58595,577
87,60,4096,4096,8192,512,256,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,59,True,4541.83,89425.55,19.6893,674
88,61,4096,4096,8192,512,128,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,60,True,4541.83,43440.56,9.56454,519
89,62,4096,4096,8192,512,64,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,61,True,4541.83,19112.64,4.20813,394
90,63,4096,4096,8192,512,32,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,62,True,4541.83,8832.71,1.94475,267
91,64,4096,4096,8192,512,16,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,63,True,4541.83,11605.69,2.55529,319
92,65,4096,4096,8192,512,128,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,64,True,4541.83,17477.02,3.84801,385
95,66,4096,4096,8192,512,16,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,65,True,4541.83,54333.57,11.96291,583
96,67,4096,4096,8192,512,64,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,66,True,4541.83,8174.25,1.79977,247
97,68,4096,4096,8192,512,128,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,67,True,4541.83,43389.41,9.55328,517
98,69,4096,4096,8192,512,64,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,68,True,4541.83,39582.21,8.71503,492
99,70,4096,4096,8192,512,16,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,69,True,4541.83,4177.61,0.91981,116
100,71,4096,4096,8192,512,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,70,True,4541.83,8282.34,1.82357,253
101,72,4096,4096,8192,512,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,71,True,4541.83,67353.63,14.82961,629
102,73,4096,4096,8192,512,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,72,True,4541.83,90783.42,19.98827,677
103,74,4096,4096,8192,512,256,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,73,True,4541.83,38399.43,8.45461,486
104,75,4096,4096,8192,16,256,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,74,True,4541.83,51194.98,11.27187,568
105,76,4096,4096,8192,32,256,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,75,True,4541.83,21270.38,4.68321,408
106,77,4096,4096,8192,64,256,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,76,True,4541.83,11752.88,2.58769,325
107,78,4096,4096,8192,128,256,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,77,True,4541.83,6691.66,1.47334,204
108,79,4096,4096,8192,256,256,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,78,True,4541.83,3946.15,0.86885,100
109,80,4096,4096,8192,32,256,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,79,True,4541.83,36811.41,8.10496,479
110,81,4096,4096,8192,16,256,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,80,True,4541.83,5815.89,1.28051,167
111,82,4096,4096,8192,16,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,81,True,4541.83,10790.39,2.37578,304
112,83,4096,4096,8192,32,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,82,True,4541.83,42882.54,9.44168,512
113,84,4096,4096,8192,256,256,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,83,True,4541.83,23470.05,5.16753,431
114,85,4096,4096,8192,128,256,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,84,True,4541.83,27257.36,6.0014,453
115,86,4096,4096,8192,64,256,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,85,True,4541.83,2548.11,0.56103,19
116,87,4096,4096,8192,256,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,86,True,4541.83,3330.86,0.73337,65
117,88,4096,4096,8192,128,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,87,True,4541.83,52515.33,11.56258,576
118,89,4096,4096,8192,64,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,88,True,4541.83,37884.56,8.34125,483
119,90,4096,4096,8192,256,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,89,True,4541.83,7147.17,1.57363,223
120,91,4096,4096,8192,128,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,90,True,4541.83,39210.89,8.63327,490
121,92,4096,4096,8192,64,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,91,True,4541.83,18451.51,4.06257,387
122,93,4096,4096,8192,16,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,92,True,4541.83,13954.59,3.07246,363
123,94,4096,4096,8192,32,512,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,93,True,4541.83,45727.62,10.06809,530
124,95,4096,4096,8192,16,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,94,True,4541.83,24081.27,5.3021,440
125,96,4096,4096,8192,32,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,95,True,4541.83,22693.94,4.99665,420
126,97,4096,4096,8192,256,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,96,True,4541.83,12216.29,2.68973,336
127,98,4096,4096,8192,128,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,97,True,4541.83,15141.33,3.33375,374
128,99,4096,4096,8192,64,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,98,True,4541.83,7868.64,1.73248,239
129,100,4096,4096,8192,512,128,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,99,True,4541.83,12973.14,2.85637,343
130,101,4096,4096,8192,512,128,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,100,True,4541.83,15323.37,3.37383,375
131,102,4096,4096,8192,256,128,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,101,True,4541.83,37370.45,8.22805,481
132,103,4096,4096,8192,256,128,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,102,True,4541.83,3343.8,0.73622,67
133,104,4096,4096,8192,512,512,32,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,103,True,4541.83,6240.09,1.37391,183
134,105,4096,4096,8192,256,128,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,104,True,4541.83,67014.49,14.75494,628
135,106,4096,4096,8192,512,64,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,105,True,4541.83,2187.92,0.48173,6
141,107,4096,4096,8192,512,128,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,106,True,4541.83,21325.72,4.6954,409
142,108,4096,4096,8192,128,128,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,107,True,4541.83,42085.36,9.26616,505
143,109,4096,4096,8192,64,128,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,108,True,4541.83,9265.51,2.04004,274
144,110,4096,4096,8192,256,128,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,109,True,4541.83,13812.78,3.04123,358
145,111,4096,4096,8192,32,128,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,110,True,4541.83,18539.07,4.08185,388
146,112,4096,4096,8192,16,128,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,111,True,4541.83,21572.0,4.74962,410
157,113,4096,4096,8192,64,256,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,112,True,4541.83,33386.69,7.35093,470
158,114,4096,4096,8192,128,256,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,113,True,4541.83,13719.49,3.02069,356
159,115,4096,4096,8192,256,256,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,114,True,4541.83,21205.82,4.669,407
160,116,4096,4096,8192,32,256,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,115,True,4541.83,40432.0,8.90213,497
161,117,4096,4096,8192,16,256,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,116,True,4541.83,24035.91,5.29211,438
167,118,4096,4096,8192,64,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,117,True,4541.83,42881.35,9.44142,511
169,119,4096,4096,8192,128,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,118,True,4541.83,29012.0,6.38773,457
170,120,4096,4096,8192,512,64,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,119,True,4541.83,43305.27,9.53475,516
171,121,4096,4096,8192,256,64,64,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,120,True,4541.83,3608.32,0.79446,75
172,122,4096,4096,8192,256,128,64,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,121,True,4541.83,2962.15,0.65219,39
173,123,4096,4096,8192,256,128,32,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,122,True,4541.83,2031.49,0.44728,3
174,124,4096,4096,8192,32,128,128,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,123,True,4541.83,2945.21,0.64846,38
175,125,4096,4096,8192,32,128,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,124,True,4541.83,5588.49,1.23045,162
176,126,4096,4096,8192,128,64,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,125,True,4541.83,18947.03,4.17167,392
177,127,4096,4096,8192,512,64,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,126,True,4541.83,7314.68,1.61051,229
178,128,4096,4096,8192,256,64,16,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,127,True,4541.83,8521.36,1.87619,257
179,129,4096,4096,8192,128,64,128,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,128,True,4541.83,7111.75,1.56583,220
180,130,4096,4096,8192,128,64,64,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,129,True,4541.83,3273.96,0.72084,58
181,131,4096,4096,8192,64,128,128,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,130,True,4541.83,2571.8,0.56625,20
182,132,4096,4096,8192,256,64,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,131,True,4541.83,3059.9,0.67372,46
183,133,4096,4096,8192,512,64,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,132,True,4541.83,4135.45,0.91053,113
184,134,4096,4096,8192,128,128,128,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,133,True,4541.83,9094.68,2.00243,270
185,135,4096,4096,8192,32,128,64,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,134,True,4541.83,8740.29,1.9244,263
186,136,4096,4096,8192,32,256,64,128,2,1,2,4,16,16,0,0,0,True,True,True,hip://0,135,True,4541.83,5248.19,1.15552,153
187,137,4096,4096,8192,128,64,32,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,136,True,4541.83,5842.18,1.2863,170
188,138,4096,4096,8192,128,64,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,137,True,4541.83,3758.27,0.82748,80
189,139,4096,4096,8192,64,16,256,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,138,True,4541.83,9477.05,2.08661,282
195,140,4096,4096,8192,64,64,256,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,139,True,4541.83,6383.83,1.40556,191
196,141,4096,4096,8192,64,64,256,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,140,True,4541.83,16204.63,3.56786,381
197,142,4096,4096,8192,64,64,128,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,141,True,4541.83,13488.44,2.96982,352
198,143,4096,4096,8192,64,64,128,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,142,True,4541.83,4041.84,0.88991,108
202,144,4096,4096,8192,512,32,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,143,True,4541.83,3764.48,0.82884,82
203,145,4096,4096,8192,64,256,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,144,True,4541.83,11658.25,2.56686,322
204,146,4096,4096,8192,64,512,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,145,True,4541.83,13070.17,2.87773,345
205,147,4096,4096,8192,64,64,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,146,True,4541.83,13394.3,2.94909,350
206,148,4096,4096,8192,32,64,256,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,147,True,4541.83,7405.16,1.63043,231
208,149,4096,4096,8192,64,32,256,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,148,True,4541.83,5926.43,1.30485,173
209,150,4096,4096,8192,64,128,32,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,149,True,4541.83,5824.35,1.28238,168
210,151,4096,4096,8192,256,32,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,150,True,4541.83,6731.0,1.482,207
211,152,4096,4096,8192,128,32,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,151,True,4541.83,7048.97,1.55201,217
212,153,4096,4096,8192,256,32,64,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,152,True,4541.83,6918.99,1.52339,215
213,154,4096,4096,8192,64,16,128,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,153,True,4541.83,2825.59,0.62213,33
214,155,4096,4096,8192,64,32,128,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,154,True,4541.83,6413.5,1.41209,193
218,156,4096,4096,8192,64,32,256,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,155,True,4541.83,4336.83,0.95486,125
221,157,4096,4096,8192,256,128,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,156,True,4541.83,5827.17,1.283,169
222,158,4096,4096,8192,256,256,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,157,True,4541.83,2819.77,0.62084,32
223,159,4096,4096,8192,256,512,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,158,True,4541.83,40273.74,8.86729,495
224,160,4096,4096,8192,512,128,16,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,159,True,4541.83,54588.18,12.01897,585
225,161,4096,4096,8192,128,64,64,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,160,True,4541.83,16410.9,3.61328,382
226,162,4096,4096,8192,256,64,64,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,161,True,4541.83,2591.36,0.57055,21
227,163,4096,4096,8192,256,64,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,162,True,4541.83,2321.8,0.5112,12
228,164,4096,4096,8192,256,64,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,163,True,4541.83,2877.3,0.63351,35
229,165,4096,4096,8192,256,128,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,164,True,4541.83,7217.85,1.58919,225
230,166,4096,4096,8192,256,256,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,165,True,4541.83,2753.2,0.60619,28
231,167,4096,4096,8192,256,512,32,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,166,True,4541.83,45713.28,10.06494,529
232,168,4096,4096,8192,256,128,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,167,True,4541.83,56292.96,12.39432,592
233,169,4096,4096,8192,256,256,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,168,True,4541.83,5525.26,1.21653,159
234,170,4096,4096,8192,256,512,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,169,True,4541.83,25523.81,5.61971,445
