gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,4096,4096,8192,64,128,256,64,4,1,4,1,16,32,0,0,0,True,True,False,,,False,,,,
184,2,4096,4096,8192,128,256,128,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,275.17,374.59,1.36131,197
186,3,4096,4096,8192,128,16,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,2,True,279.54,251.63,0.90015,7
190,4,4096,4096,8192,64,16,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,3,True,277.58,711.73,2.56407,518
191,5,4096,4096,8192,128,16,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,4,True,275.41,585.32,2.12523,430
204,6,4096,4096,8192,64,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,5,True,277.58,719.58,2.59237,521
206,7,4096,4096,8192,128,128,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,6,True,275.41,596.75,2.16673,439
207,8,4096,4096,8192,128,64,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,7,True,279.54,2401.06,8.58937,800
208,9,4096,4096,8192,128,32,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,8,True,275.17,314.22,1.14189,102
209,10,4096,4096,8192,128,256,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,9,True,277.58,440.65,1.58747,265
210,11,4096,4096,8192,128,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,10,True,275.41,310.72,1.12821,93
211,12,4096,4096,8192,128,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,11,True,279.54,337.78,1.20834,129
212,13,4096,4096,8192,256,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,12,True,275.17,489.97,1.78059,340
213,14,4096,4096,8192,512,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,13,True,275.41,4149.03,15.0647,840
214,15,4096,4096,8192,256,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,14,True,277.58,10856.59,39.11185,913
215,16,4096,4096,8192,512,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,15,True,279.54,2119.83,7.58331,781
216,17,4096,4096,8192,256,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,16,True,275.17,12687.27,46.10674,925
217,18,4096,4096,8192,256,64,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,17,True,277.58,250.53,0.90255,10
218,19,4096,4096,8192,256,32,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,18,True,275.41,320.55,1.1639,111
219,20,4096,4096,8192,256,16,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,19,True,275.17,465.38,1.69123,299
220,21,4096,4096,8192,256,256,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,20,True,279.54,803.39,2.87398,549
221,22,4096,4096,8192,128,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,21,True,277.58,1348.9,4.85952,694
222,23,4096,4096,8192,128,64,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,22,True,275.17,310.51,1.12843,94
223,24,4096,4096,8192,128,32,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,23,True,279.54,313.82,1.12265,91
224,25,4096,4096,8192,128,16,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,24,True,275.41,478.31,1.73671,318
225,26,4096,4096,8192,256,256,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,25,True,277.58,676.93,2.4387,498
226,27,4096,4096,8192,256,256,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,26,True,275.17,345.39,1.25517,147
229,28,4096,4096,8192,256,512,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,27,True,279.54,263.12,0.94127,21
230,29,4096,4096,8192,256,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,28,True,275.41,9205.83,33.42546,902
231,30,4096,4096,8192,256,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,29,True,277.58,1439.44,5.18573,709
232,31,4096,4096,8192,256,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,30,True,275.17,1609.76,5.85004,734
233,32,4096,4096,8192,256,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,31,True,275.41,915.79,3.32514,610
234,33,4096,4096,8192,256,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,32,True,279.54,622.64,2.22737,463
238,34,4096,4096,8192,256,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,33,True,277.58,407.23,1.4671,229
240,35,4096,4096,8192,256,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,34,True,275.17,2048.97,7.44616,777
241,36,4096,4096,8192,256,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,35,True,279.54,513.9,1.83839,365
242,37,4096,4096,8192,256,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,36,True,275.41,675.31,2.45197,502
248,38,4096,4096,8192,128,256,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,37,True,277.58,952.27,3.43064,622
249,39,4096,4096,8192,64,512,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,38,True,275.17,338.81,1.23125,138
250,40,4096,4096,8192,64,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,39,True,279.54,460.89,1.64876,288
251,41,4096,4096,8192,64,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,40,True,275.41,529.69,1.92325,390
252,42,4096,4096,8192,64,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,41,True,277.58,1056.14,3.80484,654
253,43,4096,4096,8192,64,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,42,True,275.41,733.28,2.66247,529
254,44,4096,4096,8192,64,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,43,True,279.54,1616.86,5.78403,732
255,45,4096,4096,8192,64,512,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,44,True,275.17,509.47,1.85146,369
256,46,4096,4096,8192,64,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,45,True,277.58,481.93,1.73619,317
258,47,4096,4096,8192,64,512,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,46,True,275.41,595.36,2.16168,436
259,48,4096,4096,8192,64,512,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,47,True,275.17,436.85,1.58757,266
260,49,4096,4096,8192,64,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,48,True,279.54,485.29,1.73604,316
261,50,4096,4096,8192,64,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,49,True,277.58,457.1,1.64676,287
264,51,4096,4096,8192,32,512,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,50,True,275.41,438.1,1.59068,270
265,52,4096,4096,8192,32,512,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,51,True,279.54,820.35,2.93465,564
276,53,4096,4096,8192,128,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,52,True,275.17,781.19,2.83893,542
277,54,4096,4096,8192,128,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,53,True,277.58,493.42,1.77759,338
278,55,4096,4096,8192,512,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,54,True,279.54,1508.78,5.39741,718
279,56,4096,4096,8192,512,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,55,True,275.41,14312.08,51.96573,939
280,57,4096,4096,8192,256,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,56,True,275.17,11132.31,40.45587,918
281,58,4096,4096,8192,256,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,57,True,277.58,1821.84,6.56333,760
282,59,4096,4096,8192,16,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,58,True,279.54,7948.61,28.43473,883
283,60,4096,4096,8192,32,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,59,True,275.41,1447.79,5.25678,711
284,61,4096,4096,8192,16,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,60,True,275.17,775.98,2.81999,539
285,62,4096,4096,8192,32,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,61,True,277.58,1467.42,5.28652,713
307,63,4096,4096,8192,256,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,62,True,279.54,812.61,2.90697,557
308,64,4096,4096,8192,256,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,63,True,275.41,507.58,1.84296,367
310,65,4096,4096,8192,128,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,64,True,275.17,1385.71,5.03581,700
315,66,4096,4096,8192,16,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,65,True,277.58,464.12,1.67203,293
316,67,4096,4096,8192,32,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,66,True,279.54,1449.28,5.18456,708
317,68,4096,4096,8192,64,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,67,True,275.41,784.31,2.84775,544
324,69,4096,4096,8192,512,256,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,68,True,275.17,489.22,1.77788,339
325,70,4096,4096,8192,512,128,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,69,True,277.58,1871.95,6.74386,764
326,71,4096,4096,8192,512,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,70,True,279.54,578.89,2.07088,415
329,72,4096,4096,8192,512,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,71,True,275.41,675.01,2.45088,501
333,73,4096,4096,8192,512,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,72,True,275.17,1680.15,6.10582,748
334,74,4096,4096,8192,256,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,73,True,277.58,7407.93,26.68772,879
337,75,4096,4096,8192,256,128,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,74,True,279.54,707.96,2.53262,514
338,76,4096,4096,8192,512,128,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,75,True,275.17,400.83,1.45666,225
339,77,4096,4096,8192,128,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,76,True,275.41,512.86,1.86216,374
340,78,4096,4096,8192,32,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,77,True,277.58,465.6,1.67735,296
341,79,4096,4096,8192,64,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,78,True,279.54,897.53,3.21076,595
342,80,4096,4096,8192,128,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,79,True,275.41,596.22,2.16483,437
343,81,4096,4096,8192,128,512,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,80,True,275.17,480.8,1.74726,323
344,82,4096,4096,8192,128,256,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,81,True,277.58,2042.61,7.35869,774
345,83,4096,4096,8192,128,512,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,82,True,279.54,383.17,1.37074,201
346,84,4096,4096,8192,128,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,83,True,275.41,473.41,1.71891,310
347,85,4096,4096,8192,32,256,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,84,True,275.17,341.43,1.2408,140
348,86,4096,4096,8192,64,256,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,85,True,277.58,785.89,2.83123,540
357,87,4096,4096,8192,32,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,86,True,275.41,492.72,1.78902,345
358,88,4096,4096,8192,64,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,87,True,279.54,797.07,2.85137,546
359,89,4096,4096,8192,256,64,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,88,True,275.17,503.39,1.82936,362
360,90,4096,4096,8192,512,64,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,89,True,277.58,607.39,2.18819,446
361,91,4096,4096,8192,256,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,90,True,275.41,612.65,2.22448,462
362,92,4096,4096,8192,512,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,91,True,279.54,370.83,1.32658,178
363,93,4096,4096,8192,256,512,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,92,True,275.17,1918.91,6.97352,767
364,94,4096,4096,8192,512,512,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,93,True,277.58,2031.81,7.3198,773
365,95,4096,4096,8192,128,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,94,True,275.41,11834.8,42.971,922
366,96,4096,4096,8192,128,512,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,95,True,279.54,376.13,1.34553,191
369,97,4096,4096,8192,512,32,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,96,True,275.17,490.72,1.78333,342
370,98,4096,4096,8192,512,64,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,97,True,277.58,714.74,2.57493,520
371,99,4096,4096,8192,512,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,98,True,275.41,417.78,1.51691,243
372,100,4096,4096,8192,512,256,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,99,True,275.17,274.8,0.99865,41
373,101,4096,4096,8192,512,16,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,100,True,279.54,3186.68,11.39979,822
374,102,4096,4096,8192,512,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,101,True,277.58,1076.71,3.87895,657
375,103,4096,4096,8192,512,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,102,True,275.41,909.0,3.30049,607
376,104,4096,4096,8192,512,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,103,True,275.17,605.87,2.20178,455
377,105,4096,4096,8192,512,256,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,104,True,279.54,507.73,1.81633,355
378,106,4096,4096,8192,512,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,105,True,277.58,2782.75,10.02513,816
380,107,4096,4096,8192,512,512,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,106,True,275.41,1420.19,5.15655,705
381,108,4096,4096,8192,512,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,107,True,275.17,14931.92,54.26403,945
382,109,4096,4096,8192,512,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,108,True,279.54,8559.11,30.6187,891
383,110,4096,4096,8192,512,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,109,True,277.58,973.79,3.50818,638
384,111,4096,4096,8192,512,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,110,True,275.41,672.48,2.44172,499
385,112,4096,4096,8192,512,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,111,True,275.17,1666.78,6.05724,745
389,113,4096,4096,8192,512,64,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,112,True,279.54,1658.33,5.93239,739
390,114,4096,4096,8192,512,128,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,113,True,277.58,425.72,1.53371,247
391,115,4096,4096,8192,512,16,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,114,True,275.41,351.17,1.27505,155
394,116,4096,4096,8192,512,32,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,115,True,275.17,895.53,3.25443,602
404,117,4096,4096,8192,512,512,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,116,True,279.54,634.88,2.27118,473
