gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,4096,4096,8192,64,128,256,64,4,1,4,1,16,32,0,0,0,True,True,False,,,False,,,,
184,2,4096,4096,8192,128,256,128,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,273.79,377.33,1.37819,195
186,3,4096,4096,8192,128,16,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,2,True,274.1,263.97,0.96304,30
190,4,4096,4096,8192,64,16,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,3,True,272.92,743.22,2.72319,527
191,5,4096,4096,8192,128,16,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,4,True,276.87,639.27,2.30894,475
204,6,4096,4096,8192,64,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,5,True,272.92,721.19,2.64248,520
206,7,4096,4096,8192,128,128,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,6,True,276.87,596.02,2.1527,431
207,8,4096,4096,8192,128,64,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,7,True,273.79,2402.31,8.77429,801
208,9,4096,4096,8192,128,32,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,8,True,274.1,313.75,1.14467,109
209,10,4096,4096,8192,128,256,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,9,True,272.92,438.49,1.60665,269
210,11,4096,4096,8192,128,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,10,True,276.87,310.05,1.11986,97
211,12,4096,4096,8192,128,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,11,True,273.79,333.81,1.21923,136
212,13,4096,4096,8192,256,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,12,True,274.1,512.11,1.86834,377
213,14,4096,4096,8192,512,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,13,True,272.92,4122.72,15.1059,839
214,15,4096,4096,8192,256,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,14,True,276.87,10840.65,39.15441,913
215,16,4096,4096,8192,512,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,15,True,274.1,2129.7,7.76989,780
216,17,4096,4096,8192,256,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,16,True,273.79,12694.86,46.3673,924
217,18,4096,4096,8192,256,64,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,17,True,276.87,250.37,0.90427,13
218,19,4096,4096,8192,256,32,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,18,True,273.79,319.02,1.16519,117
219,20,4096,4096,8192,256,16,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,19,True,274.1,479.74,1.75024,322
220,21,4096,4096,8192,256,256,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,20,True,272.92,812.15,2.97579,561
221,22,4096,4096,8192,128,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,21,True,272.92,1286.94,4.71541,689
222,23,4096,4096,8192,128,64,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,22,True,274.1,307.9,1.12331,100
223,24,4096,4096,8192,128,32,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,23,True,276.87,264.55,0.95552,26
224,25,4096,4096,8192,128,16,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,24,True,273.79,419.46,1.53207,243
225,26,4096,4096,8192,256,256,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,25,True,272.92,760.83,2.78774,533
226,27,4096,4096,8192,256,256,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,26,True,274.1,389.36,1.42052,211
229,28,4096,4096,8192,256,512,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,27,True,276.87,289.97,1.04732,72
230,29,4096,4096,8192,256,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,28,True,273.79,9257.67,33.81315,902
231,30,4096,4096,8192,256,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,29,True,272.92,1442.81,5.28655,707
232,31,4096,4096,8192,256,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,30,True,273.79,1608.84,5.8762,732
233,32,4096,4096,8192,256,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,31,True,274.1,914.17,3.33522,605
234,33,4096,4096,8192,256,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,32,True,276.87,609.7,2.20211,453
238,34,4096,4096,8192,256,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,33,True,272.92,406.57,1.48971,232
240,35,4096,4096,8192,256,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,34,True,273.79,2052.28,7.49584,777
241,36,4096,4096,8192,256,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,35,True,274.1,507.19,1.8504,368
242,37,4096,4096,8192,256,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,36,True,276.87,672.62,2.42938,498
248,38,4096,4096,8192,128,256,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,37,True,272.92,952.64,3.49053,627
249,39,4096,4096,8192,64,512,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,38,True,273.79,344.34,1.2577,151
250,40,4096,4096,8192,64,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,39,True,274.1,447.27,1.6318,281
251,41,4096,4096,8192,64,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,40,True,276.87,496.56,1.7935,344
252,42,4096,4096,8192,64,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,41,True,272.92,1056.55,3.87126,656
253,43,4096,4096,8192,64,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,42,True,276.87,687.09,2.48162,506
