gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,2048,2048,2048,512,512,32,512,1,1,1,8,32,8,0,0,0,True,True,False,,,False,,,,
1,2,2048,2048,2048,64,256,64,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://2,1,True,56.34,6770.8,120.18615,1339
2,3,2048,2048,2048,32,128,64,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://5,2,True,56.13,58.65,1.04495,166
3,4,2048,2048,2048,128,128,64,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://6,3,True,56.71,61.91,1.09183,189
6,5,2048,2048,2048,256,128,64,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://7,4,True,56.05,46.74,0.83378,53
7,6,2048,2048,2048,256,128,64,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://2,5,True,56.34,81.44,1.44566,459
9,7,2048,2048,2048,64,128,64,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://6,6,True,56.71,85.66,1.51056,503
13,8,2048,2048,2048,256,128,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://7,7,True,56.05,39.56,0.70569,20
15,9,2048,2048,2048,64,128,64,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://5,8,True,56.13,80.05,1.42622,434
16,10,2048,2048,2048,128,128,64,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://2,9,True,56.34,42.42,0.75292,37
18,11,2048,2048,2048,256,128,64,128,2,1,2,2,32,8,0,0,0,True,True,True,hip://6,10,True,56.71,47.93,0.84523,58
20,12,2048,2048,2048,256,128,64,64,4,1,4,1,32,8,0,0,0,True,True,True,hip://7,11,True,56.05,81.12,1.44729,462
22,13,2048,2048,2048,128,128,64,64,4,1,4,1,32,8,0,0,0,True,True,True,hip://5,12,True,56.13,80.32,1.43111,437
24,14,2048,2048,2048,256,128,64,256,1,1,1,4,32,8,0,0,0,True,True,True,hip://2,13,True,56.34,44.36,0.78741,42
26,15,2048,2048,2048,64,128,64,128,2,1,2,2,32,8,0,0,0,True,True,True,hip://5,14,True,56.13,82.78,1.47495,484
28,16,2048,2048,2048,128,128,64,128,2,1,2,2,32,8,0,0,0,True,True,True,hip://7,15,True,56.05,40.24,0.71787,25
30,17,2048,2048,2048,128,256,64,128,4,1,4,2,16,16,0,0,0,True,True,True,hip://6,16,True,56.71,45.63,0.80463,44
32,18,2048,2048,2048,128,256,64,128,4,1,4,2,32,8,0,0,0,True,True,True,hip://2,17,True,56.34,68.34,1.21314,269
35,19,2048,2048,2048,256,256,64,128,4,1,4,2,16,16,0,0,0,True,True,True,hip://5,18,True,56.13,69.41,1.23659,284
36,20,2048,2048,2048,256,256,64,128,4,1,4,2,32,8,0,0,0,True,True,True,hip://7,19,True,56.05,445.05,7.93993,1107
42,21,2048,2048,2048,64,256,64,128,4,1,4,2,16,16,0,0,0,True,True,True,hip://6,20,True,56.71,438.57,7.73397,1101
48,22,2048,2048,2048,256,256,64,256,2,1,2,4,32,8,0,0,0,True,True,True,hip://2,21,True,56.34,53.15,0.94341,104
51,23,2048,2048,2048,256,256,64,256,2,1,2,4,16,16,0,0,0,True,True,True,hip://5,22,True,56.13,438.22,7.80761,1102
55,24,2048,2048,2048,32,256,64,256,2,1,2,4,16,16,0,0,0,True,True,True,hip://6,23,True,56.71,446.51,7.87403,1106
56,25,2048,2048,2048,64,256,64,256,2,1,2,4,16,16,0,0,0,True,True,True,hip://7,24,True,56.05,80.28,1.43228,439
67,26,2048,2048,2048,64,256,64,256,2,1,2,4,32,8,0,0,0,True,True,True,hip://2,25,True,56.34,48.27,0.85687,62
69,27,2048,2048,2048,128,256,64,256,2,1,2,4,16,16,0,0,0,True,True,True,hip://5,26,True,56.13,49.08,0.87441,65
