gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,512,512,512,512,512,64,64,8,1,8,1,16,32,0,0,0,True,True,False,,,False,,,,
6,2,512,512,512,32,256,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,5.06,673.34,133.13413,893
7,3,512,512,512,32,512,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,2,False,5.64,,inf,917
8,4,512,512,512,32,512,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,3,True,5.68,11.56,2.03393,489
10,5,512,512,512,32,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,4,True,5.84,11.39,1.95029,470
11,6,512,512,512,32,256,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,5,True,5.84,5.22,0.89399,66
100,7,512,512,512,128,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,6,True,5.06,7.78,1.538,343
101,8,512,512,512,16,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,7,True,5.68,87.48,15.39451,737
102,9,512,512,512,32,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,8,True,5.64,11.01,1.95229,472
103,10,512,512,512,64,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,9,True,5.84,11.39,1.95006,469
104,11,512,512,512,256,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,10,True,5.06,13.12,2.59491,565
105,12,512,512,512,512,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,11,True,5.68,369.77,65.07499,847
106,13,512,512,512,256,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,12,True,5.64,660.54,117.12192,884
107,14,512,512,512,128,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,13,True,5.06,101.89,20.14554,763
108,15,512,512,512,512,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,14,True,5.84,16.4,2.80837,577
109,16,512,512,512,16,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,15,True,5.68,641.63,112.91756,880
110,17,512,512,512,32,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,16,True,5.64,10.55,1.86995,441
111,18,512,512,512,64,512,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,17,True,5.06,11.36,2.24669,529
112,19,512,512,512,16,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,18,True,5.84,12.46,2.13277,514
113,20,512,512,512,32,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,19,True,5.68,6.56,1.15519,212
114,21,512,512,512,64,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,20,True,5.64,7.55,1.33913,292
115,22,512,512,512,512,128,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,21,True,5.84,8.81,1.50785,332
116,23,512,512,512,512,256,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,22,True,5.68,20.18,3.55208,628
129,24,512,512,512,256,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,23,True,5.06,94.01,18.58794,754
130,25,512,512,512,512,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,24,True,5.64,10.37,1.83928,432
131,26,512,512,512,512,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,25,True,5.68,18.32,3.22318,610
132,27,512,512,512,512,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,26,True,5.84,348.22,59.62152,837
133,28,512,512,512,128,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,27,True,5.06,67.88,13.42106,726
134,29,512,512,512,256,256,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,28,True,5.64,11.53,2.0442,493
135,30,512,512,512,256,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,29,True,5.68,67.62,11.90036,711
154,31,512,512,512,128,128,256,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,30,True,5.84,12.65,2.16532,519
201,32,512,512,512,128,16,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,31,True,5.06,27.47,5.43223,686
