gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,128,1280,2048,128,256,128,64,8,1,8,1,16,32,0,0,0,True,True,False,,,False,,,,
2,2,128,1280,2048,32,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,13.31,32.5,2.4417,488
3,3,128,1280,2048,32,256,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
4,4,128,1280,2048,64,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,2,True,13.97,15.45,1.10645,196
5,5,128,1280,2048,128,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
6,6,128,1280,2048,128,320,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
7,7,128,1280,2048,128,320,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
13,8,128,1280,2048,32,320,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,3,True,13.96,41.48,2.97125,533
14,9,128,1280,2048,64,320,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,4,True,13.89,21.34,1.53685,348
17,10,128,1280,2048,32,160,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,5,True,13.89,28.34,2.0407,423
18,11,128,1280,2048,32,128,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
19,12,128,1280,2048,64,160,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,6,True,13.97,10.88,0.77918,77
20,13,128,1280,2048,128,160,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
21,14,128,1280,2048,64,128,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
22,15,128,1280,2048,64,256,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,7,True,13.31,13.3,0.9991,172
23,16,128,1280,2048,128,64,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,8,True,13.96,23.44,1.67849,372
24,17,128,1280,2048,128,32,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,9,True,13.89,13.63,0.98149,160
25,18,128,1280,2048,128,64,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,10,True,13.31,10.54,0.79191,81
26,19,128,1280,2048,128,32,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,11,True,13.97,17.72,1.26839,261
27,20,128,1280,2048,128,64,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,12,True,13.96,15.36,1.10037,194
28,21,128,1280,2048,128,64,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,13,True,13.89,13.31,0.95881,150
29,22,128,1280,2048,128,32,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,14,True,13.96,13.41,0.96035,152
30,23,128,1280,2048,128,32,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,15,True,13.97,11.05,0.79088,80
31,24,128,1280,2048,128,128,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,16,True,13.31,9.87,0.74149,62
32,25,128,1280,2048,128,128,256,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,17,True,13.89,73.91,5.32256,565
33,26,128,1280,2048,128,160,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,18,True,13.96,102.71,7.35658,573
34,27,128,1280,2048,128,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,19,True,13.97,37.8,2.70616,516
35,28,128,1280,2048,128,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,20,True,13.31,29.72,2.23306,456
36,29,128,1280,2048,128,256,128,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
37,30,128,1280,2048,128,160,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,21,True,13.89,26.18,1.88521,400
38,31,128,1280,2048,128,320,128,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
39,32,128,1280,2048,128,256,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,22,True,13.96,32.23,2.30851,468
40,33,128,1280,2048,128,160,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,23,True,13.97,32.71,2.34213,477
41,34,128,1280,2048,128,128,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
42,35,128,1280,2048,128,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,24,True,13.31,20.31,1.52632,343
43,36,128,1280,2048,128,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,25,True,13.89,15.23,1.0966,193
44,37,128,1280,2048,128,32,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,26,True,13.96,19.57,1.40147,302
45,38,128,1280,2048,128,64,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,27,True,13.31,14.4,1.08223,190
46,39,128,1280,2048,128,32,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,28,True,13.97,16.24,1.16266,213
47,40,128,1280,2048,128,64,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,29,True,13.89,8.79,0.63331,36
48,41,128,1280,2048,128,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,30,True,13.96,11.16,0.79912,83
49,42,128,1280,2048,128,64,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,31,True,13.31,10.18,0.76504,70
50,43,128,1280,2048,128,32,256,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,32,True,13.97,13.12,0.93946,143
51,44,128,1280,2048,128,64,256,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,33,True,13.89,8.63,0.62123,31
52,45,128,1280,2048,128,256,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,34,True,13.96,11.23,0.80429,85
54,46,128,1280,2048,128,256,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,35,True,13.97,33.75,2.41669,484
56,47,128,1280,2048,128,256,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,36,True,13.31,31.97,2.40189,483
76,48,128,1280,2048,128,320,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,37,True,13.89,34.15,2.45948,492
77,49,128,1280,2048,128,160,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
78,50,128,1280,2048,128,320,128,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
79,51,128,1280,2048,128,160,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,38,True,13.96,39.65,2.83957,526
80,52,128,1280,2048,128,128,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,39,True,13.97,22.9,1.63964,363
81,53,128,1280,2048,128,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,40,True,13.31,19.07,1.43302,314
82,54,128,1280,2048,128,128,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,41,True,13.89,21.33,1.53574,347
83,55,128,1280,2048,64,160,256,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,42,True,13.96,20.43,1.46341,324
84,56,128,1280,2048,32,160,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,43,True,13.97,14.11,1.01045,177
85,57,128,1280,2048,64,160,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,44,True,13.31,11.53,0.86622,116
127,58,128,1280,2048,32,128,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,45,True,13.89,15.19,1.09356,192
128,59,128,1280,2048,64,128,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,46,True,13.96,10.63,0.76126,68
129,60,128,1280,2048,64,128,256,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,47,True,13.97,13.63,0.97581,158
130,61,128,1280,2048,64,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,48,True,13.31,11.49,0.86357,114
131,62,128,1280,2048,64,128,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,49,True,13.89,13.25,0.95387,146
132,63,128,1280,2048,64,128,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,50,True,13.96,13.33,0.95478,147
133,64,128,1280,2048,64,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,51,True,13.97,11.83,0.84679,102
134,65,128,1280,2048,64,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,52,True,13.31,16.68,1.25332,256
135,66,128,1280,2048,32,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,53,True,13.89,16.18,1.16555,214
136,67,128,1280,2048,32,128,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,54,True,13.96,14.49,1.03804,185
137,68,128,1280,2048,32,256,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,55,True,13.31,9.49,0.71323,57
138,69,128,1280,2048,32,320,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,56,True,13.97,23.24,1.66365,368
139,70,128,1280,2048,32,160,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
140,71,128,1280,2048,32,256,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
141,72,128,1280,2048,32,256,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,57,True,13.89,17.83,1.28381,265
142,73,128,1280,2048,32,320,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,58,True,13.96,16.82,1.20445,232
143,74,128,1280,2048,32,160,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,59,True,13.97,19.87,1.42298,311
144,75,128,1280,2048,64,160,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,60,True,13.31,11.04,0.82918,93
145,76,128,1280,2048,64,160,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,61,True,13.89,30.27,2.18014,445
146,77,128,1280,2048,64,160,128,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
147,78,128,1280,2048,64,160,128,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
148,79,128,1280,2048,64,160,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,62,True,13.96,15.5,1.10996,199
149,80,128,1280,2048,64,320,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
150,81,128,1280,2048,64,256,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
151,82,128,1280,2048,64,320,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,63,True,13.97,26.42,1.89171,403
152,83,128,1280,2048,64,256,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,64,True,13.31,26.22,1.9701,413
153,84,128,1280,2048,64,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,65,True,13.89,22.06,1.58878,354
154,85,128,1280,2048,64,320,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,66,True,13.96,24.1,1.72585,380
155,86,128,1280,2048,64,320,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
156,87,128,1280,2048,64,256,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
157,88,128,1280,2048,64,320,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,67,True,13.97,23.1,1.65406,367
158,89,128,1280,2048,64,256,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,68,True,13.31,23.5,1.76576,390
229,90,128,1280,2048,128,80,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,69,True,13.89,19.69,1.41767,309
230,91,128,1280,2048,128,80,256,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
231,92,128,1280,2048,128,16,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,70,True,13.96,15.59,1.11626,200
