gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,4096,4096,8192,128,128,16,128,2,1,2,2,16,4,0,0,0,True,True,False,,,False,,,,
2,2,4096,4096,8192,256,256,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://2,1,True,2336.54,2381.02,1.01904,32
3,3,4096,4096,8192,256,64,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,2,True,2388.41,3924.72,1.64323,202
4,4,4096,4096,8192,256,128,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://6,3,True,2366.55,2858.42,1.20784,119
5,5,4096,4096,8192,256,256,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,4,True,2369.31,2594.2,1.09492,76
6,6,4096,4096,8192,256,128,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://2,5,True,2336.54,4019.84,1.72042,215
7,7,4096,4096,8192,256,64,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,6,True,2369.31,2748.73,1.16014,98
8,8,4096,4096,8192,64,256,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://6,7,True,2366.55,3031.12,1.28082,142
9,9,4096,4096,8192,128,256,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,8,True,2388.41,2818.49,1.18007,106
10,10,4096,4096,8192,32,256,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://2,9,True,2336.54,2581.09,1.10466,77
14,11,4096,4096,8192,32,128,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,10,True,2369.31,2849.42,1.20264,118
15,12,4096,4096,8192,64,128,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,11,True,2366.55,2454.75,1.03727,40
16,13,4096,4096,8192,256,128,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,12,True,2388.41,2152.84,0.90137,5
17,14,4096,4096,8192,128,128,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,13,True,2336.54,2802.13,1.19926,115
23,15,4096,4096,8192,128,256,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,14,True,2388.41,2823.71,1.18225,107
24,16,4096,4096,8192,256,256,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,15,True,2366.55,2672.51,1.12929,82
25,17,4096,4096,8192,64,256,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,16,True,2369.31,4613.72,1.94729,236
26,18,4096,4096,8192,32,256,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,17,True,2336.54,3014.66,1.29022,146
27,19,4096,4096,8192,256,32,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,18,True,2388.41,3263.6,1.36643,165
28,20,4096,4096,8192,256,64,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,19,True,2366.55,3282.02,1.38684,176
29,21,4096,4096,8192,128,32,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,20,True,2369.31,3146.65,1.32809,156
30,22,4096,4096,8192,128,64,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,21,True,2336.54,2482.18,1.06233,51
45,23,4096,4096,8192,128,128,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,22,True,2388.41,2080.15,0.87093,2
46,24,4096,4096,8192,128,64,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,23,True,2366.55,5204.88,2.19935,261
47,25,4096,4096,8192,128,32,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,24,True,2369.31,2740.72,1.15676,95
48,26,4096,4096,8192,128,32,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://2,25,True,2336.54,3230.71,1.38269,174
52,27,4096,4096,8192,64,128,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,26,True,2388.41,2949.55,1.23494,130
53,28,4096,4096,8192,32,128,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,27,True,2366.55,2681.33,1.13301,84
60,29,4096,4096,8192,128,16,64,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://7,28,True,2369.31,3272.1,1.38104,171
61,30,4096,4096,8192,128,128,64,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://2,29,True,2336.54,3505.36,1.50023,188
62,31,4096,4096,8192,128,64,64,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://5,30,True,2388.41,9773.67,4.09212,307
63,32,4096,4096,8192,128,32,64,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,31,True,2366.55,2574.19,1.08774,73
67,33,4096,4096,8192,64,128,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://7,32,True,2369.31,2963.14,1.25063,134
68,34,4096,4096,8192,128,64,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://5,33,True,2388.41,2511.34,1.05147,46
69,35,4096,4096,8192,128,128,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://2,34,True,2336.54,2533.35,1.08423,69
70,36,4096,4096,8192,64,128,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,35,True,2366.55,6849.72,2.89439,293
71,37,4096,4096,8192,64,64,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,36,True,2369.31,2744.83,1.15849,97
72,38,4096,4096,8192,64,32,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,37,True,2366.55,2903.55,1.22692,125
73,39,4096,4096,8192,64,16,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,38,True,2388.41,2609.08,1.09239,75
74,40,4096,4096,8192,128,16,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,39,True,2336.54,3087.55,1.32142,153
75,41,4096,4096,8192,128,64,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,40,True,2369.31,4254.07,1.79549,223
76,42,4096,4096,8192,128,32,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,41,True,2366.55,2766.98,1.16921,100
77,43,4096,4096,8192,128,128,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,42,True,2388.41,3302.2,1.38259,173
90,44,4096,4096,8192,64,16,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,43,True,2336.54,6023.53,2.57797,282
91,45,4096,4096,8192,64,32,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,44,True,2369.31,4796.07,2.02425,242
92,46,4096,4096,8192,64,64,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,45,True,2366.55,3510.09,1.48321,184
102,47,4096,4096,8192,256,256,32,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://2,46,True,2336.54,9758.62,4.17652,308
103,48,4096,4096,8192,256,512,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,47,True,2388.41,4124.38,1.72683,216
104,49,4096,4096,8192,128,512,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://7,48,True,2369.31,16723.81,7.05852,323
105,50,4096,4096,8192,64,512,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://2,49,True,2336.54,2754.72,1.17897,105
106,51,4096,4096,8192,32,512,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://6,50,True,2366.55,2835.53,1.19817,113
107,52,4096,4096,8192,512,512,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,51,True,2388.41,3439.37,1.44002,181
