gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,4096,4096,8192,64,128,256,64,4,1,4,1,16,32,0,0,0,True,True,False,,,False,,,,
184,2,4096,4096,8192,128,256,128,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,272.37,373.65,1.37185,201
186,3,4096,4096,8192,128,16,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,2,True,272.72,251.5,0.92217,18
190,4,4096,4096,8192,64,16,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,3,True,272.79,694.4,2.54558,516
191,5,4096,4096,8192,128,16,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,4,True,273.05,597.07,2.18665,444
204,6,4096,4096,8192,64,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,5,True,273.05,716.16,2.62278,524
206,7,4096,4096,8192,128,128,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,6,True,272.79,597.08,2.1888,448
207,8,4096,4096,8192,128,64,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,7,True,272.72,2400.77,8.80293,802
208,9,4096,4096,8192,128,32,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,8,True,272.37,313.67,1.15162,113
209,10,4096,4096,8192,128,256,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,9,True,272.79,438.2,1.60639,271
210,11,4096,4096,8192,128,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,10,True,273.05,310.69,1.13784,104
211,12,4096,4096,8192,128,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,11,True,272.72,333.53,1.22295,142
212,13,4096,4096,8192,256,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,12,True,272.37,494.51,1.81555,357
213,14,4096,4096,8192,512,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,13,True,273.05,4133.87,15.13943,840
214,15,4096,4096,8192,256,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,14,True,272.79,10877.14,39.87392,915
215,16,4096,4096,8192,512,512,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,15,True,272.37,2113.99,7.76142,781
216,17,4096,4096,8192,256,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,16,True,272.72,12701.09,46.57128,926
217,18,4096,4096,8192,256,64,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,17,True,272.79,249.96,0.91633,14
