gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
4,1,256,256,256,128,256,32,128,2,1,2,2,16,32,0,0,0,True,True,False,,,False,,,,
5,2,256,256,256,128,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,1,True,4.41,7.78,1.76386,502
6,3,256,256,256,128,256,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,2,True,5.12,7.64,1.49074,460
9,4,256,256,256,128,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,3,True,4.44,8.62,1.93965,509
10,5,256,256,256,128,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,4,False,4.55,,inf,628
12,6,256,256,256,128,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,5,True,5.12,5.12,0.99925,136
13,7,256,256,256,128,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,6,True,4.44,4.55,1.02412,159
14,8,256,256,256,128,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,7,True,4.41,4.09,0.92767,72
15,9,256,256,256,128,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,8,True,4.55,5.13,1.12679,254
16,10,256,256,256,128,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,9,True,5.12,4.33,0.84428,28
17,11,256,256,256,128,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,10,True,4.44,4.77,1.0742,195
18,12,256,256,256,128,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,11,True,4.41,4.57,1.03587,165
19,13,256,256,256,256,32,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,12,True,4.55,5.47,1.20158,328
20,14,256,256,256,256,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,13,True,5.12,5.42,1.05794,187
21,15,256,256,256,256,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,14,True,4.44,5.49,1.23597,356
22,16,256,256,256,256,128,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,15,True,4.55,5.4,1.18647,313
