gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
0,1,128,1280,2048,128,256,128,64,8,1,8,1,16,32,0,0,0,True,True,False,,,False,,,,
2,2,128,1280,2048,32,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,13.86,32.72,2.36099,467
3,3,128,1280,2048,32,256,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
4,4,128,1280,2048,64,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,2,True,13.25,15.46,1.16663,207
5,5,128,1280,2048,128,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
6,6,128,1280,2048,128,320,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
7,7,128,1280,2048,128,320,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
13,8,128,1280,2048,32,320,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,3,True,13.28,41.22,3.10372,537
14,9,128,1280,2048,64,320,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,4,True,13.35,21.31,1.596,350
17,10,128,1280,2048,32,160,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,5,True,13.28,27.89,2.09993,425
18,11,128,1280,2048,32,128,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
19,12,128,1280,2048,64,160,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,6,True,13.35,10.33,0.77364,69
20,13,128,1280,2048,128,160,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
21,14,128,1280,2048,64,128,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
22,15,128,1280,2048,64,256,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,7,True,13.86,13.82,0.99724,156
23,16,128,1280,2048,128,64,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,8,True,13.25,22.84,1.72415,365
24,17,128,1280,2048,128,32,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,9,True,13.86,13.98,1.00838,160
25,18,128,1280,2048,128,64,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,10,True,13.28,10.63,0.8005,80
26,19,128,1280,2048,128,32,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,11,True,13.25,17.24,1.30109,257
