gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
145,1,4096,640,2560,128,320,32,256,2,1,2,4,16,32,0,0,0,True,True,False,,,False,,,,
146,2,4096,640,2560,128,320,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
148,3,4096,640,2560,512,64,64,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
149,4,4096,640,2560,512,64,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,1,True,35.21,72.74,2.066,564
150,5,4096,640,2560,512,80,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,2,True,35.19,84.22,2.39316,605
151,6,4096,640,2560,512,160,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,3,True,35.11,108.9,3.10204,667
152,7,4096,640,2560,512,320,32,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
153,8,4096,640,2560,512,128,32,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
155,9,4096,640,2560,512,16,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,4,True,35.21,442.66,12.57155,749
156,10,4096,640,2560,512,32,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,5,True,35.11,109.83,3.12855,669
203,11,4096,640,2560,256,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,6,True,35.21,72.18,2.05019,562
205,12,4096,640,2560,16,320,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,7,True,35.21,57.78,1.64109,471
206,13,4096,640,2560,32,320,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
207,14,4096,640,2560,64,320,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
208,15,4096,640,2560,256,320,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
209,16,4096,640,2560,256,128,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
210,17,4096,640,2560,256,64,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,8,True,35.19,72.07,2.04801,561
211,18,4096,640,2560,256,64,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,9,True,35.11,45.04,1.28287,290
213,19,4096,640,2560,512,64,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,10,True,35.21,40.05,1.13758,220
214,20,4096,640,2560,512,64,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,11,True,35.21,75.57,2.14625,573
215,21,4096,640,2560,512,128,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,12,True,35.19,104.46,2.96841,660
216,22,4096,640,2560,512,320,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,13,True,35.21,122.4,3.47641,688
219,23,4096,640,2560,16,320,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,14,True,35.11,878.02,25.0106,776
220,24,4096,640,2560,16,320,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,15,True,35.19,43.04,1.22297,266
223,25,4096,640,2560,512,320,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,16,True,35.21,45.61,1.29526,297
224,26,4096,640,2560,128,320,64,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
225,27,4096,640,2560,64,320,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,17,True,35.11,59.03,1.68143,484
226,28,4096,640,2560,128,320,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,18,True,35.21,37.61,1.06833,182
227,29,4096,640,2560,32,320,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,19,True,35.19,67.1,1.90669,539
228,30,4096,640,2560,32,320,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,20,True,35.21,29.93,0.85014,56
229,31,4096,640,2560,64,320,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,21,True,35.21,27.81,0.78987,29
230,32,4096,640,2560,256,320,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,22,True,35.11,38.09,1.08506,193
231,33,4096,640,2560,512,128,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,23,True,35.19,104.57,2.9716,661
232,34,4096,640,2560,256,128,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,24,True,35.21,383.77,10.89919,736
233,35,4096,640,2560,256,128,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://2,25,True,35.21,55.79,1.58453,446
234,36,4096,640,2560,256,128,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,26,True,35.11,53.38,1.52049,415
235,37,4096,640,2560,64,320,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,27,True,35.19,59.73,1.6972,490
236,38,4096,640,2560,32,320,32,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
237,39,4096,640,2560,32,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
238,40,4096,640,2560,64,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
240,41,4096,640,2560,32,320,128,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
241,42,4096,640,2560,512,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,28,True,35.21,26.23,0.74487,18
242,43,4096,640,2560,512,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,29,True,35.21,89.77,2.54973,629
243,44,4096,640,2560,512,128,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,30,True,35.19,72.05,2.04747,560
245,45,4096,640,2560,256,128,128,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,31,True,35.11,102.09,2.90808,652
246,46,4096,640,2560,256,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,32,True,35.21,44.23,1.25614,275
247,47,4096,640,2560,256,64,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,33,True,35.21,49.69,1.41122,362
248,48,4096,640,2560,256,64,128,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,34,True,35.19,49.11,1.39559,354
250,49,4096,640,2560,512,64,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,35,True,35.11,34.5,0.98262,118
251,50,4096,640,2560,256,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,36,True,35.21,83.89,2.38246,601
253,51,4096,640,2560,128,320,128,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,37,True,35.21,41.33,1.17393,240
254,52,4096,640,2560,64,320,128,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,38,True,35.19,48.86,1.38851,350
255,53,4096,640,2560,512,320,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,39,True,35.11,30.72,0.87503,70
256,54,4096,640,2560,256,320,32,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
257,55,4096,640,2560,128,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
258,56,4096,640,2560,256,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
259,57,4096,640,2560,512,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
260,58,4096,640,2560,512,160,32,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
261,59,4096,640,2560,512,320,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,40,True,35.21,126.14,3.5824,690
