gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,64,1280,2048,32,128,16,128,2,1,2,2,16,4,0,0,0,True,True,False,,,False,,,,
2,2,64,1280,2048,32,320,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://2,1,True,50.02,59.1,1.18161,36
3,3,64,1280,2048,32,256,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,2,True,49.58,125.92,2.53975,118
6,4,64,1280,2048,32,320,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,3,True,49.64,123.92,2.49663,115
7,5,64,1280,2048,32,160,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,4,True,49.53,135.38,2.73338,119
8,6,64,1280,2048,32,256,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,5,True,49.53,65.22,1.31683,45
9,7,64,1280,2048,32,128,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,6,True,50.02,121.97,2.43848,111
24,8,64,1280,2048,64,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,7,True,49.58,53.69,1.08284,30
53,9,64,1280,2048,32,160,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,8,True,49.64,92.09,1.85539,76
54,10,64,1280,2048,32,128,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,9,True,50.02,67.77,1.35501,48
55,11,64,1280,2048,32,320,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://7,10,True,49.53,56.27,1.13617,34
56,12,64,1280,2048,32,256,16,256,2,1,2,4,16,4,0,0,0,True,False,False,,,False,,,,
57,13,64,1280,2048,32,160,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,11,True,49.64,118.13,2.38007,105
58,14,64,1280,2048,32,256,16,128,2,1,2,2,16,4,0,0,0,True,False,False,,,False,,,,
59,15,64,1280,2048,32,320,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,12,True,49.58,124.17,2.5046,116
60,16,64,1280,2048,64,256,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://6,13,True,49.64,125.45,2.52738,117
61,17,64,1280,2048,64,320,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,14,True,49.58,158.18,3.19058,131
62,18,64,1280,2048,64,320,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://7,15,True,49.53,190.71,3.85047,153
63,19,64,1280,2048,64,256,16,256,2,1,2,4,16,4,0,0,0,True,False,False,,,False,,,,
64,20,64,1280,2048,64,160,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,16,True,50.02,159.45,3.18794,129
65,21,64,1280,2048,64,128,16,128,2,1,2,2,16,4,0,0,0,True,False,False,,,False,,,,
66,22,64,1280,2048,64,256,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,17,True,49.64,99.82,2.01108,82
67,23,64,1280,2048,64,256,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,18,True,49.53,188.94,3.81472,150
68,24,64,1280,2048,64,160,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,19,True,50.02,170.64,3.41164,139
69,25,64,1280,2048,64,128,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,20,True,49.58,119.19,2.40412,107
70,26,64,1280,2048,64,160,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,21,True,49.64,91.0,1.83346,75
71,27,64,1280,2048,64,128,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,22,True,50.02,108.69,2.17306,94
72,28,64,1280,2048,64,320,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,23,True,49.58,88.98,1.79477,72
73,29,64,1280,2048,64,320,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,24,True,49.53,213.63,4.31314,171
97,30,64,1280,2048,16,320,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,25,True,49.64,208.86,4.20784,169
98,31,64,1280,2048,64,320,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://2,26,True,50.02,81.18,1.62303,52
99,32,64,1280,2048,32,320,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,27,True,49.53,207.12,4.18174,166
102,33,64,1280,2048,16,256,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,28,True,49.58,119.1,2.40227,106
103,34,64,1280,2048,32,256,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://2,29,True,50.02,74.86,1.49659,50
104,35,64,1280,2048,64,256,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,30,True,49.64,116.85,2.35428,104
112,36,64,1280,2048,64,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,31,True,49.53,165.22,3.33587,135
113,37,64,1280,2048,64,256,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,32,True,49.58,208.03,4.19605,168
114,38,64,1280,2048,16,256,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,33,True,49.64,167.24,3.36949,137
115,39,64,1280,2048,32,256,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://2,34,True,50.02,105.6,2.11129,91
116,40,64,1280,2048,32,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,35,True,49.53,120.68,2.43654,110
117,41,64,1280,2048,16,320,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,36,True,49.58,120.72,2.43485,109
175,42,64,1280,2048,64,32,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,37,True,49.64,88.82,1.78951,69
176,43,64,1280,2048,64,16,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,38,True,50.02,33.75,0.67484,10
177,44,64,1280,2048,64,64,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,39,True,49.53,23.87,0.482,3
178,45,64,1280,2048,64,160,32,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://5,40,True,49.58,191.64,3.86544,155
179,46,64,1280,2048,64,256,32,128,4,1,4,2,16,4,0,0,0,True,False,False,,,False,,,,
180,47,64,1280,2048,64,320,32,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://6,41,True,49.64,159.98,3.22319,132
181,48,64,1280,2048,64,256,16,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://2,42,True,50.02,197.6,3.95054,158
182,49,64,1280,2048,64,320,16,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://5,43,True,49.58,164.27,3.31331,133
183,50,64,1280,2048,64,160,16,128,4,1,4,2,16,4,0,0,0,True,False,False,,,False,,,,
184,51,64,1280,2048,64,128,32,128,4,1,4,2,16,4,0,0,0,True,False,False,,,False,,,,
185,52,64,1280,2048,64,160,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://7,44,True,49.53,82.71,1.67002,54
186,53,64,1280,2048,64,128,16,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://6,45,True,49.64,103.89,2.09308,87
187,54,64,1280,2048,64,128,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://2,46,True,50.02,89.59,1.79109,70
188,55,64,1280,2048,64,32,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,47,True,49.58,84.04,1.69512,56
189,56,64,1280,2048,64,16,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,48,True,49.53,32.37,0.65356,9
190,57,64,1280,2048,64,64,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,49,True,49.64,22.87,0.46072,2
191,58,64,1280,2048,64,80,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,50,True,50.02,52.49,1.04938,26
192,59,64,1280,2048,64,32,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,51,True,49.58,62.01,1.25071,42
193,60,64,1280,2048,64,16,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,52,True,49.53,36.72,0.74141,12
194,61,64,1280,2048,64,32,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,53,True,49.58,26.84,0.54132,4
195,62,64,1280,2048,64,16,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,54,True,50.02,31.61,0.63205,7
196,63,64,1280,2048,64,64,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,55,True,49.64,22.69,0.45705,1
197,64,64,1280,2048,64,80,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,56,True,49.53,49.56,1.00069,18
198,65,64,1280,2048,64,80,16,64,4,1,4,1,16,4,0,0,0,True,False,False,,,False,,,,
199,66,64,1280,2048,64,64,16,64,4,1,4,1,16,4,0,0,0,True,False,False,,,False,,,,
200,67,64,1280,2048,64,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,57,True,49.58,54.33,1.09577,31
201,68,64,1280,2048,64,320,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,58,True,50.02,175.99,3.51859,141
202,69,64,1280,2048,64,160,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,59,True,49.53,219.74,4.4365,172
203,70,64,1280,2048,64,256,32,64,4,1,4,1,16,4,0,0,0,True,False,False,,,False,,,,
204,71,64,1280,2048,64,320,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,60,True,49.64,171.84,3.46208,140
205,72,64,1280,2048,64,160,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,61,True,49.58,211.27,4.26128,170
206,73,64,1280,2048,64,160,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,62,True,50.02,109.67,2.19256,97
207,74,64,1280,2048,64,128,64,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,63,True,49.53,112.73,2.27595,100
208,75,64,1280,2048,64,128,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,64,True,49.64,92.83,1.87027,78
0,76,64,1280,2048,64,64,128,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://5,65,True,49.58,89.75,1.8103,74
4,77,64,1280,2048,32,256,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,66,True,50.02,179.32,3.5851,142
5,78,64,1280,2048,32,320,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,67,True,49.53,184.14,3.71784,145
10,79,64,1280,2048,32,160,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,68,True,49.64,206.35,4.15738,162
11,80,64,1280,2048,32,80,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://5,69,True,49.58,104.34,2.1045,88
12,81,64,1280,2048,32,64,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,70,True,50.02,56.68,1.13313,33
13,82,64,1280,2048,32,128,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,71,True,49.53,48.28,0.97486,14
14,83,64,1280,2048,64,160,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,72,True,49.64,86.81,1.74905,67
15,84,64,1280,2048,64,80,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://5,73,True,49.58,185.96,3.75083,146
16,85,64,1280,2048,64,64,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,74,True,50.02,99.36,1.98644,81
17,86,64,1280,2048,64,128,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,75,True,49.53,82.05,1.65668,53
18,87,64,1280,2048,64,32,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,76,True,49.64,153.08,3.0842,122
19,88,64,1280,2048,64,16,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://5,77,True,49.58,47.56,0.95936,13
20,89,64,1280,2048,64,16,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,78,True,50.02,31.44,0.6285,6
21,90,64,1280,2048,64,32,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,79,True,49.53,35.6,0.71871,11
22,91,64,1280,2048,64,64,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,80,True,49.64,51.87,1.04505,25
23,92,64,1280,2048,64,80,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://5,81,True,49.58,85.03,1.71497,60
25,93,64,1280,2048,64,128,16,64,2,1,2,1,16,4,0,0,0,True,False,False,,,False,,,,
26,94,64,1280,2048,32,128,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,82,True,50.02,153.94,3.07778,121
27,95,64,1280,2048,64,160,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,83,True,49.53,94.87,1.91536,79
28,96,64,1280,2048,32,160,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,84,True,49.64,202.02,4.07018,160
29,97,64,1280,2048,32,64,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://5,85,True,49.58,105.34,2.12479,92
30,98,64,1280,2048,32,80,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,86,True,50.02,52.56,1.0508,27
31,99,64,1280,2048,32,64,64,64,2,1,2,1,16,4,0,0,0,True,False,False,,,False,,,,
32,100,64,1280,2048,32,64,128,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,87,True,49.53,49.24,0.99409,16
33,101,64,1280,2048,64,64,64,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,88,True,49.64,50.31,1.01368,19
34,102,64,1280,2048,64,64,128,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://5,89,True,49.58,84.22,1.69873,58
35,103,64,1280,2048,64,32,64,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,90,True,50.02,120.92,2.41749,108
