gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
520,1,4096,4096,8192,128,256,8,512,1,1,1,8,32,16,4,1,0,"[128, 256, 0]","[4, 1, 0]","[0, 0, 8]",True,True,False,,,False,,,,
1230,2,4096,4096,8192,512,128,1,256,1,1,2,2,16,32,16,4,0,"[512, 128, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://2,1,True,319.5,312.67,0.97861,62
1002,3,4096,4096,8192,16,16,8,64,1,1,1,1,16,32,1,1,0,"[16, 16, 0]","[1, 1, 0]","[0, 0, 8]",True,True,True,hip://5,2,True,326.67,1530.0,4.68367,983
813,4,4096,4096,8192,64,256,1,256,1,1,1,4,16,32,4,4,0,"[64, 256, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://7,3,True,336.17,894.0,2.6594,747
937,5,4096,4096,8192,64,64,8,256,1,1,4,1,16,32,1,4,0,"[64, 64, 0]","[1, 4, 0]","[0, 0, 8]",True,True,True,hip://6,4,True,311.83,534.67,1.71459,479
1004,6,4096,4096,8192,16,128,2,512,1,1,1,8,16,32,1,1,0,"[16, 128, 0]","[1, 1, 0]","[0, 0, 2]",True,True,True,hip://7,5,True,336.17,464.67,1.38225,295
1234,7,4096,4096,8192,128,64,4,256,1,1,2,2,16,32,4,2,0,"[128, 64, 0]","[4, 2, 0]","[0, 0, 4]",True,True,True,hip://6,6,True,311.83,881.33,2.8263,789
1123,8,4096,4096,8192,128,256,2,512,1,1,4,2,16,32,2,8,0,"[128, 256, 0]","[2, 8, 0]","[0, 0, 2]",True,True,True,hip://5,7,True,326.67,293.33,0.89796,18
413,9,4096,4096,8192,16,512,2,512,1,1,1,8,16,32,1,4,0,"[16, 512, 0]","[1, 4, 0]","[0, 0, 2]",True,True,True,hip://2,8,True,319.5,341.0,1.06729,126
960,10,4096,4096,8192,128,512,1,256,1,1,4,1,32,16,1,16,0,"[128, 512, 0]","[1, 16, 0]","[0, 0, 1]",True,True,True,hip://6,9,True,311.83,1206.67,3.86959,932
8,11,4096,4096,8192,512,256,1,128,1,1,2,1,32,16,8,8,0,"[512, 256, 0]","[8, 8, 0]","[0, 0, 1]",True,True,True,hip://5,10,True,326.67,2760.0,8.44898,1132
1284,12,4096,4096,8192,128,256,1,128,1,1,2,1,32,16,2,8,0,"[128, 256, 0]","[2, 8, 0]","[0, 0, 1]",True,True,True,hip://7,11,True,336.17,17600.0,52.35498,1322
368,13,4096,4096,8192,128,64,4,256,1,1,2,2,32,16,2,1,0,"[128, 64, 0]","[2, 1, 0]","[0, 0, 4]",True,True,True,hip://2,12,True,319.5,2716.67,8.50287,1135
1290,14,4096,4096,8192,128,128,1,128,1,1,2,1,32,16,2,4,0,"[128, 128, 0]","[2, 4, 0]","[0, 0, 1]",True,True,True,hip://6,13,True,311.83,393.0,1.26029,238
969,15,4096,4096,8192,256,128,1,512,1,1,4,2,16,32,4,4,0,"[256, 128, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://7,14,True,336.17,973.67,2.89638,795
800,16,4096,4096,8192,256,16,4,512,1,1,8,1,16,32,2,1,0,"[256, 16, 0]","[2, 1, 0]","[0, 0, 4]",True,True,True,hip://5,15,True,326.67,450.0,1.37755,294
1057,17,4096,4096,8192,512,128,2,128,1,1,1,2,16,32,32,4,0,"[512, 128, 0]","[32, 4, 0]","[0, 0, 2]",True,True,True,hip://2,16,True,319.5,838.0,2.62285,741
356,18,4096,4096,8192,128,512,1,512,1,1,4,2,32,16,1,8,0,"[128, 512, 0]","[1, 8, 0]","[0, 0, 1]",True,True,True,hip://6,17,True,311.83,1363.33,4.37199,959
220,19,4096,4096,8192,32,64,16,128,1,1,1,2,16,32,2,2,0,"[32, 64, 0]","[2, 2, 0]","[0, 0, 16]",True,True,True,hip://7,18,True,336.17,811.67,2.41448,702
1292,20,4096,4096,8192,512,32,1,512,1,1,4,2,16,32,8,1,0,"[512, 32, 0]","[8, 1, 0]","[0, 0, 1]",True,True,True,hip://2,19,True,319.5,690.33,2.16067,634
15,21,4096,4096,8192,512,128,4,128,1,1,2,1,32,16,8,4,0,"[512, 128, 0]","[8, 4, 0]","[0, 0, 4]",True,True,True,hip://5,20,True,326.67,1160.0,3.55102,889
723,22,4096,4096,8192,128,128,4,64,1,1,1,1,32,16,4,4,0,"[128, 128, 0]","[4, 4, 0]","[0, 0, 4]",True,True,True,hip://6,21,True,311.83,6726.67,21.57135,1225
90,23,4096,4096,8192,512,512,1,64,1,1,1,1,32,16,16,16,0,"[512, 512, 0]","[16, 16, 0]","[0, 0, 1]",True,True,True,hip://7,22,True,336.17,609.0,1.8116,524
602,24,4096,4096,8192,256,128,8,512,1,1,2,4,32,16,4,1,0,"[256, 128, 0]","[4, 1, 0]","[0, 0, 8]",True,False,False,,,False,,,,
862,25,4096,4096,8192,256,256,4,256,1,1,1,4,16,32,16,4,0,"[256, 256, 0]","[16, 4, 0]","[0, 0, 4]",True,True,True,hip://2,23,True,319.5,311.0,0.9734,58
1218,26,4096,4096,8192,256,32,1,128,1,1,2,1,16,32,8,2,0,"[256, 32, 0]","[8, 2, 0]","[0, 0, 1]",True,True,True,hip://5,24,True,326.67,872.67,2.67143,750
374,27,4096,4096,8192,128,128,8,128,1,1,1,2,32,16,4,2,0,"[128, 128, 0]","[4, 2, 0]","[0, 0, 8]",True,True,True,hip://6,25,True,311.83,1060.0,3.39925,874
48,28,4096,4096,8192,512,128,1,512,1,1,4,2,32,16,4,2,0,"[512, 128, 0]","[4, 2, 0]","[0, 0, 1]",True,True,True,hip://7,26,True,336.17,490.67,1.45959,343
153,29,4096,4096,8192,32,32,1,128,1,1,1,2,16,32,2,1,0,"[32, 32, 0]","[2, 1, 0]","[0, 0, 1]",True,True,True,hip://2,27,True,319.5,1133.33,3.54721,888
1299,30,4096,4096,8192,128,256,1,256,1,1,4,1,16,32,2,16,0,"[128, 256, 0]","[2, 16, 0]","[0, 0, 1]",True,True,True,hip://5,28,True,326.67,1283.33,3.92857,937
645,31,4096,4096,8192,32,512,1,256,1,1,1,4,32,16,1,4,0,"[32, 512, 0]","[1, 4, 0]","[0, 0, 1]",True,True,True,hip://6,29,True,311.83,418.0,1.34046,278
927,32,4096,4096,8192,256,32,4,256,1,1,4,1,16,32,4,2,0,"[256, 32, 0]","[4, 2, 0]","[0, 0, 4]",True,True,True,hip://7,30,True,336.17,1650.0,4.90828,1003
782,33,4096,4096,8192,128,256,8,256,1,1,4,1,32,16,1,8,0,"[128, 256, 0]","[1, 8, 0]","[0, 0, 8]",True,True,True,hip://2,31,True,319.5,552.0,1.7277,487
100,34,4096,4096,8192,512,64,2,256,1,1,4,1,32,16,4,2,0,"[512, 64, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://5,32,True,326.67,354.67,1.08571,133
