gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
765,1,2048,1280,5120,32,128,10,256,1,1,1,4,32,16,1,1,0,"[32, 128, 0]","[1, 1, 0]","[0, 0, 10]",True,True,False,,,False,,,,
135,2,2048,1280,5120,64,64,1,128,1,1,1,2,32,16,2,1,0,"[64, 64, 0]","[2, 1, 0]","[0, 0, 1]",True,True,True,hip://2,1,True,109.33,148.0,1.35366,1057
1968,3,2048,1280,5120,128,160,2,640,1,1,2,5,16,32,4,2,0,"[128, 160, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://5,2,True,108.0,202.0,1.87037,1589
1564,4,2048,1280,5120,64,32,2,256,1,1,4,1,16,32,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 2]",True,True,True,hip://6,3,True,108.17,110.0,1.01695,392
775,5,2048,1280,5120,128,128,1,256,1,1,1,4,32,16,4,1,0,"[128, 128, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://7,4,True,110.0,115.33,1.04848,450
4,6,2048,1280,5120,32,16,2,64,1,1,1,1,16,32,2,1,0,"[32, 16, 0]","[2, 1, 0]","[0, 0, 2]",True,True,True,hip://6,5,True,108.17,155.67,1.43914,1212
1637,7,2048,1280,5120,256,256,4,128,1,1,2,1,16,32,8,16,0,"[256, 256, 0]","[8, 16, 0]","[0, 0, 4]",True,True,True,hip://2,6,True,109.33,140.33,1.28354,939
2022,8,2048,1280,5120,128,320,2,256,1,1,2,2,16,32,4,10,0,"[128, 320, 0]","[4, 10, 0]","[0, 0, 2]",True,True,True,hip://7,7,True,110.0,1793.33,16.30303,2213
1163,9,2048,1280,5120,128,128,8,128,1,1,2,1,32,16,2,4,0,"[128, 128, 0]","[2, 4, 0]","[0, 0, 8]",True,True,True,hip://5,8,True,108.0,163.33,1.51235,1310
1598,10,2048,1280,5120,64,32,5,128,1,1,2,1,16,32,2,2,0,"[64, 32, 0]","[2, 2, 0]","[0, 0, 5]",True,True,True,hip://6,9,True,108.17,110.67,1.02311,403
2027,11,2048,1280,5120,64,320,5,320,1,1,1,5,16,32,4,4,0,"[64, 320, 0]","[4, 4, 0]","[0, 0, 5]",True,True,True,hip://5,10,True,108.0,164.67,1.52469,1320
1037,12,2048,1280,5120,128,128,5,128,1,1,2,1,32,16,2,4,0,"[128, 128, 0]","[2, 4, 0]","[0, 0, 5]",True,True,True,hip://2,11,True,109.33,131.33,1.20122,783
333,13,2048,1280,5120,64,320,1,320,1,1,1,5,32,16,2,2,0,"[64, 320, 0]","[2, 2, 0]","[0, 0, 1]",True,True,True,hip://7,12,True,110.0,117.33,1.06667,495
1666,14,2048,1280,5120,32,64,2,128,1,1,2,1,16,32,1,4,0,"[32, 64, 0]","[1, 4, 0]","[0, 0, 2]",True,True,True,hip://6,13,True,108.17,180.67,1.67026,1439
507,15,2048,1280,5120,256,128,8,512,1,1,8,1,32,16,1,4,0,"[256, 128, 0]","[1, 4, 0]","[0, 0, 8]",True,True,True,hip://5,14,True,108.0,104.0,0.96296,287
2186,16,2048,1280,5120,16,256,1,128,1,1,1,2,16,32,1,8,0,"[16, 256, 0]","[1, 8, 0]","[0, 0, 1]",True,True,True,hip://2,15,True,109.33,127.33,1.16463,697
104,17,2048,1280,5120,512,64,2,256,1,1,2,2,32,16,8,1,0,"[512, 64, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://7,16,True,110.0,232.67,2.11515,1734
183,18,2048,1280,5120,512,320,2,512,1,1,4,2,16,32,8,10,0,"[512, 320, 0]","[8, 10, 0]","[0, 0, 2]",True,True,True,hip://6,17,True,108.17,196.33,1.8151,1540
