gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
383,1,4096,4096,8192,128,32,16,32,1,1,1,1,16,16,0,0,0,True,True,False,,,False,,,,
656,2,4096,4096,8192,16,128,64,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,1,True,4611.67,10700.0,2.3202,293
327,3,4096,4096,8192,32,64,32,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,2,True,4611.67,10003.33,2.16914,287
251,4,4096,4096,8192,256,64,16,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,3,True,4611.67,9480.0,2.05566,271
611,5,4096,4096,8192,256,128,32,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,4,True,4611.67,49333.33,10.69751,535
411,6,4096,4096,8192,16,256,64,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,5,True,4611.67,53000.0,11.49259,560
101,7,4096,4096,8192,512,512,16,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,6,True,4611.67,97466.67,21.1348,673
568,8,4096,4096,8192,256,256,64,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,7,True,4611.67,90500.0,19.62414,663
150,9,4096,4096,8192,64,128,16,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,8,True,4611.67,36000.0,7.80629,472
222,10,4096,4096,8192,256,256,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,9,True,4611.67,31400.0,6.80882,460
15,11,4096,4096,8192,512,64,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,10,True,4611.67,40833.33,8.85435,490
532,12,4096,4096,8192,128,32,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,11,True,4611.67,3483.33,0.75533,52
439,13,4096,4096,8192,32,128,64,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,12,True,4611.67,9056.67,1.96386,258
