gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
745,1,4096,4096,8192,512,64,32,128,1,1,1,4,16,16,0,0,0,True,True,False,,,False,,,,
564,2,4096,4096,8192,128,256,128,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,1,True,1433.33,6930.0,4.83488,254
443,3,4096,4096,8192,128,32,256,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,2,True,1433.33,12800.0,8.93023,381
700,4,4096,4096,8192,256,32,16,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,3,False,1433.33,,inf,506
298,5,4096,4096,8192,32,256,128,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,4,True,1433.33,7246.67,5.05581,262
49,6,4096,4096,8192,128,512,64,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,5,True,1433.33,2493.33,1.73953,87
713,7,4096,4096,8192,512,32,16,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,6,False,1433.33,,inf,507
53,8,4096,4096,8192,128,512,16,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,7,True,1433.33,12233.33,8.53488,372
428,9,4096,4096,8192,256,512,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,8,True,1433.33,60633.33,42.30233,483
239,10,4096,4096,8192,512,128,32,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,9,False,1433.33,,inf,508
38,11,4096,4096,8192,64,512,64,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,10,False,1433.33,,inf,509
596,12,4096,4096,8192,64,512,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,11,False,1433.33,,inf,510
247,13,4096,4096,8192,512,256,16,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,12,True,1433.33,4960.0,3.46047,181
227,14,4096,4096,8192,512,128,16,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,13,False,1433.33,,inf,511
