gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
237,1,256,256,256,128,32,128,64,1,1,1,2,16,16,0,0,0,True,True,False,,,False,,,,
96,2,256,256,256,16,256,16,256,1,1,1,8,16,16,0,0,0,True,True,True,hip://0,1,True,37.33,37.0,0.99107,173
466,3,256,256,256,128,32,64,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,2,True,37.33,37.0,0.99107,174
170,4,256,256,256,64,64,64,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,3,True,37.33,36.0,0.96429,50
7,5,256,256,256,256,64,64,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,4,True,37.33,35.33,0.94643,9
147,6,256,256,256,64,32,32,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,5,True,37.33,36.33,0.97321,98
509,7,256,256,256,256,128,16,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,6,True,37.33,35.0,0.9375,1
182,8,256,256,256,64,16,16,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,7,True,37.33,769.33,20.60714,519
156,9,256,256,256,64,128,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,8,True,37.33,37.33,1.0,209
153,10,256,256,256,64,128,64,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,9,True,37.33,37.33,1.0,210
508,11,256,256,256,256,32,16,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,10,True,37.33,36.0,0.96429,51
59,12,256,256,256,256,32,32,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,11,True,37.33,41.67,1.11607,296
143,13,256,256,256,64,64,256,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,12,True,37.33,36.33,0.97321,99
485,14,256,256,256,128,64,32,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,13,True,37.33,37.67,1.00893,236
151,15,256,256,256,64,32,32,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,14,True,37.33,167.0,4.47321,465
456,16,256,256,256,128,256,32,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,15,True,37.33,37.0,0.99107,175
