gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1198,1,2048,10240,1280,64,128,32,32,4,1,4,1,16,16,0,0,0,True,True,False,,,False,,,,
837,2,2048,10240,1280,32,160,80,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,1,False,481.83,,inf,468
459,3,2048,10240,1280,128,160,64,64,1,1,1,2,16,16,0,0,0,True,False,False,,,False,,,,
1068,4,2048,10240,1280,64,32,128,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,2,True,481.83,6306.67,13.0889,384
1089,5,2048,10240,1280,32,64,320,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,3,True,481.83,892.33,1.85195,210
361,6,2048,10240,1280,256,128,32,32,1,1,1,1,16,16,0,0,0,True,False,False,,,False,,,,
202,7,2048,10240,1280,32,16,256,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,4,False,481.83,,inf,469
1081,8,2048,10240,1280,16,80,256,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,5,True,481.83,1500.0,3.11311,331
1151,9,2048,10240,1280,128,64,80,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,6,False,481.83,,inf,470
852,10,2048,10240,1280,64,128,160,64,1,1,1,2,16,16,0,0,0,True,False,False,,,False,,,,
800,11,2048,10240,1280,128,512,32,64,2,1,2,2,16,16,0,0,0,True,False,False,,,False,,,,
214,12,2048,10240,1280,32,80,32,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,7,False,481.83,,inf,471
