gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1656,1,2048,1280,5120,512,160,64,64,2,1,2,2,16,16,0,0,0,True,True,False,,,False,,,,
1213,2,2048,1280,5120,256,32,80,32,8,1,8,1,16,16,0,0,0,True,True,True,hip://0,1,False,163.17,,inf,667
1445,3,2048,1280,5120,512,256,80,64,4,1,4,2,16,16,0,0,0,True,False,False,,,False,,,,
34,4,2048,1280,5120,128,64,32,64,2,1,2,2,16,16,0,0,0,True,False,False,,,False,,,,
846,5,2048,1280,5120,512,256,16,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,2,True,163.17,430.67,2.63943,248
1489,6,2048,1280,5120,512,64,80,64,4,1,4,2,16,16,0,0,0,True,True,True,hip://0,3,True,163.17,15266.67,93.56486,660
790,7,2048,1280,5120,128,64,256,128,2,1,2,4,16,16,0,0,0,True,False,False,,,False,,,,
235,8,2048,1280,5120,16,128,16,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,4,False,163.17,,inf,668
1054,9,2048,1280,5120,16,80,64,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,5,False,163.17,,inf,669
290,10,2048,1280,5120,16,256,160,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,6,True,163.17,389.33,2.38611,204
498,11,2048,1280,5120,128,320,80,32,2,1,2,1,16,16,0,0,0,True,False,False,,,False,,,,
1567,12,2048,1280,5120,64,160,64,64,4,1,4,2,16,16,0,0,0,True,False,False,,,False,,,,
550,13,2048,1280,5120,128,64,320,32,4,1,4,1,16,16,0,0,0,True,False,False,,,False,,,,
1004,14,2048,1280,5120,64,320,32,32,1,1,1,1,16,16,0,0,0,True,False,False,,,False,,,,
1426,15,2048,1280,5120,256,80,80,160,1,1,1,5,16,16,0,0,0,True,True,True,hip://0,7,False,163.17,,inf,670
1488,16,2048,1280,5120,512,32,80,64,4,1,4,2,16,16,0,0,0,True,False,False,,,False,,,,
685,17,2048,1280,5120,32,16,16,32,1,1,1,1,16,16,0,0,0,True,False,False,,,False,,,,
1151,18,2048,1280,5120,256,128,80,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,8,True,163.17,2256.67,13.83044,572
1450,19,2048,1280,5120,256,256,32,64,4,1,4,2,16,16,0,0,0,True,False,False,,,False,,,,
18,20,2048,1280,5120,64,32,160,64,1,1,1,2,16,16,0,0,0,True,True,True,hip://0,9,True,163.17,457.33,2.80286,272
213,21,2048,1280,5120,32,160,16,64,1,1,1,2,16,16,0,0,0,True,False,False,,,False,,,,
1352,22,2048,1280,5120,256,128,128,256,1,1,1,8,16,16,0,0,0,True,False,False,,,False,,,,
1672,23,2048,1280,5120,256,32,16,64,2,1,2,2,16,16,0,0,0,True,True,True,hip://0,10,False,163.17,,inf,671
1422,24,2048,1280,5120,16,320,80,128,1,1,1,4,16,16,0,0,0,True,True,True,hip://0,11,True,163.17,948.33,5.81205,470
1622,25,2048,1280,5120,64,320,64,128,2,1,2,4,16,16,0,0,0,True,False,False,,,False,,,,
478,26,2048,1280,5120,128,64,80,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,12,True,163.17,153.33,0.93973,25
803,27,2048,1280,5120,512,160,32,32,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
357,28,2048,1280,5120,128,128,160,64,2,1,2,2,16,16,0,0,0,True,False,False,,,False,,,,
253,29,2048,1280,5120,256,160,64,64,1,1,1,2,16,16,0,0,0,True,False,False,,,False,,,,
1124,30,2048,1280,5120,256,80,16,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,13,False,163.17,,inf,672
522,31,2048,1280,5120,128,80,160,32,1,1,1,1,16,16,0,0,0,True,False,False,,,False,,,,
527,32,2048,1280,5120,128,16,320,32,1,1,1,1,16,16,0,0,0,True,False,False,,,False,,,,
91,33,2048,1280,5120,512,32,16,64,1,1,1,2,16,16,0,0,0,True,False,False,,,False,,,,
885,34,2048,1280,5120,512,128,64,32,2,1,2,1,16,16,0,0,0,True,True,True,hip://0,14,True,163.17,1226.67,7.51788,505
368,35,2048,1280,5120,128,128,256,32,4,1,4,1,16,16,0,0,0,True,True,True,hip://0,15,True,163.17,2646.67,16.22063,587
1017,36,2048,1280,5120,256,16,128,32,1,1,1,1,16,16,0,0,0,True,True,True,hip://0,16,True,163.17,2156.67,13.21757,571
