gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
520,1,8192,8192,8192,512,256,4,128,1,1,2,1,32,16,8,8,0,"[512, 256, 0]","[8, 8, 0]","[0, 0, 4]",True,True,False,,,False,,,,
1230,2,8192,8192,8192,512,32,1,128,1,1,1,2,16,32,32,1,0,"[512, 32, 0]","[32, 1, 0]","[0, 0, 1]",True,True,True,hip://2,1,True,1173.33,35833.33,30.53977,1126
1002,3,8192,8192,8192,128,128,1,128,1,1,2,1,16,32,4,8,0,"[128, 128, 0]","[4, 8, 0]","[0, 0, 1]",True,True,True,hip://5,2,True,1233.33,3280.0,2.65946,603
813,4,8192,8192,8192,64,128,8,256,1,1,4,1,16,32,1,8,0,"[64, 128, 0]","[1, 8, 0]","[0, 0, 8]",True,True,True,hip://6,3,True,1180.0,2470.0,2.09322,492
937,5,8192,8192,8192,32,512,2,512,1,1,2,4,16,32,1,8,0,"[32, 512, 0]","[1, 8, 0]","[0, 0, 2]",True,True,True,hip://7,4,True,1355.0,1686.67,1.24477,206
1004,6,8192,8192,8192,256,128,1,128,1,1,2,1,16,32,8,8,0,"[256, 128, 0]","[8, 8, 0]","[0, 0, 1]",True,True,True,hip://7,5,True,1355.0,2690.0,1.98524,457
1234,7,8192,8192,8192,16,32,4,128,1,1,1,2,16,32,1,1,0,"[16, 32, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://6,6,True,1180.0,8350.0,7.07627,926
1123,8,8192,8192,8192,128,64,1,512,1,1,8,1,16,32,1,4,0,"[128, 64, 0]","[1, 4, 0]","[0, 0, 1]",True,True,True,hip://2,7,True,1173.33,4046.67,3.44886,715
413,9,8192,8192,8192,256,32,2,64,1,1,1,1,32,16,8,1,0,"[256, 32, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://5,8,True,1233.33,2476.67,2.00811,462
960,10,8192,8192,8192,128,64,2,512,1,1,2,4,16,32,4,1,0,"[128, 64, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://7,9,True,1355.0,3593.33,2.65191,601
8,11,8192,8192,8192,32,16,4,128,1,1,2,1,16,32,1,1,0,"[32, 16, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://6,10,True,1180.0,1590.0,1.34746,244
1284,12,8192,8192,8192,128,16,8,256,1,1,4,1,16,32,2,1,0,"[128, 16, 0]","[2, 1, 0]","[0, 0, 8]",True,True,True,hip://5,11,True,1233.33,3196.67,2.59189,593
368,13,8192,8192,8192,32,32,2,128,1,1,1,2,16,32,2,1,0,"[32, 32, 0]","[2, 1, 0]","[0, 0, 2]",True,True,True,hip://2,12,True,1173.33,3186.67,2.71591,612
1290,14,8192,8192,8192,128,16,2,64,1,1,1,1,16,32,8,1,0,"[128, 16, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://6,13,True,1180.0,3233.33,2.74011,616
969,15,8192,8192,8192,64,64,16,512,1,1,2,4,16,32,2,1,0,"[64, 64, 0]","[2, 1, 0]","[0, 0, 16]",True,True,True,hip://7,14,True,1355.0,3466.67,2.55843,589
800,16,8192,8192,8192,64,64,8,256,1,1,2,2,16,32,2,2,0,"[64, 64, 0]","[2, 2, 0]","[0, 0, 8]",True,True,True,hip://5,15,True,1233.33,11000.0,8.91892,974
1057,17,8192,8192,8192,128,16,2,128,1,1,2,1,16,32,4,1,0,"[128, 16, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://2,16,True,1173.33,1706.67,1.45455,280
356,18,8192,8192,8192,128,64,2,512,1,1,4,2,16,32,2,2,0,"[128, 64, 0]","[2, 2, 0]","[0, 0, 2]",True,True,True,hip://6,17,True,1180.0,4030.0,3.41525,711
220,19,8192,8192,8192,512,512,4,128,1,1,1,2,32,16,16,8,0,"[512, 512, 0]","[16, 8, 0]","[0, 0, 4]",True,True,True,hip://7,18,True,1355.0,1550.0,1.14391,158
1292,20,8192,8192,8192,32,16,16,64,1,1,1,1,16,32,2,1,0,"[32, 16, 0]","[2, 1, 0]","[0, 0, 16]",True,True,True,hip://5,19,True,1233.33,39033.33,31.64865,1133
15,21,8192,8192,8192,16,64,16,64,1,1,1,1,16,32,1,4,0,"[16, 64, 0]","[1, 4, 0]","[0, 0, 16]",True,True,True,hip://2,20,True,1173.33,4240.0,3.61364,729
723,22,8192,8192,8192,512,128,2,256,1,1,4,1,32,16,4,4,0,"[512, 128, 0]","[4, 4, 0]","[0, 0, 2]",True,True,True,hip://7,21,True,1355.0,5596.67,4.13038,779
90,23,8192,8192,8192,512,256,2,64,1,1,1,1,16,32,32,16,0,"[512, 256, 0]","[32, 16, 0]","[0, 0, 2]",True,True,True,hip://6,22,True,1180.0,12100.0,10.25424,997
602,24,8192,8192,8192,256,512,1,512,1,1,1,8,32,16,8,2,0,"[256, 512, 0]","[8, 2, 0]","[0, 0, 1]",True,False,False,,,False,,,,
862,25,8192,8192,8192,64,16,2,128,1,1,2,1,16,32,2,1,0,"[64, 16, 0]","[2, 1, 0]","[0, 0, 2]",True,True,True,hip://5,23,True,1233.33,16333.33,13.24324,1025
1218,26,8192,8192,8192,32,512,2,256,1,1,1,4,16,32,2,8,0,"[32, 512, 0]","[2, 8, 0]","[0, 0, 2]",True,True,True,hip://2,24,True,1173.33,3960.0,3.375,702
374,27,8192,8192,8192,32,128,4,128,1,1,1,2,16,32,2,4,0,"[32, 128, 0]","[2, 4, 0]","[0, 0, 4]",True,True,True,hip://7,25,True,1355.0,2596.67,1.91636,427
48,28,8192,8192,8192,64,128,16,256,1,1,1,4,32,16,2,1,0,"[64, 128, 0]","[2, 1, 0]","[0, 0, 16]",True,True,True,hip://6,26,True,1180.0,2050.0,1.73729,382
153,29,8192,8192,8192,128,512,4,512,1,1,4,2,32,16,1,8,0,"[128, 512, 0]","[1, 8, 0]","[0, 0, 4]",True,True,True,hip://5,27,True,1233.33,1613.33,1.30811,230
1299,30,8192,8192,8192,256,16,4,256,1,1,4,1,16,32,4,1,0,"[256, 16, 0]","[4, 1, 0]","[0, 0, 4]",True,True,True,hip://2,28,True,1173.33,1170.0,0.99716,91
645,31,8192,8192,8192,128,128,2,128,1,1,1,2,32,16,4,2,0,"[128, 128, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://7,29,True,1355.0,3296.67,2.43296,566
927,32,8192,8192,8192,256,512,1,128,1,1,2,1,16,32,8,32,0,"[256, 512, 0]","[8, 32, 0]","[0, 0, 1]",True,True,True,hip://6,30,True,1180.0,2476.67,2.09887,493
782,33,8192,8192,8192,64,512,1,256,1,1,2,2,16,32,2,16,0,"[64, 512, 0]","[2, 16, 0]","[0, 0, 1]",True,True,True,hip://5,31,True,1233.33,29166.67,23.64865,1097
100,34,8192,8192,8192,256,256,1,128,1,1,1,2,16,32,16,8,0,"[256, 256, 0]","[16, 8, 0]","[0, 0, 1]",True,True,True,hip://2,32,True,1173.33,1996.67,1.7017,363
618,35,8192,8192,8192,512,64,2,256,1,1,2,2,32,16,8,1,0,"[512, 64, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://6,33,True,1180.0,32500.0,27.54237,1114
272,36,8192,8192,8192,256,64,4,256,1,1,2,2,32,16,4,1,0,"[256, 64, 0]","[4, 1, 0]","[0, 0, 4]",True,True,True,hip://7,34,True,1355.0,2313.33,1.70726,368
