gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1456,1,2048,10240,1280,128,512,5,128,1,1,2,1,32,16,2,16,0,"[128, 512, 0]","[2, 16, 0]","[0, 0, 5]",True,True,False,,,False,,,,
826,2,2048,10240,1280,32,64,4,512,1,1,2,4,16,32,1,1,0,"[32, 64, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://2,1,True,89.5,1900.0,21.22905,2276
50,3,2048,10240,1280,32,256,4,64,1,1,1,1,16,32,2,16,0,"[32, 256, 0]","[2, 16, 0]","[0, 0, 4]",True,True,True,hip://5,2,True,92.0,125.33,1.36232,597
1176,4,2048,10240,1280,32,256,4,256,1,1,2,2,16,32,1,8,0,"[32, 256, 0]","[1, 8, 0]","[0, 0, 4]",True,True,True,hip://6,3,True,94.5,282.67,2.99118,1758
1520,5,2048,10240,1280,512,32,1,256,1,1,4,1,32,16,4,1,0,"[512, 32, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://7,4,True,92.67,139.0,1.5,862
854,6,2048,10240,1280,256,128,4,512,1,1,2,4,16,32,8,2,0,"[256, 128, 0]","[8, 2, 0]","[0, 0, 4]",True,True,True,hip://5,5,True,92.0,301.67,3.27899,1817
2029,7,2048,10240,1280,256,16,5,128,1,1,2,1,16,32,8,1,0,"[256, 16, 0]","[8, 1, 0]","[0, 0, 5]",True,True,True,hip://2,6,True,89.5,101.0,1.12849,130
621,8,2048,10240,1280,256,512,1,128,1,1,1,2,16,32,16,16,0,"[256, 512, 0]","[16, 16, 0]","[0, 0, 1]",True,True,True,hip://7,7,True,92.67,297.67,3.21223,1804
1449,9,2048,10240,1280,64,512,5,256,1,1,2,2,32,16,1,8,0,"[64, 512, 0]","[1, 8, 0]","[0, 0, 5]",True,True,True,hip://6,8,True,94.5,2180.0,23.06878,2298
1217,10,2048,10240,1280,32,128,2,64,1,1,1,1,16,32,2,8,0,"[32, 128, 0]","[2, 8, 0]","[0, 0, 2]",True,True,True,hip://2,9,True,89.5,175.33,1.95903,1366
476,11,2048,10240,1280,64,32,4,128,1,1,1,2,16,32,4,1,0,"[64, 32, 0]","[4, 1, 0]","[0, 0, 4]",True,True,True,hip://7,10,True,92.67,129.33,1.39568,656
1790,12,2048,10240,1280,64,160,5,640,1,1,2,5,32,16,1,1,0,"[64, 160, 0]","[1, 1, 0]","[0, 0, 5]",True,True,True,hip://6,11,True,94.5,121.0,1.28042,441
573,13,2048,10240,1280,128,320,4,128,1,1,1,2,16,32,8,10,0,"[128, 320, 0]","[8, 10, 0]","[0, 0, 4]",True,True,True,hip://5,12,True,92.0,126.67,1.37681,621
1749,14,2048,10240,1280,128,128,8,512,1,1,2,4,32,16,2,1,0,"[128, 128, 0]","[2, 1, 0]","[0, 0, 8]",True,True,True,hip://6,13,True,94.5,319.33,3.37919,1847
2332,15,2048,10240,1280,64,320,1,64,1,1,1,1,32,16,2,10,0,"[64, 320, 0]","[2, 10, 0]","[0, 0, 1]",True,True,True,hip://7,14,True,92.67,98.0,1.05755,39
366,16,2048,10240,1280,256,80,4,256,1,1,4,1,16,32,4,5,0,"[256, 80, 0]","[4, 5, 0]","[0, 0, 4]",True,True,True,hip://2,15,True,89.5,1860.0,20.78212,2272
