gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
765,1,2048,1280,5120,32,128,10,256,1,1,1,4,32,16,1,1,0,"[32, 128, 0]","[1, 1, 0]","[0, 0, 10]",True,True,False,,,False,,,,
135,2,2048,1280,5120,64,64,1,128,1,1,1,2,32,16,2,1,0,"[64, 64, 0]","[2, 1, 0]","[0, 0, 1]",True,True,True,hip://2,1,True,106.67,149.0,1.39688,1132
1968,3,2048,1280,5120,128,160,2,640,1,1,2,5,16,32,4,2,0,"[128, 160, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://5,2,True,109.0,214.33,1.96636,1665
1564,4,2048,1280,5120,64,32,2,256,1,1,4,1,16,32,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 2]",True,True,True,hip://6,3,True,110.17,109.67,0.99546,349
775,5,2048,1280,5120,128,128,1,256,1,1,1,4,32,16,4,1,0,"[128, 128, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://7,4,True,109.67,115.0,1.04863,460
4,6,2048,1280,5120,32,16,2,64,1,1,1,1,16,32,2,1,0,"[32, 16, 0]","[2, 1, 0]","[0, 0, 2]",True,True,True,hip://2,5,True,106.67,155.67,1.45938,1233
1637,7,2048,1280,5120,256,256,4,128,1,1,2,1,16,32,8,16,0,"[256, 256, 0]","[8, 16, 0]","[0, 0, 4]",True,True,True,hip://6,6,True,110.17,140.0,1.2708,926
2022,8,2048,1280,5120,128,320,2,256,1,1,2,2,16,32,4,10,0,"[128, 320, 0]","[4, 10, 0]","[0, 0, 2]",True,True,True,hip://7,7,True,109.67,1753.33,15.98784,2215
1163,9,2048,1280,5120,128,128,8,128,1,1,2,1,32,16,2,4,0,"[128, 128, 0]","[2, 4, 0]","[0, 0, 8]",True,True,True,hip://5,8,True,109.0,157.67,1.44648,1213
1598,10,2048,1280,5120,64,32,5,128,1,1,2,1,16,32,2,2,0,"[64, 32, 0]","[2, 2, 0]","[0, 0, 5]",True,True,True,hip://2,9,True,106.67,114.67,1.075,516
2027,11,2048,1280,5120,64,320,5,320,1,1,1,5,16,32,4,4,0,"[64, 320, 0]","[4, 4, 0]","[0, 0, 5]",True,True,True,hip://6,10,True,110.17,158.33,1.43722,1195
1037,12,2048,1280,5120,128,128,5,128,1,1,2,1,32,16,2,4,0,"[128, 128, 0]","[2, 4, 0]","[0, 0, 5]",True,True,True,hip://7,11,True,109.67,131.0,1.19453,760
333,13,2048,1280,5120,64,320,1,320,1,1,1,5,32,16,2,2,0,"[64, 320, 0]","[2, 2, 0]","[0, 0, 1]",True,True,True,hip://5,12,True,109.0,120.33,1.10398,572
1666,14,2048,1280,5120,32,64,2,128,1,1,2,1,16,32,1,4,0,"[32, 64, 0]","[1, 4, 0]","[0, 0, 2]",True,True,True,hip://2,13,True,106.67,181.67,1.70312,1471
507,15,2048,1280,5120,256,128,8,512,1,1,8,1,32,16,1,4,0,"[256, 128, 0]","[1, 4, 0]","[0, 0, 8]",True,True,True,hip://6,14,True,110.17,101.33,0.91982,213
2186,16,2048,1280,5120,16,256,1,128,1,1,1,2,16,32,1,8,0,"[16, 256, 0]","[1, 8, 0]","[0, 0, 1]",True,True,True,hip://7,15,True,109.67,124.67,1.13678,636
104,17,2048,1280,5120,512,64,2,256,1,1,2,2,32,16,8,1,0,"[512, 64, 0]","[8, 1, 0]","[0, 0, 2]",True,True,True,hip://5,16,True,109.0,232.67,2.13456,1744
183,18,2048,1280,5120,512,320,2,512,1,1,4,2,16,32,8,10,0,"[512, 320, 0]","[8, 10, 0]","[0, 0, 2]",True,True,True,hip://6,17,True,110.17,201.33,1.82753,1552
872,19,2048,1280,5120,512,256,2,512,1,1,8,1,32,16,2,8,0,"[512, 256, 0]","[2, 8, 0]","[0, 0, 2]",True,True,True,hip://7,18,True,109.67,1776.67,16.20061,2218
99,20,2048,1280,5120,512,256,1,128,1,1,1,2,32,16,16,4,0,"[512, 256, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://2,19,True,106.67,1533.33,14.375,2206
620,21,2048,1280,5120,128,64,10,256,1,1,1,4,16,32,8,1,0,"[128, 64, 0]","[8, 1, 0]","[0, 0, 10]",True,True,True,hip://5,20,True,109.0,9886.67,90.70336,2394
2081,22,2048,1280,5120,16,128,1,512,1,1,1,8,16,32,1,1,0,"[16, 128, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://7,21,True,109.67,109.0,0.99392,347
2223,23,2048,1280,5120,256,160,4,640,1,1,1,10,16,32,16,1,0,"[256, 160, 0]","[16, 1, 0]","[0, 0, 4]",True,True,True,hip://6,22,True,110.17,229.67,2.08472,1721
1420,24,2048,1280,5120,256,128,2,512,1,1,8,1,16,32,2,8,0,"[256, 128, 0]","[2, 8, 0]","[0, 0, 2]",True,True,True,hip://2,23,True,106.67,198.33,1.85938,1577
1533,25,2048,1280,5120,128,256,5,256,1,1,4,1,16,32,2,16,0,"[128, 256, 0]","[2, 16, 0]","[0, 0, 5]",True,True,True,hip://5,24,True,109.0,132.33,1.21407,808
763,26,2048,1280,5120,256,128,8,512,1,1,2,4,32,16,4,1,0,"[256, 128, 0]","[4, 1, 0]","[0, 0, 8]",True,True,True,hip://7,25,True,109.67,151.0,1.3769,1101
2003,27,2048,1280,5120,256,320,2,640,1,1,1,10,16,32,16,2,0,"[256, 320, 0]","[16, 2, 0]","[0, 0, 2]",True,True,True,hip://6,26,True,110.17,126.0,1.14372,656
1121,28,2048,1280,5120,128,256,4,64,1,1,1,1,32,16,4,8,0,"[128, 256, 0]","[4, 8, 0]","[0, 0, 4]",True,True,True,hip://5,27,True,109.0,283.67,2.60245,1902
1252,29,2048,1280,5120,128,256,10,512,1,1,4,2,32,16,1,4,0,"[128, 256, 0]","[1, 4, 0]","[0, 0, 10]",True,True,True,hip://2,28,True,106.67,2213.33,20.75,2255
2352,30,2048,1280,5120,256,128,1,512,1,1,4,2,16,32,4,4,0,"[256, 128, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://7,29,True,109.67,151.33,1.37994,1103
1160,31,2048,1280,5120,256,128,8,256,1,1,4,1,32,16,2,4,0,"[256, 128, 0]","[2, 4, 0]","[0, 0, 8]",True,True,True,hip://6,30,True,110.17,150.33,1.3646,1083
178,32,2048,1280,5120,512,320,2,256,1,1,2,2,16,32,16,10,0,"[512, 320, 0]","[16, 10, 0]","[0, 0, 2]",True,True,True,hip://2,31,True,106.67,137.33,1.2875,954
1545,33,2048,1280,5120,64,80,4,256,1,1,4,1,16,32,1,5,0,"[64, 80, 0]","[1, 5, 0]","[0, 0, 4]",True,True,True,hip://5,32,True,109.0,1793.33,16.4526,2222
1217,34,2048,1280,5120,256,256,1,128,1,1,2,1,32,16,4,8,0,"[256, 256, 0]","[4, 8, 0]","[0, 0, 1]",True,True,True,hip://7,33,True,109.67,112.0,1.02128,399
727,35,2048,1280,5120,256,256,1,256,1,1,1,4,32,16,8,2,0,"[256, 256, 0]","[8, 2, 0]","[0, 0, 1]",True,True,True,hip://2,34,True,106.67,3880.0,36.375,2322
837,36,2048,1280,5120,64,64,8,256,1,1,2,2,32,16,1,1,0,"[64, 64, 0]","[1, 1, 0]","[0, 0, 8]",True,True,True,hip://6,35,True,110.17,1160.0,10.5295,2154
1398,37,2048,1280,5120,64,64,16,512,1,1,4,2,16,32,1,2,0,"[64, 64, 0]","[1, 2, 0]","[0, 0, 16]",True,True,True,hip://5,36,True,109.0,88.33,0.8104,50
1640,38,2048,1280,5120,256,80,4,128,1,1,2,1,16,32,8,5,0,"[256, 80, 0]","[8, 5, 0]","[0, 0, 4]",True,True,True,hip://6,37,True,110.17,426.33,3.86989,2014
200,39,2048,1280,5120,512,16,2,512,1,1,8,1,16,32,4,1,0,"[512, 16, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://7,38,True,109.67,165.0,1.50456,1301
2147,40,2048,1280,5120,256,32,1,128,1,1,1,2,16,32,16,1,0,"[256, 32, 0]","[16, 1, 0]","[0, 0, 1]",True,True,True,hip://5,39,True,109.0,221.0,2.02752,1704
924,41,2048,1280,5120,512,160,4,256,1,1,4,1,32,16,4,5,0,"[512, 160, 0]","[4, 5, 0]","[0, 0, 4]",True,True,True,hip://2,40,True,106.67,150.33,1.40938,1149
2175,42,2048,1280,5120,16,256,5,128,1,1,1,2,16,32,1,8,0,"[16, 256, 0]","[1, 8, 0]","[0, 0, 5]",True,True,True,hip://7,41,True,109.67,393.0,3.58359,2007
1820,43,2048,1280,5120,32,160,1,64,1,1,1,1,16,32,2,10,0,"[32, 160, 0]","[2, 10, 0]","[0, 0, 1]",True,True,True,hip://5,42,True,109.0,241.67,2.21713,1777
303,44,2048,1280,5120,32,320,2,320,1,1,1,5,32,16,1,2,0,"[32, 320, 0]","[1, 2, 0]","[0, 0, 2]",True,True,True,hip://6,43,True,110.17,127.67,1.15885,685
916,45,2048,1280,5120,512,256,2,256,1,1,4,1,32,16,4,8,0,"[512, 256, 0]","[4, 8, 0]","[0, 0, 2]",True,True,True,hip://2,44,True,106.67,128.67,1.20625,789
641,46,2048,1280,5120,16,128,4,256,1,1,1,4,16,32,1,2,0,"[16, 128, 0]","[1, 2, 0]","[0, 0, 4]",True,True,True,hip://7,45,True,109.67,5153.33,46.99088,2348
152,47,2048,1280,5120,512,160,2,512,1,1,4,2,16,32,8,5,0,"[512, 160, 0]","[8, 5, 0]","[0, 0, 2]",True,True,True,hip://2,46,True,106.67,134.67,1.2625,916
2040,48,2048,1280,5120,256,320,2,320,1,1,1,5,16,32,16,4,0,"[256, 320, 0]","[16, 4, 0]","[0, 0, 2]",True,True,True,hip://6,47,True,110.17,296.0,2.68684,1916
1963,49,2048,1280,5120,256,320,2,640,1,1,2,5,16,32,8,4,0,"[256, 320, 0]","[8, 4, 0]","[0, 0, 2]",True,True,True,hip://5,48,True,109.0,563.67,5.17125,2043
794,50,2048,1280,5120,256,128,4,256,1,1,1,4,32,16,8,1,0,"[256, 128, 0]","[8, 1, 0]","[0, 0, 4]",True,True,True,hip://7,49,True,109.67,299.33,2.72948,1923
2052,51,2048,1280,5120,64,256,2,512,1,1,1,8,16,32,4,2,0,"[64, 256, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://2,50,True,106.67,139.67,1.30937,990
856,52,2048,1280,5120,128,80,1,512,1,1,8,1,16,32,1,5,0,"[128, 80, 0]","[1, 5, 0]","[0, 0, 1]",True,True,True,hip://5,51,True,109.0,110.67,1.01529,390
1057,53,2048,1280,5120,128,64,4,128,1,1,2,1,32,16,2,2,0,"[128, 64, 0]","[2, 2, 0]","[0, 0, 4]",True,True,True,hip://6,52,True,110.17,116.33,1.05598,473
2049,54,2048,1280,5120,256,256,2,512,1,1,1,8,16,32,16,2,0,"[256, 256, 0]","[16, 2, 0]","[0, 0, 2]",True,True,True,hip://7,53,True,109.67,105.0,0.95745,280
1998,55,2048,1280,5120,64,320,2,640,1,1,1,10,16,32,4,2,0,"[64, 320, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://2,54,True,106.67,194.33,1.82188,1547
1346,56,2048,1280,5120,128,128,10,512,1,1,4,2,32,16,1,2,0,"[128, 128, 0]","[1, 2, 0]","[0, 0, 10]",True,True,True,hip://5,55,True,109.0,117.0,1.07339,511
982,57,2048,1280,5120,128,32,8,128,1,1,2,1,32,16,2,1,0,"[128, 32, 0]","[2, 1, 0]","[0, 0, 8]",True,True,True,hip://6,56,True,110.17,132.33,1.20121,775
842,58,2048,1280,5120,64,64,1,256,1,1,2,2,32,16,1,1,0,"[64, 64, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://5,57,True,109.0,109.67,1.00612,372
1662,59,2048,1280,5120,32,160,2,128,1,1,2,1,16,32,1,10,0,"[32, 160, 0]","[1, 10, 0]","[0, 0, 2]",True,True,True,hip://2,58,True,106.67,212.0,1.9875,1676
736,60,2048,1280,5120,64,256,10,256,1,1,1,4,32,16,2,2,0,"[64, 256, 0]","[2, 2, 0]","[0, 0, 10]",True,True,True,hip://7,59,True,109.67,104.0,0.94833,260
400,61,2048,1280,5120,64,320,2,128,1,1,2,1,32,16,1,10,0,"[64, 320, 0]","[1, 10, 0]","[0, 0, 2]",True,True,True,hip://6,60,True,110.17,132.67,1.20424,781
441,62,2048,1280,5120,128,320,4,512,1,1,4,2,32,16,1,5,0,"[128, 320, 0]","[1, 5, 0]","[0, 0, 4]",True,True,True,hip://5,61,True,109.0,175.33,1.60856,1396
1562,63,2048,1280,5120,64,32,1,256,1,1,4,1,16,32,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 1]",True,True,True,hip://2,62,True,106.67,203.33,1.90625,1620
275,64,2048,1280,5120,256,320,5,320,1,1,1,5,32,16,8,2,0,"[256, 320, 0]","[8, 2, 0]","[0, 0, 5]",True,True,True,hip://7,63,True,109.67,148.33,1.35258,1067
364,65,2048,1280,5120,64,320,2,128,1,1,1,2,32,16,2,5,0,"[64, 320, 0]","[2, 5, 0]","[0, 0, 2]",True,True,True,hip://6,64,True,110.17,1360.0,12.34493,2184
1066,66,2048,1280,5120,256,64,10,128,1,1,2,1,32,16,4,2,0,"[256, 64, 0]","[4, 2, 0]","[0, 0, 10]",True,True,True,hip://7,65,True,109.67,168.0,1.53191,1328
91,67,2048,1280,5120,512,320,1,128,1,1,1,2,32,16,16,5,0,"[512, 320, 0]","[16, 5, 0]","[0, 0, 1]",True,True,True,hip://5,66,True,109.0,139.33,1.27829,939
126,68,2048,1280,5120,512,256,5,512,1,1,4,2,32,16,4,4,0,"[512, 256, 0]","[4, 4, 0]","[0, 0, 5]",True,True,True,hip://2,67,True,106.67,11900.0,111.5625,2400
1495,69,2048,1280,5120,32,64,10,64,1,1,1,1,16,32,2,4,0,"[32, 64, 0]","[2, 4, 0]","[0, 0, 10]",True,True,True,hip://6,68,True,110.17,2276.67,20.66566,2250
195,70,2048,1280,5120,512,160,2,512,1,1,8,1,16,32,4,10,0,"[512, 160, 0]","[4, 10, 0]","[0, 0, 2]",True,True,True,hip://7,69,True,109.67,116.67,1.06383,494
2219,71,2048,1280,5120,64,320,4,320,1,1,1,5,16,32,4,4,0,"[64, 320, 0]","[4, 4, 0]","[0, 0, 4]",True,True,True,hip://2,70,True,106.67,298.67,2.8,1940
2341,72,2048,1280,5120,64,160,8,256,1,1,2,2,16,32,2,5,0,"[64, 160, 0]","[2, 5, 0]","[0, 0, 8]",True,True,True,hip://5,71,True,109.0,160.33,1.47095,1249
979,73,2048,1280,5120,256,32,1,64,1,1,1,1,32,16,8,1,0,"[256, 32, 0]","[8, 1, 0]","[0, 0, 1]",True,True,True,hip://6,72,True,110.17,90.0,0.81694,55
2290,74,2048,1280,5120,128,160,5,512,1,1,4,2,16,32,2,5,0,"[128, 160, 0]","[2, 5, 0]","[0, 0, 5]",True,True,True,hip://7,73,True,109.67,247.67,2.25836,1789
948,75,2048,1280,5120,256,64,1,128,1,1,2,1,32,16,4,2,0,"[256, 64, 0]","[4, 2, 0]","[0, 0, 1]",True,True,True,hip://5,74,True,109.0,151.0,1.38532,1111
137,76,2048,1280,5120,64,128,1,128,1,1,1,2,32,16,2,2,0,"[64, 128, 0]","[2, 2, 0]","[0, 0, 1]",True,True,True,hip://2,75,True,106.67,190.33,1.78438,1521
2256,77,2048,1280,5120,256,80,4,320,1,1,1,5,16,32,16,1,0,"[256, 80, 0]","[16, 1, 0]","[0, 0, 4]",True,True,True,hip://6,76,True,110.17,211.67,1.92133,1634
1397,78,2048,1280,5120,32,64,16,256,1,1,2,2,16,32,1,2,0,"[32, 64, 0]","[1, 2, 0]","[0, 0, 16]",True,True,True,hip://7,77,True,109.67,202.0,1.84195,1563
1561,79,2048,1280,5120,64,16,1,256,1,1,4,1,16,32,1,1,0,"[64, 16, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://5,78,True,109.0,109.0,1.0,357
1799,80,2048,1280,5120,128,320,1,64,1,1,1,1,16,32,8,20,0,"[128, 320, 0]","[8, 20, 0]","[0, 0, 1]",True,True,True,hip://2,79,True,106.67,187.67,1.75938,1501
1109,81,2048,1280,5120,32,160,2,64,1,1,1,1,32,16,1,5,0,"[32, 160, 0]","[1, 5, 0]","[0, 0, 2]",True,True,True,hip://6,80,True,110.17,2600.0,23.60061,2278
1657,82,2048,1280,5120,64,320,2,128,1,1,2,1,16,32,2,20,0,"[64, 320, 0]","[2, 20, 0]","[0, 0, 2]",True,True,True,hip://5,81,True,109.0,130.33,1.19572,763
49,83,2048,1280,5120,64,64,8,64,1,1,1,1,16,32,4,4,0,"[64, 64, 0]","[4, 4, 0]","[0, 0, 8]",True,True,True,hip://2,82,True,106.67,151.33,1.41875,1164
