gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
193,1,8192,5120,640,128,160,1,640,1,1,1,10,16,4,8,1,0,"[128, 160, 0]","[8, 1, 0]","[0, 0, 1]",True,True,False,,,False,,,,
228,2,8192,5120,640,32,160,5,128,1,1,1,2,16,4,2,5,0,"[32, 160, 0]","[2, 5, 0]","[0, 0, 5]",True,True,True,hip://2,1,True,468.67,611.0,1.3037,504
694,3,8192,5120,640,64,320,10,256,1,1,2,2,16,4,2,10,0,"[64, 320, 0]","[2, 10, 0]","[0, 0, 10]",True,True,True,hip://5,2,True,483.5,1016.67,2.10272,1442
363,4,8192,5120,640,512,80,5,640,1,1,2,5,16,4,16,1,0,"[512, 80, 0]","[16, 1, 0]","[0, 0, 5]",True,True,True,hip://6,3,True,480.83,1020.0,2.12132,1448
49,5,8192,5120,640,16,256,2,512,1,1,1,8,16,4,1,2,0,"[16, 256, 0]","[1, 2, 0]","[0, 0, 2]",True,True,True,hip://7,4,True,453.5,686.0,1.51268,881
1395,6,8192,5120,640,128,256,4,128,1,1,2,1,16,4,4,16,0,"[128, 256, 0]","[4, 16, 0]","[0, 0, 4]",True,True,True,hip://2,5,True,468.67,1080.0,2.30441,1533
206,7,8192,5120,640,64,160,8,128,1,1,1,2,16,4,4,5,0,"[64, 160, 0]","[4, 5, 0]","[0, 0, 8]",True,True,True,hip://7,6,True,453.5,784.67,1.73025,1170
1650,8,8192,5120,640,32,80,4,320,1,1,1,5,16,4,2,1,0,"[32, 80, 0]","[2, 1, 0]","[0, 0, 4]",True,True,True,hip://5,7,True,483.5,506.0,1.04654,48
215,9,8192,5120,640,16,160,2,128,1,1,1,2,16,4,1,5,0,"[16, 160, 0]","[1, 5, 0]","[0, 0, 2]",True,True,True,hip://6,8,True,480.83,523.33,1.08839,93
1653,10,8192,5120,640,128,80,5,320,1,1,1,5,16,4,8,1,0,"[128, 80, 0]","[8, 1, 0]","[0, 0, 5]",True,True,True,hip://5,9,True,483.5,1090.0,2.2544,1516
387,11,8192,5120,640,32,160,16,640,1,1,2,5,16,4,1,2,0,"[32, 160, 0]","[1, 2, 0]","[0, 0, 16]",True,True,True,hip://2,10,True,468.67,756.33,1.6138,1045
794,12,8192,5120,640,256,160,8,256,1,1,2,2,16,4,8,5,0,"[256, 160, 0]","[8, 5, 0]","[0, 0, 8]",True,True,True,hip://6,11,True,480.83,648.67,1.34905,582
1475,13,8192,5120,640,64,64,20,128,1,1,2,1,16,4,2,4,0,"[64, 64, 0]","[2, 4, 0]","[0, 0, 20]",True,True,True,hip://7,12,True,453.5,592.0,1.3054,509
1057,14,8192,5120,640,512,256,1,512,1,1,2,4,16,4,16,4,0,"[512, 256, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://5,13,True,483.5,941.67,1.9476,1342
4,15,8192,5120,640,64,128,2,64,1,1,1,1,16,4,4,8,0,"[64, 128, 0]","[4, 8, 0]","[0, 0, 2]",True,True,True,hip://2,14,True,468.67,2033.33,4.33855,1870
1898,16,8192,5120,640,128,32,8,64,1,1,1,1,16,4,8,2,0,"[128, 32, 0]","[8, 2, 0]","[0, 0, 8]",True,True,True,hip://7,15,True,453.5,527.33,1.16281,210
652,17,8192,5120,640,128,320,4,128,1,1,1,2,16,4,8,10,0,"[128, 320, 0]","[8, 10, 0]","[0, 0, 4]",True,True,True,hip://6,16,True,480.83,921.67,1.91681,1317
2236,18,8192,5120,640,128,32,4,512,1,1,8,1,16,4,1,2,0,"[128, 32, 0]","[1, 2, 0]","[0, 0, 4]",True,True,True,hip://5,17,True,483.5,1300.0,2.68873,1652
136,19,8192,5120,640,128,256,2,256,1,1,1,4,16,4,8,4,0,"[128, 256, 0]","[8, 4, 0]","[0, 0, 2]",True,True,True,hip://2,18,True,468.67,477.0,1.01778,21
1813,20,8192,5120,640,512,320,4,64,1,1,1,1,16,4,32,20,0,"[512, 320, 0]","[32, 20, 0]","[0, 0, 4]",True,True,True,hip://7,19,True,453.5,539.67,1.19,276
640,21,8192,5120,640,32,320,1,128,1,1,1,2,16,4,2,10,0,"[32, 320, 0]","[2, 10, 0]","[0, 0, 1]",True,False,False,,,False,,,,
1273,22,8192,5120,640,32,160,2,128,1,1,2,1,16,4,1,10,0,"[32, 160, 0]","[1, 10, 0]","[0, 0, 2]",True,True,True,hip://6,20,True,480.83,1130.0,2.35009,1549
1986,23,8192,5120,640,32,320,1,64,1,1,1,1,16,4,2,20,0,"[32, 320, 0]","[2, 20, 0]","[0, 0, 1]",True,True,True,hip://5,21,True,483.5,695.67,1.43881,759
1452,24,8192,5120,640,64,80,1,128,1,1,2,1,16,4,2,5,0,"[64, 80, 0]","[2, 5, 0]","[0, 0, 1]",True,True,True,hip://7,22,True,453.5,1130.0,2.49173,1592
1561,25,8192,5120,640,64,128,20,64,1,1,1,1,16,4,4,8,0,"[64, 128, 0]","[4, 8, 0]","[0, 0, 20]",True,True,True,hip://6,23,True,480.83,983.33,2.04506,1405
1834,26,8192,5120,640,128,80,10,64,1,1,1,1,16,4,8,5,0,"[128, 80, 0]","[8, 5, 0]","[0, 0, 10]",True,True,True,hip://2,24,True,468.67,2183.33,4.65861,1903
1812,27,8192,5120,640,512,16,4,64,1,1,1,1,16,4,32,1,0,"[512, 16, 0]","[32, 1, 0]","[0, 0, 4]",True,True,True,hip://5,25,True,483.5,3653.33,7.55602,2023
1250,28,8192,5120,640,32,256,1,128,1,1,2,1,16,4,1,16,0,"[32, 256, 0]","[1, 16, 0]","[0, 0, 1]",True,True,True,hip://7,26,True,453.5,2986.67,6.58581,2003
1972,29,8192,5120,640,128,320,8,64,1,1,1,1,16,4,8,20,0,"[128, 320, 0]","[8, 20, 0]","[0, 0, 8]",True,True,True,hip://6,27,True,480.83,1343.33,2.79376,1686
1121,30,8192,5120,640,32,64,5,512,1,1,2,4,16,4,1,1,0,"[32, 64, 0]","[1, 1, 0]","[0, 0, 5]",True,True,True,hip://2,28,True,468.67,10600.0,22.61735,2215
1799,31,8192,5120,640,512,80,1,64,1,1,1,1,16,4,32,5,0,"[512, 80, 0]","[32, 5, 0]","[0, 0, 1]",True,True,True,hip://5,29,True,483.5,571.33,1.18166,257
1887,32,8192,5120,640,64,16,16,256,1,1,4,1,16,4,1,1,0,"[64, 16, 0]","[1, 1, 0]","[0, 0, 16]",True,True,True,hip://6,30,True,480.83,4043.33,8.40901,2036
2244,33,8192,5120,640,128,160,8,256,1,1,4,1,16,4,2,10,0,"[128, 160, 0]","[2, 10, 0]","[0, 0, 8]",True,True,True,hip://7,31,True,453.5,635.0,1.40022,681
45,34,8192,5120,640,16,256,8,512,1,1,1,8,16,4,1,2,0,"[16, 256, 0]","[1, 2, 0]","[0, 0, 8]",True,True,True,hip://2,32,True,468.67,534.0,1.1394,167
1,35,8192,5120,640,16,32,1,128,1,1,1,2,16,4,1,1,0,"[16, 32, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://5,33,True,483.5,816.67,1.68907,1137
1099,36,8192,5120,640,64,256,8,512,1,1,2,4,16,4,2,4,0,"[64, 256, 0]","[2, 4, 0]","[0, 0, 8]",True,True,True,hip://7,34,True,453.5,2870.0,6.32856,1995
2077,37,8192,5120,640,256,160,4,512,1,1,8,1,16,4,2,10,0,"[256, 160, 0]","[2, 10, 0]","[0, 0, 4]",True,True,True,hip://2,35,True,468.67,556.0,1.18634,270
1311,38,8192,5120,640,256,128,1,128,1,1,2,1,16,4,8,8,0,"[256, 128, 0]","[8, 8, 0]","[0, 0, 1]",True,True,True,hip://6,36,True,480.83,561.0,1.16672,222
1973,39,8192,5120,640,128,16,20,64,1,1,1,1,16,4,8,1,0,"[128, 16, 0]","[8, 1, 0]","[0, 0, 20]",True,True,True,hip://5,37,True,483.5,2263.33,4.68114,1906
457,40,8192,5120,640,256,512,2,256,1,1,4,1,16,4,4,32,0,"[256, 512, 0]","[4, 32, 0]","[0, 0, 2]",True,True,True,hip://2,38,True,468.67,2676.67,5.71124,1967
1013,41,8192,5120,640,64,320,8,640,1,1,1,10,16,4,4,2,0,"[64, 320, 0]","[4, 2, 0]","[0, 0, 8]",True,True,True,hip://7,39,True,453.5,7830.0,17.26571,2171
37,42,8192,5120,640,32,256,4,64,1,1,1,1,16,4,2,16,0,"[32, 256, 0]","[2, 16, 0]","[0, 0, 4]",True,True,True,hip://6,40,True,480.83,581.67,1.20971,309
1309,43,8192,5120,640,256,128,2,128,1,1,2,1,16,4,8,8,0,"[256, 128, 0]","[8, 8, 0]","[0, 0, 2]",True,True,True,hip://5,41,True,483.5,715.0,1.4788,832
124,44,8192,5120,640,16,256,5,128,1,1,1,2,16,4,1,8,0,"[16, 256, 0]","[1, 8, 0]","[0, 0, 5]",True,True,True,hip://7,42,True,453.5,2743.33,6.04925,1984
1853,45,8192,5120,640,64,32,20,64,1,1,1,1,16,4,4,2,0,"[64, 32, 0]","[4, 2, 0]","[0, 0, 20]",True,True,True,hip://6,43,True,480.83,802.0,1.66794,1112
444,46,8192,5120,640,64,512,2,256,1,1,4,1,16,4,1,32,0,"[64, 512, 0]","[1, 32, 0]","[0, 0, 2]",True,True,True,hip://2,44,True,468.67,955.67,2.03912,1399
1997,47,8192,5120,640,32,320,10,64,1,1,1,1,16,4,2,20,0,"[32, 320, 0]","[2, 20, 0]","[0, 0, 10]",True,True,True,hip://5,45,True,483.5,650.67,1.34574,580
859,48,8192,5120,640,32,160,16,256,1,1,2,2,16,4,1,5,0,"[32, 160, 0]","[1, 5, 0]","[0, 0, 16]",True,True,True,hip://6,46,True,480.83,3466.67,7.20971,2019
2176,49,8192,5120,640,64,64,2,64,1,1,1,1,16,4,4,4,0,"[64, 64, 0]","[4, 4, 0]","[0, 0, 2]",True,True,True,hip://2,47,True,468.67,659.0,1.40612,698
560,50,8192,5120,640,64,32,4,128,1,1,1,2,16,4,4,1,0,"[64, 32, 0]","[4, 1, 0]","[0, 0, 4]",True,True,True,hip://7,48,True,453.5,631.0,1.3914,665
2108,51,8192,5120,640,16,16,20,64,1,1,1,1,16,4,1,1,0,"[16, 16, 0]","[1, 1, 0]","[0, 0, 20]",True,True,True,hip://5,49,True,483.5,524.67,1.08514,89
2093,52,8192,5120,640,256,160,5,256,1,1,4,1,16,4,4,10,0,"[256, 160, 0]","[4, 10, 0]","[0, 0, 5]",True,True,True,hip://2,50,True,468.67,834.33,1.78023,1223
1147,53,8192,5120,640,128,128,4,512,1,1,2,4,16,4,4,2,0,"[128, 128, 0]","[4, 2, 0]","[0, 0, 4]",True,True,True,hip://7,51,True,453.5,729.67,1.60897,1036
1695,54,8192,5120,640,256,16,5,64,1,1,1,1,16,4,16,1,0,"[256, 16, 0]","[16, 1, 0]","[0, 0, 5]",True,True,True,hip://6,52,True,480.83,443.33,0.92201,2
251,55,8192,5120,640,16,160,4,64,1,1,1,1,16,4,1,10,0,"[16, 160, 0]","[1, 10, 0]","[0, 0, 4]",True,True,True,hip://5,53,True,483.5,1550.0,3.20579,1759
