gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1456,1,1024,10240,1280,32,320,2,512,1,1,2,4,16,32,1,5,0,"[32, 320, 0]","[1, 5, 0]","[0, 0, 2]",True,True,False,,,False,,,,
826,2,1024,10240,1280,256,256,5,256,1,1,4,1,32,16,2,8,0,"[256, 256, 0]","[2, 8, 0]","[0, 0, 5]",True,True,True,hip://2,1,True,73.17,98.0,1.33941,931
50,3,1024,10240,1280,32,64,2,64,1,1,1,1,32,16,1,2,0,"[32, 64, 0]","[1, 2, 0]","[0, 0, 2]",True,True,True,hip://5,2,True,74.83,106.0,1.41648,1140
1176,4,1024,10240,1280,32,256,2,512,1,1,1,8,32,16,1,1,0,"[32, 256, 0]","[1, 1, 0]","[0, 0, 2]",True,True,True,hip://6,3,True,66.67,133.0,1.995,1806
1520,5,1024,10240,1280,256,160,1,128,1,1,2,1,16,32,8,10,0,"[256, 160, 0]","[8, 10, 0]","[0, 0, 1]",True,True,True,hip://7,4,True,69.33,114.67,1.65385,1562
854,6,1024,10240,1280,128,128,10,256,1,1,4,1,32,16,1,4,0,"[128, 128, 0]","[1, 4, 0]","[0, 0, 10]",True,True,True,hip://6,5,True,66.67,418.0,6.27,2251
2029,7,1024,10240,1280,512,32,2,512,1,1,8,1,16,32,4,2,0,"[512, 32, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://7,6,True,69.33,85.67,1.23558,637
621,8,1024,10240,1280,512,160,1,512,1,1,8,1,32,16,2,5,0,"[512, 160, 0]","[2, 5, 0]","[0, 0, 1]",True,True,True,hip://2,7,True,73.17,99.33,1.35763,984
1449,9,1024,10240,1280,32,320,4,640,1,1,2,5,16,32,1,4,0,"[32, 320, 0]","[1, 4, 0]","[0, 0, 4]",True,True,True,hip://5,8,True,74.83,111.0,1.4833,1301
1217,10,1024,10240,1280,128,128,10,256,1,1,2,2,32,16,2,2,0,"[128, 128, 0]","[2, 2, 0]","[0, 0, 10]",True,True,True,hip://2,9,True,73.17,86.33,1.17995,485
476,11,1024,10240,1280,64,128,5,128,1,1,1,2,32,16,2,2,0,"[64, 128, 0]","[2, 2, 0]","[0, 0, 5]",True,True,True,hip://7,10,True,69.33,81.67,1.17788,478
1790,12,1024,10240,1280,16,64,4,64,1,1,1,1,16,32,1,4,0,"[16, 64, 0]","[1, 4, 0]","[0, 0, 4]",True,True,True,hip://5,11,True,74.83,93.33,1.24722,666
573,13,1024,10240,1280,256,128,1,128,1,1,1,2,16,32,16,4,0,"[256, 128, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://6,12,True,66.67,91.0,1.365,998
1749,14,1024,10240,1280,16,16,4,64,1,1,1,1,16,32,1,1,0,"[16, 16, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://2,13,True,73.17,280.67,3.83599,2127
2332,15,1024,10240,1280,64,320,1,320,1,1,1,5,16,32,4,4,0,"[64, 320, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://6,14,True,66.67,102.33,1.535,1393
366,16,1024,10240,1280,256,64,2,256,1,1,2,2,32,16,4,1,0,"[256, 64, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://7,15,True,69.33,78.33,1.12981,355
2245,17,1024,10240,1280,512,64,1,512,1,1,2,4,16,32,16,1,0,"[512, 64, 0]","[16, 1, 0]","[0, 0, 1]",True,True,True,hip://5,16,True,74.83,91.0,1.21604,575
2527,18,1024,10240,1280,16,128,8,256,1,1,1,4,16,32,1,2,0,"[16, 128, 0]","[1, 2, 0]","[0, 0, 8]",True,True,True,hip://5,17,True,74.83,98.33,1.31403,854
865,19,1024,10240,1280,256,512,2,128,1,1,2,1,32,16,4,16,0,"[256, 512, 0]","[4, 16, 0]","[0, 0, 2]",True,True,True,hip://6,18,True,66.67,116.0,1.74,1648
2176,20,1024,10240,1280,128,256,2,512,1,1,2,4,16,32,4,4,0,"[128, 256, 0]","[4, 4, 0]","[0, 0, 2]",True,True,True,hip://7,19,True,69.33,1586.67,22.88462,2485
1696,21,1024,10240,1280,16,128,4,64,1,1,1,1,16,32,1,8,0,"[16, 128, 0]","[1, 8, 0]","[0, 0, 4]",True,True,True,hip://2,20,True,73.17,72.33,0.98861,64
1256,22,1024,10240,1280,64,160,5,640,1,1,2,5,32,16,1,1,0,"[64, 160, 0]","[1, 1, 0]","[0, 0, 5]",True,True,True,hip://5,21,True,74.83,98.0,1.30958,843
404,23,1024,10240,1280,512,64,4,128,1,1,2,1,32,16,8,2,0,"[512, 64, 0]","[8, 2, 0]","[0, 0, 4]",True,True,True,hip://6,22,True,66.67,89.0,1.335,924
1487,24,1024,10240,1280,32,256,4,512,1,1,2,4,16,32,1,4,0,"[32, 256, 0]","[1, 4, 0]","[0, 0, 4]",True,True,True,hip://7,23,True,69.33,142.0,2.04808,1833
1320,25,1024,10240,1280,64,320,4,640,1,1,2,5,32,16,1,2,0,"[64, 320, 0]","[1, 2, 0]","[0, 0, 4]",True,True,True,hip://2,24,True,73.17,88.33,1.20729,557
1589,26,1024,10240,1280,64,128,2,512,1,1,2,4,16,32,2,2,0,"[64, 128, 0]","[2, 2, 0]","[0, 0, 2]",True,True,True,hip://7,25,True,69.33,74.67,1.07692,230
1263,27,1024,10240,1280,128,512,5,512,1,1,2,4,32,16,2,4,0,"[128, 512, 0]","[2, 4, 0]","[0, 0, 5]",True,True,True,hip://5,26,True,74.83,79.0,1.05568,183
1532,28,1024,10240,1280,64,160,1,256,1,1,2,2,16,32,2,5,0,"[64, 160, 0]","[2, 5, 0]","[0, 0, 1]",True,True,True,hip://6,27,True,66.67,92.0,1.38,1036
332,29,1024,10240,1280,64,64,1,128,1,1,1,2,32,16,2,1,0,"[64, 64, 0]","[2, 1, 0]","[0, 0, 1]",True,True,True,hip://2,28,True,73.17,95.0,1.29841,821
261,30,1024,10240,1280,64,128,4,256,1,1,4,1,16,32,1,8,0,"[64, 128, 0]","[1, 8, 0]","[0, 0, 4]",True,True,True,hip://7,29,True,69.33,166.67,2.40385,1926
1884,31,1024,10240,1280,128,64,2,128,1,1,2,1,16,32,4,4,0,"[128, 64, 0]","[4, 4, 0]","[0, 0, 2]",True,True,True,hip://5,30,True,74.83,70.67,0.94432,33
2054,32,1024,10240,1280,128,64,4,256,1,1,1,4,16,32,8,1,0,"[128, 64, 0]","[8, 1, 0]","[0, 0, 4]",True,True,True,hip://6,31,True,66.67,78.0,1.17,454
1907,33,1024,10240,1280,128,80,4,256,1,1,4,1,16,32,2,5,0,"[128, 80, 0]","[2, 5, 0]","[0, 0, 4]",True,True,True,hip://2,32,True,73.17,75.0,1.02506,113
743,34,1024,10240,1280,64,32,2,64,1,1,1,1,32,16,2,1,0,"[64, 32, 0]","[2, 1, 0]","[0, 0, 2]",True,True,True,hip://5,33,True,74.83,81.0,1.08241,237
200,35,1024,10240,1280,64,80,10,128,1,1,2,1,16,32,2,5,0,"[64, 80, 0]","[2, 5, 0]","[0, 0, 10]",True,True,True,hip://2,34,True,73.17,126.0,1.7221,1638
799,36,1024,10240,1280,256,256,1,64,1,1,1,1,32,16,8,8,0,"[256, 256, 0]","[8, 8, 0]","[0, 0, 1]",True,True,True,hip://7,35,True,69.33,143.0,2.0625,1838
1658,37,1024,10240,1280,128,64,10,256,1,1,4,1,16,32,2,4,0,"[128, 64, 0]","[2, 4, 0]","[0, 0, 10]",True,True,True,hip://6,36,True,66.67,2866.67,43.0,2560
1978,38,1024,10240,1280,256,128,1,128,1,1,2,1,16,32,8,8,0,"[256, 128, 0]","[8, 8, 0]","[0, 0, 1]",True,True,True,hip://5,37,True,74.83,84.67,1.1314,363
2522,39,1024,10240,1280,16,128,4,256,1,1,1,4,16,32,1,2,0,"[16, 128, 0]","[1, 2, 0]","[0, 0, 4]",True,True,True,hip://2,38,True,73.17,270.0,3.69021,2109
1391,40,1024,10240,1280,256,512,4,512,1,1,4,2,32,16,2,8,0,"[256, 512, 0]","[2, 8, 0]","[0, 0, 4]",True,True,True,hip://7,39,True,69.33,91.0,1.3125,850
275,41,1024,10240,1280,64,128,1,128,1,1,2,1,16,32,2,8,0,"[64, 128, 0]","[2, 8, 0]","[0, 0, 1]",True,True,True,hip://6,40,True,66.67,974.33,14.615,2403
1861,42,1024,10240,1280,256,16,1,128,1,1,2,1,16,32,8,1,0,"[256, 16, 0]","[8, 1, 0]","[0, 0, 1]",True,True,True,hip://5,41,True,74.83,104.33,1.39421,1072
338,43,1024,10240,1280,64,64,5,256,1,1,2,2,32,16,1,1,0,"[64, 64, 0]","[1, 1, 0]","[0, 0, 5]",True,True,True,hip://7,42,False,69.33,,inf,2590
727,44,1024,10240,1280,64,128,8,128,1,1,2,1,32,16,1,4,0,"[64, 128, 0]","[1, 4, 0]","[0, 0, 8]",True,True,True,hip://2,43,True,73.17,81.67,1.11617,318
1385,45,1024,10240,1280,512,512,4,512,1,1,4,2,32,16,4,8,0,"[512, 512, 0]","[4, 8, 0]","[0, 0, 4]",True,True,True,hip://6,44,True,66.67,68.67,1.03,126
1006,46,1024,10240,1280,256,512,2,256,1,1,1,4,32,16,8,4,0,"[256, 512, 0]","[8, 4, 0]","[0, 0, 2]",True,True,True,hip://5,45,False,74.83,,inf,2591
2272,47,1024,10240,1280,512,320,1,512,1,1,4,2,16,32,8,10,0,"[512, 320, 0]","[8, 10, 0]","[0, 0, 1]",True,True,True,hip://2,46,True,73.17,1216.67,16.6287,2433
1673,48,1024,10240,1280,16,128,10,64,1,1,1,1,16,32,1,8,0,"[16, 128, 0]","[1, 8, 0]","[0, 0, 10]",True,True,True,hip://6,47,True,66.67,657.0,9.855,2335
1075,49,1024,10240,1280,64,320,5,640,1,1,1,10,32,16,2,1,0,"[64, 320, 0]","[2, 1, 0]","[0, 0, 5]",True,True,True,hip://7,48,True,69.33,231.33,3.33654,2087
1651,50,1024,10240,1280,128,160,5,512,1,1,8,1,16,32,1,10,0,"[128, 160, 0]","[1, 10, 0]","[0, 0, 5]",True,True,True,hip://2,49,True,73.17,97.0,1.32574,894
1945,51,1024,10240,1280,256,80,4,256,1,1,4,1,16,32,4,5,0,"[256, 80, 0]","[4, 5, 0]","[0, 0, 4]",True,True,True,hip://5,50,True,74.83,88.0,1.17595,475
702,52,1024,10240,1280,64,160,8,64,1,1,1,1,32,16,2,5,0,"[64, 160, 0]","[2, 5, 0]","[0, 0, 8]",True,True,True,hip://6,51,True,66.67,83.0,1.245,660
98,53,1024,10240,1280,128,64,10,128,1,1,2,1,32,16,2,2,0,"[128, 64, 0]","[2, 2, 0]","[0, 0, 10]",True,True,True,hip://7,52,True,69.33,84.67,1.22115,587
948,54,1024,10240,1280,256,512,4,64,1,1,1,1,32,16,8,16,0,"[256, 512, 0]","[8, 16, 0]","[0, 0, 4]",True,True,True,hip://2,53,True,73.17,68.0,0.92938,26
1919,55,1024,10240,1280,128,32,4,256,1,1,4,1,16,32,2,2,0,"[128, 32, 0]","[2, 2, 0]","[0, 0, 4]",True,False,False,,,False,,,,
1490,56,1024,10240,1280,32,160,8,640,1,1,2,5,16,32,1,2,0,"[32, 160, 0]","[1, 2, 0]","[0, 0, 8]",True,True,True,hip://5,54,True,74.83,69.67,0.93096,29
1231,57,1024,10240,1280,512,128,4,512,1,1,2,4,32,16,8,1,0,"[512, 128, 0]","[8, 1, 0]","[0, 0, 4]",True,True,True,hip://7,55,True,69.33,73.33,1.05769,187
2412,58,1024,10240,1280,32,128,4,512,1,1,1,8,16,32,2,1,0,"[32, 128, 0]","[2, 1, 0]","[0, 0, 4]",True,True,True,hip://6,56,True,66.67,76.33,1.145,404
7,59,1024,10240,1280,256,32,4,128,1,1,2,1,16,32,8,2,0,"[256, 32, 0]","[8, 2, 0]","[0, 0, 4]",True,True,True,hip://2,57,True,73.17,70.67,0.96583,46
2074,60,1024,10240,1280,128,320,4,256,1,1,1,4,16,32,8,5,0,"[128, 320, 0]","[8, 5, 0]","[0, 0, 4]",True,True,True,hip://5,58,True,74.83,103.0,1.37639,1028
3,61,1024,10240,1280,512,32,1,128,1,1,2,1,16,32,16,2,0,"[512, 32, 0]","[16, 2, 0]","[0, 0, 1]",True,True,True,hip://6,59,True,66.67,65.33,0.98,62
2341,62,1024,10240,1280,32,256,1,128,1,1,1,2,16,32,2,8,0,"[32, 256, 0]","[2, 8, 0]","[0, 0, 1]",True,True,True,hip://7,60,True,69.33,131.0,1.88942,1756
1065,63,1024,10240,1280,128,320,4,320,1,1,1,5,32,16,4,2,0,"[128, 320, 0]","[4, 2, 0]","[0, 0, 4]",True,True,True,hip://2,61,True,73.17,111.67,1.5262,1382
402,64,1024,10240,1280,512,64,4,256,1,1,4,1,32,16,4,2,0,"[512, 64, 0]","[4, 2, 0]","[0, 0, 4]",True,True,True,hip://5,62,True,74.83,87.67,1.17149,464
414,65,1024,10240,1280,256,64,5,64,1,1,1,1,32,16,8,2,0,"[256, 64, 0]","[8, 2, 0]","[0, 0, 5]",True,True,True,hip://6,63,True,66.67,93.67,1.405,1105
844,66,1024,10240,1280,512,32,4,256,1,1,4,1,32,16,4,1,0,"[512, 32, 0]","[4, 1, 0]","[0, 0, 4]",True,True,True,hip://7,64,True,69.33,158.0,2.27885,1890
211,67,1024,10240,1280,64,32,5,256,1,1,4,1,16,32,1,2,0,"[64, 32, 0]","[1, 2, 0]","[0, 0, 5]",True,True,True,hip://2,65,True,73.17,98.33,1.34396,949
410,68,1024,10240,1280,512,64,5,256,1,1,4,1,32,16,4,2,0,"[512, 64, 0]","[4, 2, 0]","[0, 0, 5]",True,True,True,hip://5,66,True,74.83,116.0,1.55011,1420
