gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
482,1,4096,4096,8192,64,64,64,64,1,1,1,1,32,16,0,0,0,True,True,False,,,False,,,,
53,2,4096,4096,8192,256,128,32,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://2,1,True,313.0,442.67,1.41427,223
783,3,4096,4096,8192,512,128,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,2,True,309.17,455.0,1.4717,242
202,4,4096,4096,8192,256,128,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,3,True,314.67,512.0,1.62712,309
231,5,4096,4096,8192,512,128,32,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://7,4,True,311.17,321.33,1.03267,69
256,6,4096,4096,8192,512,128,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,5,True,314.67,508.67,1.61653,306
150,7,4096,4096,8192,256,256,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,6,True,311.17,386.0,1.24049,159
316,8,4096,4096,8192,64,128,32,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://5,7,True,309.17,860.0,2.78167,571
485,9,4096,4096,8192,128,256,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,8,True,313.0,650.0,2.07668,454
861,10,4096,4096,8192,128,128,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,9,True,314.67,326.0,1.03602,72
49,11,4096,4096,8192,256,32,32,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://2,10,True,313.0,352.0,1.1246,103
397,12,4096,4096,8192,128,32,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,11,True,309.17,1016.67,3.28841,634
232,13,4096,4096,8192,512,32,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,12,True,311.17,535.67,1.72148,361
369,14,4096,4096,8192,16,64,512,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,13,True,314.67,1183.33,3.76059,661
659,15,4096,4096,8192,16,512,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,14,True,309.17,1430.0,4.62534,698
264,16,4096,4096,8192,512,256,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,15,True,311.17,1526.67,4.90627,714
788,17,4096,4096,8192,256,128,32,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
85,18,4096,4096,8192,32,512,64,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://2,16,True,313.0,446.67,1.42705,226
847,19,4096,4096,8192,128,64,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,17,True,314.67,2150.0,6.83263,776
426,20,4096,4096,8192,32,64,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,18,True,309.17,295.0,0.95418,18
812,21,4096,4096,8192,512,512,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://7,19,True,311.17,459.0,1.47509,244
771,22,4096,4096,8192,64,512,32,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://2,20,True,313.0,18433.33,58.89244,950
878,23,4096,4096,8192,128,128,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,21,True,314.67,888.33,2.82309,578
816,24,4096,4096,8192,256,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,22,True,309.17,2526.67,8.17251,795
636,25,4096,4096,8192,512,256,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://7,23,True,311.17,1743.33,5.60257,740
391,26,4096,4096,8192,64,512,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,24,True,313.0,13100.0,41.85304,926
537,27,4096,4096,8192,128,64,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,25,True,314.67,4040.0,12.83898,837
634,28,4096,4096,8192,512,256,32,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,26,True,309.17,300.67,0.97251,31
174,29,4096,4096,8192,256,16,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,27,True,311.17,1906.67,6.12748,760
56,30,4096,4096,8192,256,256,64,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://2,28,True,313.0,1643.33,5.25027,729
33,31,4096,4096,8192,128,64,32,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,29,True,314.67,279.67,0.88877,9
534,32,4096,4096,8192,256,128,128,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,30,True,309.17,706.67,2.28571,501
447,33,4096,4096,8192,128,32,256,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,31,True,311.17,589.67,1.89502,402
184,34,4096,4096,8192,256,16,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,32,True,313.0,660.67,2.11076,466
770,35,4096,4096,8192,512,512,32,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://6,33,True,314.67,822.0,2.61229,535
958,36,4096,4096,8192,128,128,256,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,34,True,309.17,17100.0,55.30997,949
392,37,4096,4096,8192,128,64,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,35,True,313.0,1386.67,4.43024,693
458,38,4096,4096,8192,64,32,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,36,True,311.17,825.67,2.65345,547
702,39,4096,4096,8192,64,16,256,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://6,37,True,314.67,678.0,2.15466,473
16,40,4096,4096,8192,128,256,128,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://5,38,True,309.17,620.33,2.00647,426
784,41,4096,4096,8192,128,64,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,39,True,311.17,8106.67,26.05249,889
962,42,4096,4096,8192,256,128,128,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://2,40,True,313.0,613.33,1.95953,417
666,43,4096,4096,8192,128,64,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://6,41,True,314.67,360.0,1.14407,108
880,44,4096,4096,8192,32,128,256,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,42,True,309.17,844.33,2.731,558
483,45,4096,4096,8192,64,128,64,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://2,43,True,313.0,644.67,2.05964,449
475,46,4096,4096,8192,128,512,64,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://7,44,True,311.17,386.33,1.24156,160
501,47,4096,4096,8192,128,256,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,45,True,314.67,8706.67,27.66949,895
372,48,4096,4096,8192,16,512,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,46,True,309.17,306.0,0.98976,41
