gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
482,1,1024,1024,1024,64,32,512,64,2,1,2,1,16,32,0,0,0,True,True,False,,,False,,,,
53,2,1024,1024,1024,256,128,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,1,True,49.0,50.0,1.02041,217
783,3,1024,1024,1024,256,64,128,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://5,2,True,55.0,68.33,1.24242,561
202,4,1024,1024,1024,256,128,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,3,True,52.17,53.0,1.01597,206
231,5,1024,1024,1024,128,16,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://7,4,True,52.33,57.67,1.10191,368
256,6,1024,1024,1024,16,512,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,5,True,52.17,56.33,1.07987,330
150,7,1024,1024,1024,512,512,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://7,6,True,52.33,80.0,1.52866,676
316,8,1024,1024,1024,512,64,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,7,True,55.0,1800.0,32.72727,940
485,9,1024,1024,1024,128,64,256,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,8,True,49.0,70.67,1.44218,655
861,10,1024,1024,1024,128,256,64,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://6,9,True,52.17,53.67,1.02875,233
49,11,1024,1024,1024,512,32,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,10,True,52.33,58.0,1.10828,379
397,12,1024,1024,1024,256,128,128,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://5,11,True,55.0,73.33,1.33333,626
232,13,1024,1024,1024,128,16,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,12,True,49.0,66.33,1.35374,635
369,14,1024,1024,1024,16,128,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://6,13,True,52.17,51.0,0.97764,145
659,15,1024,1024,1024,128,256,128,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://7,14,True,52.33,51.67,0.98726,162
264,16,1024,1024,1024,32,64,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,15,True,55.0,94.0,1.70909,702
788,17,1024,1024,1024,256,64,128,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://2,16,True,49.0,54.67,1.11565,395
85,18,1024,1024,1024,256,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,17,True,52.17,63.0,1.20767,511
847,19,1024,1024,1024,512,64,32,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://7,18,True,52.33,214.0,4.08917,789
426,20,1024,1024,1024,256,256,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,19,True,55.0,81.0,1.47273,663
812,21,1024,1024,1024,128,256,64,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://2,20,True,49.0,1183.33,24.14966,923
771,22,1024,1024,1024,32,512,32,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://6,21,True,52.17,56.0,1.07348,316
878,23,1024,1024,1024,128,64,256,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://7,22,True,52.33,61.67,1.17834,485
816,24,1024,1024,1024,128,256,64,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://5,23,True,55.0,58.0,1.05455,279
636,25,1024,1024,1024,128,128,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://2,24,True,49.0,96.33,1.96599,722
391,26,1024,1024,1024,128,128,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,25,True,52.17,65.67,1.25879,577
537,27,1024,1024,1024,512,64,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://7,26,True,52.33,51.67,0.98726,163
634,28,1024,1024,1024,512,128,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://5,27,True,55.0,94.33,1.71515,705
