gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
482,1,4096,4096,4096,32,256,32,64,1,1,1,1,32,16,0,0,0,True,True,False,,,False,,,,
53,2,4096,4096,4096,64,128,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,1,True,176.33,486.0,2.75614,586
783,3,4096,4096,4096,128,32,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://5,2,True,178.83,325.0,1.81733,413
202,4,4096,4096,4096,64,512,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://6,3,True,180.67,243.33,1.34686,222
231,5,4096,4096,4096,512,256,64,256,1,1,1,4,16,32,0,0,0,True,True,True,hip://7,4,True,185.0,422.67,2.28468,517
256,6,4096,4096,4096,128,128,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,5,True,180.67,795.0,4.40037,709
150,7,4096,4096,4096,128,256,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://5,6,True,178.83,291.0,1.62721,345
316,8,4096,4096,4096,256,512,64,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,7,True,185.0,169.67,0.91712,4
485,9,4096,4096,4096,256,32,32,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://2,8,True,176.33,2290.0,12.98677,840
861,10,4096,4096,4096,256,128,32,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://6,9,True,180.67,645.0,3.57011,673
49,11,4096,4096,4096,64,32,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,10,True,178.83,291.0,1.62721,346
397,12,4096,4096,4096,256,64,128,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,11,True,185.0,378.0,2.04324,475
232,13,4096,4096,4096,512,256,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,12,True,176.33,2320.0,13.1569,841
369,14,4096,4096,4096,128,128,256,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://6,13,True,180.67,751.33,4.15867,694
659,15,4096,4096,4096,32,256,128,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://5,14,True,178.83,1256.67,7.02703,800
264,16,4096,4096,4096,256,32,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,15,True,176.33,283.33,1.60681,330
788,17,4096,4096,4096,256,64,128,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://7,16,True,185.0,323.67,1.74955,396
