gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
350,1,8192,8192,8192,16,64,64,64,1,1,1,1,16,4,0,0,0,True,True,False,,,False,,,,
311,2,8192,8192,8192,256,32,16,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://2,1,True,8391.67,25433.33,3.03078,285
190,3,8192,8192,8192,256,256,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,2,True,8640.0,11800.0,1.36574,128
221,4,8192,8192,8192,64,16,16,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://6,3,True,8638.33,27300.0,3.16033,289
206,5,8192,8192,8192,16,128,16,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://7,4,True,8458.33,20866.67,2.467,263
362,6,8192,8192,8192,128,64,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,5,True,8640.0,25400.0,2.93981,281
231,7,8192,8192,8192,16,64,16,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://2,6,True,8391.67,8226.67,0.98034,7
169,8,8192,8192,8192,64,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,7,True,8458.33,29200.0,3.45222,294
53,9,8192,8192,8192,256,128,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://6,8,True,8638.33,8730.0,1.01061,17
275,10,8192,8192,8192,32,128,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,9,True,8391.67,9483.33,1.13009,59
130,11,8192,8192,8192,128,128,32,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://5,10,True,8640.0,14133.33,1.6358,183
262,12,8192,8192,8192,256,128,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,11,True,8638.33,9760.0,1.12985,58
326,13,8192,8192,8192,256,128,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://7,12,True,8458.33,8210.0,0.97064,3
254,14,8192,8192,8192,512,256,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://2,13,True,8391.67,9286.67,1.10665,52
34,15,8192,8192,8192,64,512,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,14,True,8640.0,64766.67,7.49614,323
180,16,8192,8192,8192,128,256,16,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,15,True,8638.33,11400.0,1.3197,109
143,17,8192,8192,8192,16,256,32,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://7,16,True,8458.33,9193.33,1.0869,47
208,18,8192,8192,8192,256,64,16,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://2,17,True,8391.67,42000.0,5.00497,314
300,19,8192,8192,8192,256,256,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,18,True,8640.0,8986.67,1.04012,29
225,20,8192,8192,8192,256,256,16,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://6,19,True,8638.33,12533.33,1.4509,155
286,21,8192,8192,8192,256,64,16,64,2,1,2,1,16,4,0,0,0,True,False,False,,,False,,,,
74,22,8192,8192,8192,128,64,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://7,20,True,8458.33,8990.0,1.06286,40
342,23,8192,8192,8192,256,16,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,21,True,8640.0,10666.67,1.23457,92
147,24,8192,8192,8192,32,256,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,22,True,8458.33,16833.33,1.99015,221
267,25,8192,8192,8192,512,16,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,23,True,8638.33,20600.0,2.38472,256
209,26,8192,8192,8192,128,32,16,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://2,24,True,8391.67,26800.0,3.19364,291
85,27,8192,8192,8192,128,64,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,25,True,8640.0,12500.0,1.44676,154
271,28,8192,8192,8192,512,128,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,26,True,8458.33,8770.0,1.03685,26
217,29,8192,8192,8192,512,64,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,27,True,8638.33,87333.33,10.10997,335
347,30,8192,8192,8192,64,16,128,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://2,28,True,8391.67,11800.0,1.40616,138
325,31,8192,8192,8192,128,128,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://5,29,True,8640.0,43233.33,5.00386,313
242,32,8192,8192,8192,32,256,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,30,True,8458.33,24500.0,2.89655,280
77,33,8192,8192,8192,128,128,64,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,31,True,8638.33,12200.0,1.41231,140
149,34,8192,8192,8192,128,256,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,32,True,8391.67,35633.33,4.24628,303
277,35,8192,8192,8192,128,128,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,33,True,8640.0,24000.0,2.77778,271
333,36,8192,8192,8192,256,16,32,64,8,1,8,1,16,4,0,0,0,True,True,True,hip://6,34,True,8638.33,8440.0,0.97704,6
89,37,8192,8192,8192,64,256,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,35,True,8458.33,15900.0,1.8798,212
118,38,8192,8192,8192,32,128,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://2,36,True,8391.67,11500.0,1.37041,129
345,39,8192,8192,8192,128,64,64,128,4,1,4,2,16,4,0,0,0,True,True,True,hip://5,37,True,8640.0,10066.67,1.16512,68
162,40,8192,8192,8192,64,64,128,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,38,True,8638.33,10066.67,1.16535,69
65,41,8192,8192,8192,64,256,32,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://7,39,True,8458.33,37900.0,4.48079,307
99,42,8192,8192,8192,256,128,32,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://2,40,True,8391.67,10800.0,1.28699,100
120,43,8192,8192,8192,128,256,32,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://6,41,True,8638.33,38333.33,4.43758,306
212,44,8192,8192,8192,128,64,64,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://5,42,True,8640.0,10100.0,1.16898,72
344,45,8192,8192,8192,256,64,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://7,43,True,8458.33,17333.33,2.04926,227
26,46,8192,8192,8192,64,512,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://2,44,True,8391.67,10700.0,1.27507,98
218,47,8192,8192,8192,256,128,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://5,45,True,8640.0,10733.33,1.24228,94
211,48,8192,8192,8192,128,32,64,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://2,46,True,8391.67,8326.67,0.99225,11
245,49,8192,8192,8192,512,128,16,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://6,47,True,8638.33,19600.0,2.26896,244
106,50,8192,8192,8192,256,32,32,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://7,48,True,8458.33,14233.33,1.68276,190
305,51,8192,8192,8192,64,256,16,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,49,True,8640.0,39100.0,4.52546,308
103,52,8192,8192,8192,128,32,32,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://2,50,True,8391.67,8860.0,1.05581,36
354,53,8192,8192,8192,128,64,64,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://7,51,True,8458.33,15233.33,1.80099,205
66,54,8192,8192,8192,128,32,64,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://6,52,True,8638.33,33500.0,3.87806,299
25,55,8192,8192,8192,128,512,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://5,53,True,8640.0,19266.67,2.22994,242
253,56,8192,8192,8192,512,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://2,54,True,8391.67,11200.0,1.33466,111
55,57,8192,8192,8192,256,64,16,256,2,1,2,4,16,4,0,0,0,True,True,True,hip://7,55,True,8458.33,73200.0,8.65419,328
223,58,8192,8192,8192,128,16,16,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://6,56,True,8638.33,9010.0,1.04303,31
322,59,8192,8192,8192,32,128,32,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,57,True,8458.33,17900.0,2.11626,233
38,60,8192,8192,8192,128,512,16,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://2,58,True,8391.67,16000.0,1.90665,214
200,61,8192,8192,8192,16,256,16,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://5,59,True,8640.0,106000.0,12.26852,343
96,62,8192,8192,8192,16,64,32,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://6,60,True,8638.33,24000.0,2.77831,272
80,63,8192,8192,8192,64,32,128,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://2,61,True,8391.67,23700.0,2.82423,276
10,64,8192,8192,8192,256,512,16,64,2,1,2,1,16,4,0,0,0,True,True,True,hip://7,62,True,8458.33,19700.0,2.32906,251
72,65,8192,8192,8192,64,128,64,128,2,1,2,2,16,4,0,0,0,True,True,True,hip://5,63,True,8640.0,130333.33,15.08488,349
238,66,8192,8192,8192,512,64,16,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://6,64,True,8638.33,10700.0,1.23866,93
250,67,8192,8192,8192,256,256,16,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://5,65,True,8640.0,161000.0,18.63426,357
91,68,8192,8192,8192,16,256,32,256,1,1,1,4,16,4,0,0,0,True,True,True,hip://7,66,True,8458.33,11500.0,1.35961,126
100,69,8192,8192,8192,128,128,32,128,1,1,1,2,16,4,0,0,0,True,True,True,hip://2,67,True,8391.67,18566.67,2.21251,239
173,70,8192,8192,8192,64,64,32,64,4,1,4,1,16,4,0,0,0,True,True,True,hip://6,68,True,8638.33,17900.0,2.07216,230
230,71,8192,8192,8192,64,128,16,64,1,1,1,1,16,4,0,0,0,True,True,True,hip://5,69,True,8640.0,8960.0,1.03704,27
