gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
715,1,2048,10240,1280,256,512,32,64,4,1,4,1,32,16,0,0,0,True,True,False,,,False,,,,
1379,2,2048,10240,1280,128,64,128,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://2,1,True,140.67,3443.33,24.47867,1715
1434,3,2048,10240,1280,256,256,64,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://5,2,True,140.0,163.67,1.16905,161
193,4,2048,10240,1280,512,128,32,128,4,1,4,2,16,16,0,0,0,True,True,True,hip://6,3,True,140.33,380.33,2.71021,1281
1867,5,2048,10240,1280,64,16,32,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://7,4,True,145.83,207.33,1.42171,512
1957,6,2048,10240,1280,128,128,16,128,4,1,4,2,16,16,0,0,0,True,True,True,hip://5,5,True,140.0,377.33,2.69524,1272
1661,7,2048,10240,1280,256,320,32,128,2,1,2,2,32,8,0,0,0,True,True,True,hip://7,6,True,145.83,213.0,1.46057,563
374,8,2048,10240,1280,32,512,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,7,True,140.67,394.33,2.80332,1305
2083,9,2048,10240,1280,128,256,80,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://6,8,True,140.33,1686.67,12.019,1610
195,10,2048,10240,1280,512,320,32,128,4,1,4,2,16,16,0,0,0,True,False,False,,,False,,,,
1232,11,2048,10240,1280,256,320,16,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
592,12,2048,10240,1280,64,160,32,128,1,1,1,2,16,32,0,0,0,True,False,False,,,False,,,,
699,13,2048,10240,1280,512,64,32,64,4,1,4,1,32,8,0,0,0,True,True,True,hip://7,9,True,145.83,166.0,1.13829,114
689,14,2048,10240,1280,512,160,32,64,2,1,2,1,32,8,0,0,0,True,True,True,hip://6,10,True,140.33,229.67,1.63658,746
1257,15,2048,10240,1280,128,320,16,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://5,11,True,140.0,2883.33,20.59524,1691
620,16,2048,10240,1280,64,128,128,64,1,1,1,1,32,16,0,0,0,True,False,False,,,False,,,,
200,17,2048,10240,1280,512,256,32,512,1,1,1,8,16,16,0,0,0,True,True,True,hip://2,12,True,140.67,358.0,2.54502,1211
985,18,2048,10240,1280,64,256,32,256,2,1,2,4,16,16,0,0,0,True,True,True,hip://7,13,True,145.83,491.33,3.36914,1365
1598,19,2048,10240,1280,32,256,64,64,1,1,1,1,16,16,0,0,0,True,True,True,hip://6,14,True,140.33,170.0,1.2114,234
1578,20,2048,10240,1280,64,128,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,15,True,140.0,512.33,3.65952,1387
1590,21,2048,10240,1280,64,256,64,256,1,1,1,4,16,16,0,0,0,True,True,True,hip://2,16,True,140.67,152.33,1.08294,48
1376,22,2048,10240,1280,32,320,80,64,2,1,2,1,16,16,0,0,0,True,True,True,hip://6,17,True,140.33,207.0,1.47506,581
