gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1347,1,2048,10240,1280,256,160,32,64,2,1,2,1,32,16,0,0,0,True,True,False,,,False,,,,
690,2,2048,10240,1280,128,80,128,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
766,3,2048,10240,1280,64,512,64,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
691,4,2048,10240,1280,128,80,160,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,1,True,91.0,143.67,1.57875,573
211,5,2048,10240,1280,32,512,32,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
57,6,2048,10240,1280,64,512,64,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://5,2,True,92.67,186.67,2.01439,722
1520,7,2048,10240,1280,32,128,320,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,3,True,90.83,129.0,1.42018,412
898,8,2048,10240,1280,128,320,128,64,1,1,1,1,32,16,0,0,0,True,False,False,,,False,,,,
486,9,2048,10240,1280,16,128,64,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://7,4,True,91.67,1870.0,20.4,1126
670,10,2048,10240,1280,256,64,32,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,5,True,90.83,177.0,1.94862,695
100,11,2048,10240,1280,128,16,128,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://5,6,True,92.67,131.0,1.41367,404
757,12,2048,10240,1280,64,128,256,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,7,True,91.0,141.67,1.55678,560
1535,13,2048,10240,1280,64,128,128,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,8,True,91.67,122.67,1.33818,331
964,14,2048,10240,1280,512,128,32,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://5,9,True,92.67,101.0,1.08993,46
935,15,2048,10240,1280,512,64,32,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://6,10,True,90.83,124.33,1.36881,358
730,16,2048,10240,1280,512,256,32,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://7,11,True,91.67,133.33,1.45455,447
181,17,2048,10240,1280,512,256,32,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,12,True,91.0,1373.33,15.09158,1082
492,18,2048,10240,1280,16,160,320,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,13,True,92.67,347.0,3.7446,907
711,19,2048,10240,1280,128,320,64,64,4,1,4,1,16,32,0,0,0,True,False,False,,,False,,,,
1456,20,2048,10240,1280,128,320,128,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://6,14,True,90.83,162.33,1.78716,658
752,21,2048,10240,1280,256,32,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://2,15,True,91.0,654.0,7.18681,993
1551,22,2048,10240,1280,64,128,160,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://7,16,True,91.67,137.33,1.49818,498
1424,23,2048,10240,1280,128,128,128,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
5,24,2048,10240,1280,256,256,32,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://2,17,True,91.0,103.67,1.13919,95
697,25,2048,10240,1280,128,64,160,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,18,True,92.67,591.33,6.38129,975
132,26,2048,10240,1280,64,16,128,64,1,1,1,1,16,32,0,0,0,True,False,False,,,False,,,,
474,27,2048,10240,1280,16,320,160,320,1,1,1,5,16,32,0,0,0,True,True,True,hip://6,19,True,90.83,139.0,1.53028,536
36,28,2048,10240,1280,256,512,32,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://7,20,True,91.67,181.33,1.97818,708
45,29,2048,10240,1280,64,512,64,512,1,1,1,8,32,16,0,0,0,True,True,True,hip://2,21,True,91.0,406.67,4.46886,928
174,30,2048,10240,1280,256,32,128,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,22,True,92.67,120.33,1.29856,284
9,31,2048,10240,1280,512,512,32,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,23,True,90.83,130.33,1.43486,425
965,32,2048,10240,1280,512,320,32,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://7,24,True,91.67,2543.33,27.74545,1171
806,33,2048,10240,1280,64,64,160,64,2,1,2,1,32,16,0,0,0,True,False,False,,,False,,,,
1568,34,2048,10240,1280,64,256,128,64,2,1,2,1,32,16,0,0,0,True,False,False,,,False,,,,
879,35,2048,10240,1280,128,320,128,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,25,True,92.67,142.0,1.53237,538
989,36,2048,10240,1280,512,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,26,True,90.83,312.33,3.43853,890
1365,37,2048,10240,1280,512,128,32,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://2,27,True,91.0,145.67,1.60073,582
290,38,2048,10240,1280,256,320,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,28,True,91.67,366.33,3.99636,917
172,39,2048,10240,1280,256,32,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://5,29,True,92.67,3063.33,33.05755,1182
259,40,2048,10240,1280,16,128,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,30,True,91.0,125.67,1.38095,373
759,41,2048,10240,1280,64,64,160,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,31,True,90.83,300.33,3.30642,875
68,42,2048,10240,1280,128,512,64,128,1,1,1,2,32,16,0,0,0,True,False,False,,,False,,,,
874,43,2048,10240,1280,64,256,128,256,1,1,1,4,32,16,0,0,0,True,True,True,hip://7,32,True,91.67,1693.33,18.47273,1113
288,44,2048,10240,1280,64,320,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://5,33,True,92.67,118.0,1.27338,245
315,45,2048,10240,1280,64,64,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,34,True,91.0,133.67,1.46886,466
364,46,2048,10240,1280,32,64,256,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,35,True,90.83,174.67,1.92294,684
1443,47,2048,10240,1280,128,64,128,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://7,36,True,91.67,155.67,1.69818,629
1417,48,2048,10240,1280,128,32,128,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://5,37,True,92.67,101.0,1.08993,47
444,49,2048,10240,1280,128,128,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,38,True,91.0,113.67,1.24908,210
1006,50,2048,10240,1280,512,128,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://6,39,True,90.83,485.67,5.34679,954
1132,51,2048,10240,1280,512,128,64,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://7,40,True,91.67,124.67,1.36,351
22,52,2048,10240,1280,32,512,32,512,1,1,1,8,32,16,0,0,0,True,True,True,hip://5,41,True,92.67,122.67,1.32374,315
914,53,2048,10240,1280,512,320,32,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://2,42,True,91.0,177.67,1.95238,699
1254,54,2048,10240,1280,128,512,32,256,1,1,1,4,16,32,0,0,0,True,False,False,,,False,,,,
1477,55,2048,10240,1280,128,64,320,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://7,43,True,91.67,438.67,4.78545,936
265,56,2048,10240,1280,64,128,32,128,1,1,1,2,16,32,0,0,0,True,False,False,,,False,,,,
1529,57,2048,10240,1280,32,128,160,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://6,44,True,90.83,145.67,1.60367,583
385,58,2048,10240,1280,128,160,64,64,1,1,1,1,16,32,0,0,0,True,False,False,,,False,,,,
1051,59,2048,10240,1280,512,320,64,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://5,45,True,92.67,134.33,1.44964,441
1513,60,2048,10240,1280,64,160,256,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://2,46,True,91.0,1493.33,16.41026,1098
372,61,2048,10240,1280,32,80,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,47,True,90.83,107.67,1.18532,143
1464,62,2048,10240,1280,128,256,128,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://7,48,True,91.67,134.33,1.46545,460
901,63,2048,10240,1280,128,128,128,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://5,49,True,92.67,110.33,1.19065,154
1190,64,2048,10240,1280,256,128,64,64,8,1,8,1,32,16,0,0,0,True,True,True,hip://2,50,True,91.0,608.67,6.68864,983
1502,65,2048,10240,1280,32,128,128,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://6,51,True,90.83,104.67,1.15229,111
987,66,2048,10240,1280,512,32,64,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://7,52,True,91.67,118.33,1.29091,270
896,67,2048,10240,1280,64,320,128,64,1,1,1,1,32,16,0,0,0,True,True,True,hip://5,53,True,92.67,165.33,1.78417,655
943,68,2048,10240,1280,64,320,32,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://2,54,True,91.0,1120.0,12.30769,1057
306,69,2048,10240,1280,256,256,32,64,1,1,1,1,16,32,0,0,0,True,False,False,,,False,,,,
243,70,2048,10240,1280,512,128,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://6,55,True,90.83,2300.0,25.3211,1158
1283,71,2048,10240,1280,128,128,32,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://7,56,True,91.67,390.33,4.25818,922
825,72,2048,10240,1280,32,64,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,57,True,92.67,121.0,1.30576,295
1097,73,2048,10240,1280,128,512,64,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,58,True,91.0,139.0,1.52747,531
909,74,2048,10240,1280,128,64,128,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://6,59,True,90.83,133.33,1.46789,463
1224,75,2048,10240,1280,256,128,128,256,2,1,2,4,32,16,0,0,0,True,True,True,hip://7,60,True,91.67,107.0,1.16727,123
1120,76,2048,10240,1280,64,256,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,61,True,92.67,109.0,1.17626,136
205,77,2048,10240,1280,64,160,32,128,2,1,2,2,16,32,0,0,0,True,True,True,hip://2,62,True,91.0,112.0,1.23077,194
967,78,2048,10240,1280,128,320,32,128,4,1,4,2,32,16,0,0,0,True,False,False,,,False,,,,
1176,79,2048,10240,1280,128,64,64,64,8,1,8,1,16,32,0,0,0,True,False,False,,,False,,,,
1173,80,2048,10240,1280,128,160,64,64,4,1,4,1,32,16,0,0,0,True,True,True,hip://6,63,True,90.83,107.0,1.17798,137
