gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
715,1,2048,10240,1280,256,512,32,64,4,1,4,1,32,16,0,0,0,True,True,False,,,False,,,,
1379,2,2048,10240,1280,128,64,128,128,4,1,4,2,32,16,0,0,0,True,True,True,hip://2,1,True,143.17,3446.67,24.07451,1715
1434,3,2048,10240,1280,256,256,64,128,2,1,2,2,32,16,0,0,0,True,True,True,hip://5,2,True,143.5,161.67,1.1266,139
193,4,2048,10240,1280,512,128,32,128,4,1,4,2,16,16,0,0,0,True,True,True,hip://6,3,True,146.33,379.33,2.59226,1250
1867,5,2048,10240,1280,64,16,32,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://7,4,True,144.83,204.0,1.40852,533
1957,6,2048,10240,1280,128,128,16,128,4,1,4,2,16,16,0,0,0,True,True,True,hip://5,5,True,143.5,376.33,2.62253,1265
1661,7,2048,10240,1280,256,320,32,128,2,1,2,2,32,8,0,0,0,True,True,True,hip://7,6,True,144.83,208.67,1.44074,569
374,8,2048,10240,1280,32,512,32,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://2,7,True,143.17,383.67,2.67986,1286
2083,9,2048,10240,1280,128,256,80,128,2,1,2,2,16,16,0,0,0,True,True,True,hip://6,8,True,146.33,1700.0,11.61731,1607
195,10,2048,10240,1280,512,320,32,128,4,1,4,2,16,16,0,0,0,True,False,False,,,False,,,,
1232,11,2048,10240,1280,256,320,16,64,8,1,8,1,16,16,0,0,0,True,False,False,,,False,,,,
592,12,2048,10240,1280,64,160,32,128,1,1,1,2,16,32,0,0,0,True,False,False,,,False,,,,
699,13,2048,10240,1280,512,64,32,64,4,1,4,1,32,8,0,0,0,True,True,True,hip://7,9,True,144.83,164.0,1.13234,149
689,14,2048,10240,1280,512,160,32,64,2,1,2,1,32,8,0,0,0,True,True,True,hip://5,10,True,143.5,240.33,1.6748,826
1257,15,2048,10240,1280,128,320,16,64,4,1,4,1,16,16,0,0,0,True,True,True,hip://6,11,True,146.33,2853.33,19.49886,1687
