gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
814,1,8192,640,2560,256,128,32,64,1,1,1,1,16,32,0,0,0,True,True,False,,,False,,,,
1074,2,8192,640,2560,64,64,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://2,1,True,96.0,721.67,7.51736,739
81,3,8192,640,2560,128,128,64,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://5,2,True,92.83,95.0,1.02334,131
385,4,8192,640,2560,64,64,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://6,3,True,96.83,100.67,1.03959,150
1090,5,8192,640,2560,64,64,512,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://7,4,True,95.17,87.67,0.92119,42
659,6,8192,640,2560,256,128,64,128,1,1,1,2,32,16,0,0,0,True,True,True,hip://6,5,True,96.83,226.67,2.34079,662
202,7,8192,640,2560,64,64,512,64,2,1,2,1,32,16,0,0,0,True,True,True,hip://2,6,True,96.0,123.33,1.28472,390
387,8,8192,640,2560,256,80,128,64,4,1,4,1,16,32,0,0,0,True,True,True,hip://5,7,True,92.83,224.0,2.41293,668
653,9,8192,640,2560,256,128,64,128,2,1,2,2,16,32,0,0,0,True,False,False,,,False,,,,
671,10,8192,640,2560,512,320,64,128,4,1,4,2,16,32,0,0,0,True,True,True,hip://7,8,True,95.17,96.67,1.01576,125
66,11,8192,640,2560,128,128,128,64,4,1,4,1,32,16,0,0,0,True,False,False,,,False,,,,
742,12,8192,640,2560,32,128,128,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://2,9,True,96.0,95.67,0.99653,102
427,13,8192,640,2560,64,128,128,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://6,10,True,96.83,102.67,1.06024,168
825,14,8192,640,2560,256,32,64,64,1,1,1,1,16,32,0,0,0,True,True,True,hip://7,11,True,95.17,126.67,1.331,418
443,15,8192,640,2560,128,128,32,128,1,1,1,2,16,32,0,0,0,True,True,True,hip://5,12,True,92.83,113.0,1.21724,332
1119,16,8192,640,2560,256,320,32,64,8,1,8,1,16,32,0,0,0,True,True,True,hip://2,13,True,96.0,112.33,1.17014,283
719,17,8192,640,2560,128,160,64,128,4,1,4,2,16,32,0,0,0,True,False,False,,,False,,,,
547,18,8192,640,2560,128,128,64,64,1,1,1,1,16,32,0,0,0,True,False,False,,,False,,,,
987,19,8192,640,2560,512,16,64,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://6,14,True,96.83,113.0,1.16695,282
483,20,8192,640,2560,128,80,256,64,2,1,2,1,16,32,0,0,0,True,True,True,hip://5,15,True,92.83,223.0,2.40215,667
