gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
520,1,512,512,512,64,128,4,256,1,1,4,1,16,32,1,8,0,"[64, 128, 0]","[1, 8, 0]","[0, 0, 4]",True,True,False,,,False,,,,
1230,2,512,512,512,32,256,2,256,1,1,2,2,16,32,1,8,0,"[32, 256, 0]","[1, 8, 0]","[0, 0, 2]",True,True,True,hip://2,1,True,52.0,39.0,0.75,47
1002,3,512,512,512,256,64,2,256,1,1,2,2,32,16,4,1,0,"[256, 64, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://5,2,True,51.5,53.33,1.0356,677
813,4,512,512,512,128,32,4,256,1,1,4,1,32,16,1,1,0,"[128, 32, 0]","[1, 1, 0]","[0, 0, 4]",True,True,True,hip://6,3,True,51.17,55.33,1.08143,775
937,5,512,512,512,512,128,2,256,1,1,2,2,32,16,8,2,0,"[512, 128, 0]","[8, 2, 0]","[0, 0, 2]",True,True,True,hip://7,4,True,46.5,52.0,1.11828,838
1004,6,512,512,512,256,128,2,256,1,1,2,2,32,16,4,2,0,"[256, 128, 0]","[4, 2, 0]","[0, 0, 2]",True,True,True,hip://7,5,True,46.5,123.33,2.65233,1123
1234,7,512,512,512,16,256,2,128,1,1,1,2,16,32,1,8,0,"[16, 256, 0]","[1, 8, 0]","[0, 0, 2]",True,True,True,hip://5,6,True,51.5,57.33,1.11327,831
1123,8,512,512,512,128,256,1,512,1,1,2,4,16,32,4,4,0,"[128, 256, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://2,7,True,52.0,48.67,0.9359,375
413,9,512,512,512,256,64,2,256,1,1,1,4,16,32,16,1,0,"[256, 64, 0]","[16, 1, 0]","[0, 0, 2]",True,True,True,hip://6,8,True,51.17,56.67,1.10749,824
960,10,512,512,512,256,256,4,256,1,1,1,4,32,16,8,2,0,"[256, 256, 0]","[8, 2, 0]","[0, 0, 4]",True,True,True,hip://7,9,True,46.5,49.33,1.06093,739
8,11,512,512,512,512,512,2,64,1,1,1,1,16,32,32,32,0,"[512, 512, 0]","[32, 32, 0]","[0, 0, 2]",True,True,True,hip://2,10,True,52.0,61.33,1.17949,941
1284,12,512,512,512,128,128,16,64,1,1,1,1,32,16,4,4,0,"[128, 128, 0]","[4, 4, 0]","[0, 0, 16]",True,False,False,,,False,,,,
368,13,512,512,512,256,64,1,64,1,1,1,1,16,32,16,4,0,"[256, 64, 0]","[16, 4, 0]","[0, 0, 1]",True,True,True,hip://5,11,True,51.5,70.67,1.37217,1042
1290,14,512,512,512,128,64,16,64,1,1,1,1,32,16,4,2,0,"[128, 64, 0]","[4, 2, 0]","[0, 0, 16]",True,True,True,hip://6,12,True,51.17,129.0,2.52117,1107
969,15,512,512,512,64,128,16,256,1,1,1,4,32,16,2,1,0,"[64, 128, 0]","[2, 1, 0]","[0, 0, 16]",True,True,True,hip://7,13,True,46.5,59.0,1.26882,1002
800,16,512,512,512,128,128,8,256,1,1,4,1,32,16,1,4,0,"[128, 128, 0]","[1, 4, 0]","[0, 0, 8]",True,True,True,hip://2,14,True,52.0,56.67,1.08974,802
1057,17,512,512,512,128,128,8,128,1,1,2,1,32,16,2,4,0,"[128, 128, 0]","[2, 4, 0]","[0, 0, 8]",True,True,True,hip://5,15,True,51.5,61.33,1.19094,948
356,18,512,512,512,64,32,1,128,1,1,1,2,16,32,4,1,0,"[64, 32, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://6,16,True,51.17,49.33,0.96417,471
220,19,512,512,512,256,512,1,128,1,1,1,2,16,32,16,16,0,"[256, 512, 0]","[16, 16, 0]","[0, 0, 1]",True,True,True,hip://7,17,True,46.5,43.67,0.93907,399
1292,20,512,512,512,128,64,16,128,1,1,1,2,32,16,4,1,0,"[128, 64, 0]","[4, 1, 0]","[0, 0, 16]",True,True,True,hip://6,18,True,51.17,645.67,12.61889,1284
15,21,512,512,512,512,16,1,64,1,1,1,1,16,32,32,1,0,"[512, 16, 0]","[32, 1, 0]","[0, 0, 1]",True,True,True,hip://2,19,True,52.0,47.67,0.91667,319
723,22,512,512,512,64,256,4,512,1,1,4,2,16,32,1,8,0,"[64, 256, 0]","[1, 8, 0]","[0, 0, 4]",True,True,True,hip://5,20,True,51.5,61.0,1.18447,943
90,23,512,512,512,128,512,2,256,1,1,2,2,32,16,2,8,0,"[128, 512, 0]","[2, 8, 0]","[0, 0, 2]",True,True,True,hip://7,21,True,46.5,56.67,1.21864,970
602,24,512,512,512,32,64,2,128,1,1,2,1,16,32,1,4,0,"[32, 64, 0]","[1, 4, 0]","[0, 0, 2]",True,True,True,hip://6,22,True,51.17,129.0,2.52117,1108
862,25,512,512,512,512,512,4,512,1,1,8,1,32,16,2,16,0,"[512, 512, 0]","[2, 16, 0]","[0, 0, 4]",True,True,True,hip://2,23,True,52.0,56.33,1.08333,785
1218,26,512,512,512,64,256,1,256,1,1,2,2,16,32,2,8,0,"[64, 256, 0]","[2, 8, 0]","[0, 0, 1]",True,True,True,hip://5,24,True,51.5,1180.0,22.91262,1330
374,27,512,512,512,256,256,1,512,1,1,1,8,16,32,16,2,0,"[256, 256, 0]","[16, 2, 0]","[0, 0, 1]",True,True,True,hip://7,25,True,46.5,50.67,1.08961,794
48,28,512,512,512,512,128,1,128,1,1,2,1,16,32,16,8,0,"[512, 128, 0]","[16, 8, 0]","[0, 0, 1]",True,True,True,hip://6,26,True,51.17,53.67,1.04886,718
153,29,512,512,512,512,512,2,64,1,1,1,1,32,16,16,16,0,"[512, 512, 0]","[16, 16, 0]","[0, 0, 2]",True,True,True,hip://2,27,True,52.0,134.67,2.58974,1117
1299,30,512,512,512,128,64,4,128,1,1,1,2,32,16,4,1,0,"[128, 64, 0]","[4, 1, 0]","[0, 0, 4]",True,False,False,,,False,,,,
645,31,512,512,512,64,64,1,256,1,1,1,4,16,32,4,1,0,"[64, 64, 0]","[4, 1, 0]","[0, 0, 1]",True,True,True,hip://5,28,True,51.5,59.67,1.15858,901
927,32,512,512,512,512,256,4,128,1,1,1,2,32,16,16,4,0,"[512, 256, 0]","[16, 4, 0]","[0, 0, 4]",True,True,True,hip://6,29,True,51.17,51.0,0.99674,565
782,33,512,512,512,128,128,4,512,1,1,4,2,16,32,2,4,0,"[128, 128, 0]","[2, 4, 0]","[0, 0, 4]",True,True,True,hip://7,30,True,46.5,569.33,12.24373,1281
100,34,512,512,512,256,512,2,128,1,1,2,1,32,16,4,16,0,"[256, 512, 0]","[4, 16, 0]","[0, 0, 2]",True,True,True,hip://2,31,True,52.0,42.0,0.80769,100
618,35,512,512,512,32,128,1,128,1,1,2,1,16,32,1,8,0,"[32, 128, 0]","[1, 8, 0]","[0, 0, 1]",True,True,True,hip://5,32,True,51.5,606.0,11.76699,1277
272,36,512,512,512,128,32,1,512,1,1,8,1,16,32,1,2,0,"[128, 32, 0]","[1, 2, 0]","[0, 0, 1]",True,True,True,hip://7,33,True,46.5,40.67,0.87455,226
401,37,512,512,512,256,256,2,64,1,1,1,1,16,32,16,16,0,"[256, 256, 0]","[16, 16, 0]","[0, 0, 2]",True,True,True,hip://5,34,True,51.5,51.67,1.00324,577
1167,38,512,512,512,128,128,8,512,1,1,4,2,32,16,1,2,0,"[128, 128, 0]","[1, 2, 0]","[0, 0, 8]",True,True,True,hip://6,35,True,51.17,220.33,4.30619,1198
1041,39,512,512,512,64,256,8,512,1,1,1,8,32,16,2,1,0,"[64, 256, 0]","[2, 1, 0]","[0, 0, 8]",True,True,True,hip://2,36,True,52.0,55.67,1.07051,759
143,40,512,512,512,64,512,1,512,1,1,1,8,32,16,2,2,0,"[64, 512, 0]","[2, 2, 0]","[0, 0, 1]",True,True,True,hip://5,37,True,51.5,48.33,0.93851,392
568,41,512,512,512,32,32,8,64,1,1,1,1,16,32,2,2,0,"[32, 32, 0]","[2, 2, 0]","[0, 0, 8]",True,True,True,hip://6,38,True,51.17,61.33,1.1987,953
125,42,512,512,512,32,512,2,64,1,1,1,1,32,16,1,16,0,"[32, 512, 0]","[1, 16, 0]","[0, 0, 2]",True,True,True,hip://7,39,True,46.5,43.67,0.93907,400
