gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,knob_workgroup_tile_sizes,knob_subgroup_tile_sizes,knob_reduction_tile_sizes,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
91,1,8192,640,2560,128,80,5,256,1,1,4,1,16,32,2,5,0,"[128, 80, 0]","[2, 5, 0]","[0, 0, 5]",True,True,False,,,False,,,,
1690,2,8192,640,2560,256,64,1,256,1,1,2,2,16,32,8,2,0,"[256, 64, 0]","[8, 2, 0]","[0, 0, 1]",True,True,True,hip://2,1,True,92.5,140.67,1.52072,1264
349,3,8192,640,2560,512,320,2,320,1,1,1,5,32,16,16,2,0,"[512, 320, 0]","[16, 2, 0]","[0, 0, 2]",True,True,True,hip://5,2,True,96.33,142.0,1.47405,1205
1014,4,8192,640,2560,128,320,5,640,1,1,2,5,32,16,2,2,0,"[128, 320, 0]","[2, 2, 0]","[0, 0, 5]",True,True,True,hip://6,3,True,94.33,2343.33,24.84099,1980
1024,5,8192,640,2560,32,160,8,64,1,1,1,1,16,32,2,10,0,"[32, 160, 0]","[2, 10, 0]","[0, 0, 8]",True,True,True,hip://7,4,True,99.33,131.0,1.31879,996
935,6,8192,640,2560,32,160,1,128,1,1,1,2,16,32,2,5,0,"[32, 160, 0]","[2, 5, 0]","[0, 0, 1]",True,True,True,hip://2,5,True,92.5,178.0,1.92432,1564
1275,7,8192,640,2560,128,64,2,128,1,1,1,2,32,16,4,1,0,"[128, 64, 0]","[4, 1, 0]","[0, 0, 2]",True,True,True,hip://5,6,True,96.33,135.67,1.4083,1124
1579,8,8192,640,2560,16,64,16,128,1,1,1,2,16,32,1,2,0,"[16, 64, 0]","[1, 2, 0]","[0, 0, 16]",True,True,True,hip://7,7,True,99.33,128.0,1.28859,935
855,9,8192,640,2560,256,128,1,512,1,1,1,8,16,32,16,1,0,"[256, 128, 0]","[16, 1, 0]","[0, 0, 1]",True,True,True,hip://6,8,True,94.33,143.0,1.5159,1255
749,10,8192,640,2560,512,32,2,128,1,1,1,2,16,32,32,1,0,"[512, 32, 0]","[32, 1, 0]","[0, 0, 2]",True,True,True,hip://5,9,True,96.33,107.33,1.11419,558
1511,11,8192,640,2560,64,64,32,128,1,1,2,1,32,16,1,2,0,"[64, 64, 0]","[1, 2, 0]","[0, 0, 32]",True,True,True,hip://2,10,True,92.5,224.67,2.42883,1704
2016,12,8192,640,2560,32,64,1,512,1,1,2,4,16,32,1,1,0,"[32, 64, 0]","[1, 1, 0]","[0, 0, 1]",True,True,True,hip://6,11,True,94.33,223.0,2.36396,1692
1659,13,8192,640,2560,256,64,5,512,1,1,8,1,16,32,2,4,0,"[256, 64, 0]","[2, 4, 0]","[0, 0, 5]",True,True,True,hip://7,12,True,99.33,160.0,1.61074,1361
734,14,8192,640,2560,512,320,1,512,1,1,4,2,32,16,4,5,0,"[512, 320, 0]","[4, 5, 0]","[0, 0, 1]",True,True,True,hip://5,13,True,96.33,131.67,1.36678,1068
1937,15,8192,640,2560,128,64,10,512,1,1,2,4,16,32,4,1,0,"[128, 64, 0]","[4, 1, 0]","[0, 0, 10]",True,True,True,hip://2,14,True,92.5,2806.67,30.34234,1994
1128,16,8192,640,2560,256,32,5,128,1,1,2,1,32,16,4,1,0,"[256, 32, 0]","[4, 1, 0]","[0, 0, 5]",True,True,True,hip://7,15,True,99.33,118.67,1.19463,761
560,17,8192,640,2560,128,64,1,128,1,1,2,1,16,32,4,4,0,"[128, 64, 0]","[4, 4, 0]","[0, 0, 1]",True,True,True,hip://6,16,True,94.33,180.0,1.90813,1556
1054,18,8192,640,2560,64,320,10,64,1,1,1,1,32,16,2,10,0,"[64, 320, 0]","[2, 10, 0]","[0, 0, 10]",True,True,True,hip://5,17,True,96.33,124.0,1.2872,933
837,19,8192,640,2560,16,128,2,512,1,1,1,8,16,32,1,1,0,"[16, 128, 0]","[1, 1, 0]","[0, 0, 2]",True,True,True,hip://2,18,True,92.5,837.33,9.05225,1890
1113,20,8192,640,2560,256,32,4,256,1,1,4,1,32,16,2,1,0,"[256, 32, 0]","[2, 1, 0]","[0, 0, 4]",True,True,True,hip://6,19,True,94.33,154.0,1.63251,1379
578,21,8192,640,2560,128,32,8,128,1,1,2,1,16,32,4,2,0,"[128, 32, 0]","[4, 2, 0]","[0, 0, 8]",True,True,True,hip://7,20,True,99.33,124.33,1.25168,886
1403,22,8192,640,2560,128,64,8,128,1,1,2,1,32,16,2,2,0,"[128, 64, 0]","[2, 2, 0]","[0, 0, 8]",True,True,True,hip://5,21,True,96.33,113.0,1.17301,702
573,23,8192,640,2560,128,16,8,128,1,1,2,1,16,32,4,1,0,"[128, 16, 0]","[4, 1, 0]","[0, 0, 8]",True,True,True,hip://2,22,True,92.5,86.33,0.93333,109
